id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,a31,c31,themes,short,long
9100,Steen Christiansen,839,True,65,A,Enlig,3,2620 Albertslund,Borgmester,3,Vi skal løbende forbedre normeringerne - fx hive lederne ud af normeringen. Men ikke på bekostning af besparelser på andre områder.,1,Børnefamilierne skal have langt bedre vilkår. Det kræver bedre overenskomster eller at regering/folketing forbedrer vilkårene.,1,,1,"Der er for mange borgere, som ikke føler sig trygge. pga vanvidscyklisme og stofsalg i boligområder. Derfor skal vi ansætte kommunale tryghedsvagter og øge videoovervågningen i vores boligområder.",4,,4,"Det er en pulje, hvor vi sparer op til en skole.",1,,1,,4,,3,,4,"Vi bygger SLET ikke i grønne områder. Tværtimod får vi flere grønne områder, når gamle erhvervsgrunde bliver bebygget med  boliger, hvor der også kommer grønne områder.",1,,0,,2,,0,,4,,1,,4,Det skal ske uden besparelser på andre områder. Log udbygges over tid.,0,Der er rygeforbud på alle kommunale arealer.,1,,1,,2,,0,,1,,4,,4,,0,,"Miljø og klima, Ældre, Skole/dagtilbud for børn","Det handler at sikre god og ordentlig velfærd til børn, unge og ældre. Tryghed for familierne i hverdagen.  Og sikrer vores ældre en værdig og ordentlig ældre- og sygepleje. Vi skal passe på naturen.","I  Albertslund tager vi hånd om hinanden - fra børnene i daginstitutionerne til de unge i klubberne ogskolerne. Tryghed for familierne i hverdagen. Og de ældre, der skal have en værdig alderdom.Vores stærke kultur- og foreningsliv er med til at binde byen sammen og skabe meningsfulde fællesskaber - for børn, unge og aktive seniorer.Men god velfærd kræver mere end gode intentioner. Det kræver ordentlige og trygge rammer - i daginstitutioner, skoler, fritidstilbud og på plejehjem. Det kræver også ansvarlig styring og politisk vilje.Socialdemokratiet har sikret økonomisk stabilitet og en sikker hånd på rattet. Og med bredt samarbejdei kommunalbestyrelsen. Vi  har skabt et Albertslund i balance - politisk, økonomisk ogsocialt.Og det er sådan, vi vil føre Albertslund trygt ind i fremtiden.Det kræver en borgmester, der kender sin by og en borgmester for hele Albertslund. Jeg vil arbejdefor:1. Et trygt Albertslund2. En sikker hånd på velfærden3. DK's mest familievenlige by"
121219344,Signe Hagel Andersen,464,True,43,A,Gift,3,2620 Albertslund,ph.d. studerende i værdig ældrepleje,3,"Jeg synes ikke hverken der skal spares på normeringer i dagtilbud , skoler eller ældrepleje.",2,"Der bør være en ordning for alle der giver ret til at holde alle barnets sygedage,. Men det bør aftales gennem overenskomsterne for både offentligt og privat ansatte. Det skal ikke kun gælde kommunalt ansatte.",1,Det er skønt at folk vil være frivillige. Men det kan aldrig erstatte uddannet arbejdskraft i ældreplejen.,3,"Albertslund har et godt stisystem, hvor børn trygt kan cykle rundt. Men der er for mange der cykler for hurtigt på el-cykler, særligt i centret. Det er farligt og bør stoppes.",3,,3,,3,Albertslund skal være en blandet by. Vi har mange gode almene boligområder.  Men der mangler private ejerboliger.,2,,3,,1,,3,,3,,3,,1,,2,,2,"Det er en udfordring for ældreplejen, når der er for mange vikarer. Det har konsekvenser for de ældre, når der ikke er stabilt personale i hjemmeplejen.",3,"Lige nu bruges mange penge på vikarer. Hvis vi kan arbejde for at nedbringe dette,  ved at skabe fagligt attraktive arbejdspladser er det både godt for medarbejderne, de ældre og økonomien.",3,,3,,1,Der er dagtilbud med mulighed for at have udvidede morgenåbningstider til de familier der har behov.,2,"Vi har ikke høje klassekvotienter i Albertslund. Sådan skal det blive ved med at være. Det er derimod vigtigt at der er flere timer med to voksne i klasserne, der kan skabe ro og trivsel.",1,,1,,1,,3,,3,,2,,"Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg vil gerne bidrage med ny energi til byen. Albertslund er en dejlig by, men der er behov for bedre vilkår for børnene, en styrket ældrepleje og et aktivt fritidsliv.","Jeg  er ny kandidat til kommunalvalget. Det er første gang jeg stiller op. Jeg vil gerne bidrage med ny energi til byen. Albertslund er en dejlig by, men der er behov for bedre vilkår for børnene og en styrket ældrepleje.Jeg bor i hus med mine tre børn og min mand Mattias. Selvom dagligdagen som børnefamilie er travl, er det vigtigt for mig at bidrage som frivillig. Jeg har siddet i skolebestyrelsen gennem flere år. Hvis jeg bliver valgt, vil jeg arbejde for at børnene bevæger sig mere i løbet af skoledagen. Ligesom støtten til ordblinde skal være bedre.Som sygeplejerske har jeg arbejdet med at give ældre et godt og værdigt liv. Jeg bliver rasende, når de mennesker der har bygget vores samfund ikke behandles ordentligt. De fortjener omsorg og støtte. Jeg vil være taknemmelig for din stemme til valget 18. november. Jeg vil love at arbejde seriøst og hårdt for at vores velfærden i vores kommune får et tiltrængt løft. Kontakt mig gerne og find mig på facebook."
9103,Flemming Jørgensen,97,False,71,A,I parforhold men ikke samboende,2,2620 Albertslund,Pensionist,2,"Vi skal gerne have bedre normeringer, og vi får lidt hjælp hertil fra Regeringen, men det skal ikke ske ved at skære ned på skoler og ældreomsorg. Men med stigende befolkningstal får vi bedre råd til både bedre normereringer, skoler og ældreomsorg.",3,,2,"Vi skal ikke lade frivillige overtage de opgaver, som løses af fagprofessionelle. Men frivillige kan fint hjælpe med til at forebygge isolation og ensomhed blandt ældre, og kommunen kan bidrage til dette, f.eks. ved at ansætte en foreningskonsulent, der kan sætte gang i senioraktiviteter.",3,"Personligt er jeg helt tryg,  men jeg ved, at nogle borgere i dele af kommunen  er utrygge pga.  stofsalg eller vanvidscykling på stierne. Det skal vi gøre noget ved.",3,"Det gør de så vidt muligt. Men beslutninger kræver flertal, og at der ikke kommer ny lovgivning eller uforudsete udgifter i vejen.",4,"Med stigende befolkningstal vil der på sigt blive brug for at investere i en ny skole, dagtilbud m.m. Til gengæld vil det stigende befolkningstal give kommunen flere indtægter i form af skatter og bloktilskud og dermed bedre råd til både investeringer og velfærd. Vi kan dog ikke vente med at bygge skole og dagtilbud, til alle børnene er kommet og vi har fået alle de ekstra indtægter. Så risikerer vi, at der ikke er ordentlig plads til børnene. Derfor må vi investere i skole og dagtilbud, inden vi får det fulde udbytte af en stigende befolkning. Sådan som kommunens økonomi ser ud nu, vil det være muligt at sætte en investeringspulje af i de kommende år, uden at skulle skære i velfærden.",2,"Hvis det står til mig, skal vi have en blandet by med både almene boliger, andelsboliger og ejerboliger. Det eneste, der bliver bygget med de nuværende økonomiske betingelser, er privat udlejning. Derfor har vi i Socialdemokratiet i Albertslund gentagne gange opfordret Folketinget til at ændre reglerne, så kommunen kan styre hvilke ejerformer, der kommer i nye boligområder - og så det igen bliver økonomisk muligt at bygge almene boliger, andelsboliger og ejerlejligheder. Vi skal fortsætte med at presse på.",3,"Der er gode muligheder for opladning på en del p-pladser, men der er et stigende behov.",3,"Jeg vil prioritere, at Albertslunds cykelstier er velholdte, sikre og tilgængelige, og at der er bedre belysning på udvalgte stier, tunneler, pladser og veje. Det er godt, at der nu kommer en cykelsti langs med den østlige del af Stensmosevej.Jeg vil arbejde for nye tyverisikrede parkeringsmuligheder for cykler ved stationen og busstoppesteder.Og så skal vejene naturligvis også holdes i ordentlig stand.Det er f.eks. rigtig godt, at Føtex-parkeringen nu asfalteres.",2,"Når vi bruger penge på bedre isolering af skoler eller ny vejbelysning, får vi pengene ind igen over nogle år, fordi vi sparer energi. Vi skal gøre en ekstra indsats for at nedbringe CO2-udslippet yderligere, men det behøver ikke at gøre det dyrere. Vi kan låne til energieffektivisering og betale lånene tilbage med besparelserne på energiforbruget.",3,"Nyt byggeri skal først og fremmest ske på arealer, der tidligere har været anvendt til industri, lager og fængsel. Det bør ikke ske i Vestskoven eller kommunens andre grønne områder.Vi har brug for nyt byggeri for at tiltrække flere skatteydere, så der bliver råd til velfærd fremover.",2,"Jeg vil gerne være med til at støtte byens fritids- og idrætsforeninger, så de får en større plads i børnenes og de unges liv. Konkret ved at kommunen samarbejder med foreningerne om at være til stede i daginstitutioner og skoler, så flere får lyst til en aktiv fritid med nye fællesskaber.Det koster ikke ret mange penge.",1,"Vi bruger ikke ret mange penge på kunst. Men vi bruger en del penge på Musikteatret, biblioteket og andre gode kulturtilbud., og på idrætsområdet. Det er er med til at give gode oplevelser for borgerne, og fællesskab. Det skal gerne fortsætte.",1,"Det vigtigste er, at vi kan få dygtigt personale til ubesatte stillinger, ikke hvor de kommer fra. Men det er ikke en kommunal opgave at gøre en særlig indsats for at tiltrække udenlandsk arbejdskraft.",2,"Vi skal hjælpe socialt udsatte borgere; det er en vigtig kommunal opgave. Men vi er meget opmærksomme på, hvor vi kan finde ligeså gode eller bedre løsninger, der samtidig ikke koster så meget.  Derfor følger vi f.eks. op i forhold til priser på bosteder, og giver bedre mulighed for at hjemtage borgere, der er på et bosted i en anden kommune.",3,"Det er mit indtryk, at den i dag fungerer ganske godt.",0,Vi har i dag en god ældrepleje. Det er ikke muligt at få en betydeligt bedre ældrepleje uden at der skal bruges flere penge.,3,"Det vil lette forældrenes hverdag meget, hvis de ikke skal smøre madpakker til skolebørnene.",2,"Jeg er ikke bekendt med, at der er et behov.  Ellers må vi se på det.",2,Åbningstiderne er generelt passende.,1,"Jeg synes generelt, at vi har en passende klassestørrelse i kommunens skoler.",2,"Kommune yder en god erhvervsservice og opnår fine ""karakterer"", når det gælder erhvervsvenlighed. Så jeg tænker, at indsatsen er passende.",1,"Det er brug for lidt bedre normering i institutionerne og to voksne i de små klasser. Vi har gennem flere sparerunder skåret meget i det administrative personale, så der er næppe meget mere at hente.",1,Det er der ikke grundlag for nu eller de nærmeste år.,4,,4,"Kommunen har gennem mange år gjort en stor indsats for at sikre borgerne mod oversvømmelser. Det betyder, at vi i dag er meget sikre.",3,"Først skal vi have styr på, hvad vi allerede har af beskyttelsesrum (det tror jeg, at kommunen i nogen grad har)","Trafik, Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed","Man skal stemme på mig, fordi jeg brænder for byen og kan bidrage med stor viden og erfaring.Jeg vil kæmpe for, at Albertslund er en god by for alle, en by der fungerer og et godt sted at bo.","Jeg vil kæmpe for, at Albertslund er en god by for alle. Jeg har stor viden og erfaring. Jeg tager ansvar, finder løsninger og ser muligheder.For mig betyder en god by for alle, at velfærdsopgaver for børn, unge, ældre og udsatte skal løses bedst muligt. At der er gode muligheder for udfoldelse og fællesskaber, med kultur- og idrætstilbud og foreningslokaler. Og gøres en ekstra indsats for ensomme.Byen skal fungere med ordentlig og bæredygtig vedligeholdelse af kommunens bygninger og anlæg, tryghed på stier og pladser, nemmere adgang til offentlig transport,  en ambitiøs klima- og naturindsats og mindre trafikstøj.Albertslund skal være et godt sted at bo. Boligområder skal have gode udearealer, der skaber fællesskab og liv mellem husene, let adgang til grønne områder, gode stiforbindelser og indflydelse til beboerne. Og så skal det igen blive muligt at bygge både almene boliger, andelsboliger og ejerboliger."
6649065,Ulla Nielsen,159,True,61,A,Gift,3,2620 Albertslund,Pædagog,3,,3,Som pædagog mener jeg børn har retten til deres forældre når de er syge.Men det kan være en udfordring på den enkelte arbejdsplads.Jeg mener det må høre ind under fagbevægelsen at tage den kamp for os ansatte.,1,,3,,3,,3,,1,,2,,3,,3,,3,,3,,1,,1,,1,,3,,0,,4,,2,,3,"Som det er idag  er der differentieret åbningstid i institutionerne,  det kunne derfor være ønskværdigt hvis alle institutioner havde en åbningstid kl.07-16.45Med mulighed for udvidelse fra 06-07 og 16.45-17.00Det ville kunne tage presset og overbelægning fra de institutioner der har en lang åbningstid.",3,,3,,0,,1,,3,,3,,2,,"Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn","Efter fire år i Kommunalbestyrelsen er jeg blevet bekræftet i, at Albertslund er stærkest, når vi ser hinanden - børn, unge og ældre - og skaber trygge rammer med hjerte og nærvær.","Albertslund skal føles som et hjem for alleGennem fire år i Kommunalbestyrelsen har jeg fået værdifulde erfaringer. Jeg har lært, hvor vigtigt det er at hæve sig op i helikopterperspektivet - men samtidig holde fast i mine pædagogiske værdier og mit menneskesyn. Beslutningerne vi træffer, er ikke bare budgettal, men rammer for børns hverdag, forældres muligheder og medarbejderes arbejdsliv.Som pædagog har jeg mærket, hvad det betyder, når mennesker bliver set. Jeg har mødt forældre, der stadig husker en samtale, der gjorde en forskel for deres barn. Og jeg har set, hvordan små øjeblikke af anerkendelse kan styrke et helt fællesskab.Jeg har også fået en større forståelse for, hvad det vil sige at blive ældre i Albertslund. At tryghed og omsorg skal gå hånd i hånd med effektivitet, hvis hverdagen skal føles værdig.Albertslund er en by med sjæl - men den sjæl kræver, at vi skaber tryghed, fællesskab og nærvær i både beslutningerne og i hverdagen."
9102,Paw Østergaard Jensen,241,True,61,A,Enlig,3,2620 Albertslund,Næstfmd Malerforbundet,3,,2,Det er ikke et kommunalpolitisk spørgsmål.  Det skal klares i overenskomst sammenhæng ligesom på det private arbejdsmarked.,3,,3,,3,,4,,1,,2,,3,,2,,2,,3,,1,,1,,0,,3,,3,,3,,1,,2,,1,,4,,1,,0,,3,,4,,0,,"Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn","Social, faglig og kulturel Det er de områder jeg går til valg på primært, jeg er dog også optaget af biodiversitet og grøn omstilling, erhvervsudvikling og e. Økonomi der hænger sammen 😏","Jeg tror på sammenhænge mellem områderne kan skabe en bedre by.Jeg tror at vi ved f.eks. at tænke kulturpolitik sammen med vores sociale forpligtelser som kommune kan nå mere på en bedre måde for de samme penge.Albertslunds problemer løses så vidt muligt i Albertslund.Jeg er optaget af alle de tre bundlinjer i vores socialpolitik:Den faglige om kvalitet, hvor vi kun påtager os opgaver vi på faglig forsvarlig vis kan løfte i kommunen.Den med værdighed, hvor respekt og hensyn er i højsædet.Den økonomiske, hvor vi er bevidste om at penge kun kan bruges en gang og skal strække langt.Mit cv viser mit kulturelle engagement.Det faglige 'goes without saying' ;som næstfmd i Malerforbundet kæmper jeg selfølgelig for ordnede i alt hvad kommunen foretager sig. Ligefra juniormesterlære og indkøb til botilbud og daginstitutionsbyggeri. OK forhold overalt ✊🏽"
121219341,Julie Krogh,122,False,21,A,Enlig,0,2620 Albertslund,Tømrerlærling,3,,3,,1,,2,,3,,3,,1,,1,,3,,2,,3,,3,,1,,1,,1,,1,,3,,3,,2,,2,,2,,2,,1,,1,,3,,3,,1,"Det er statens opgave at sikre beskyttelse til borgerne, ikke alene en kommunal opgave.","Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn",Jeg vil være børn og unges stemme i kommunalbestyrelsen i Albertslund Kommune.,"Jeg stiller op fordi jeg godt kunne tænke mig at være børn og unges stemme i kommunalbestyrelsen i Albertslund. Bringe børnene og unges problemstillinger til direkte forandring, så det gør en direkte forskel i deres hverdag. Der skal ikke tales om børn og unge, men med børn og unge det vil jeg sørge for."
9107,Dogan Polat,374,True,49,A,,,2620 Albertslund,Lokomotivfører,2,,3,,1,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,,1,,1,,3,,1,,3,,3,,2,,3,,3,,1,,1,,3,,3,,1,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg arbejder for et trygt Albertslund, med sikre områder om natten, byudvikling med omtanke, støjfri miljøer og gode muligheder for børn og ældre.","Jeg kæmper for et Albertslund, hvor alle borgere kan føle sig trygge - også om natten. Jeg vil arbejde for byudvikling med omtanke, der både beskytter vores grønne områder og sikrer gode boliger og faciliteter. Samtidig skal vores by være så støjfri som muligt, så børn, familier og ældre kan trives. Jeg prioriterer initiativer, der styrker hverdagsliv, trivsel og fællesskab, uden at gå på kompromis med kvaliteten i daginstitutioner, skoler og ældrepleje. Mit mål er at skabe en kommune, hvor alle kan bo godt, føle sig sikre og have adgang til attraktive fritids- og kulturtilbud."
121219340,Judithe Nielsen,23,False,64,A,Enlig,2,2620 Albertslund,Daginstitutionsleder,3,,1,,1,,3,,3,,2,,2,,1,,3,,3,,2,,2,,2,,3,,2,,2,,2,,3,,2,,1,,2,,2,,1,,1,,2,,3,,1,,"Miljø og klima, Ældre, Skole/dagtilbud for børn","Jeg brænder for at forbedre børns vilkår i daginstitutionerne , sikre tryghed og værdighed for seniorer og ældre, og sikre grøn omstilling","Du bør stemme på mig, fordi jeg kender Albertslund - ikke bare som by, men som fællesskab. Efter 22 år her ved jeg, hvor stærkt vores lokalsamfund kan være, når vi løfter i flok.Jeg vil arbejde for, at Albertslund fortsat er et godt sted at være børnefamilie, hvor hverdagen hænger sammen, og hvor børnene får de bedste rammer.Samtidig skal vi holde fast i vores grønne profil, som er en del af byens DNA - men vi skal gøre det på en måde, der også giver mening for helt almindelige familier.Og endelig vil jeg kæmpe for et værdigt og aktivt seniorliv, hvor erfaring og fællesskab bliver set som en styrke.Kort sagt: Jeg stiller op, fordi jeg vil have, at Albertslund fortsat er et sted, hvor man både kan vokse op, leve og blive gammel med stolthed."
6649060,Julie Marie Larsen,90,False,33,A,,1,2620 Albertslund,.,1,,4,,1,,3,,4,,3,,0,,1,,2,,2,,3,,3,,1,,2,,1,,3,,3,,3,,1,,2,,1,,3,,3,,0,,3,,3,,1,,"Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg går til valg på et løft af vores folkeskole, børn og personale skal trives. Kultur og idræts faciliteter skal udbredes til langt flere børn. Alt sammen gode overskrifter som jeg vil handle på.","Nemt med overskrifter, svært med hvordan man vil det. Jeg vil i langt højere grad se på hvordan folkeskolen er bygget sammen og gentænke hvordan kan vi gøre det bedre, inddragelse af personale og andre fagpersoner, der sammen kan få ""bygget"" folkeskolen op på en anden måde, noget fungere, men meget gør ikke, og det skal der sættes en stopper for. Om 4 år skal der være sket meget på dette område, socialdemokrater tager ansvar,  men nye yngre kræfter ind i kommunalbestyrelsen i samspil med vores erfarne borgmester kan rykke på mange ting de kommende 4 år. Ældre skal leve værdigt om de er hjemme eller på plejehjem,  jeg vil utroligt gerne blive klogere på og arbejde for hvordan man inden for den økonomi der er kan gøre det endnu bedre.Kultur og idræts tilbud til børn og unge skal flere benytte sig af, det skal gøres til en selvfølge for byens børn og unge at deltage aktivt i forenings livet, fordi det giver så meget tilbage, det vil jeg arbejde politisk for sker."
121219342,Kalle Jensen,11,False,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
