id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,themes,short,long
383,Jesper Würtzen,4502,True,60,A,Gift,3,2740 Skovlunde,Borgmester,3,,3,,3,,3,,4,,3,,2,,2,,2,,3,,3,,3,,1,,2,,1,,3,,1,,2,,3,,2,,2,,3,,1,,1,,3,,3,,"Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Skole/dagtilbud for børn",Ballerup er en god kommune med højt niveau på velfærd.Vi er godt i gang med vores klima og naturplan. Jeg vil sikre fortsat en solid økonomi og bredt samarbejde om at gøre vores kommune endnu bedre.,"Ballerup er en god kommune, og vi er i god udvikling. Vi har en bundsolid økonomi. Vi har råd til et højt niveau på for velfærd for børn, ældre og mennesker med sygdom og vanskeligheder. Jeg har ambitioner om at gøre det endnu bedre i dialog med vores medarbejdere og borgere.Vi har en lav ledighed, et stærkt erhvervsliv og vi har fået flere borgere til vores kommune, der er godt i gang med at blive en del af vores mange fællesskaber og foreningsliv. Også her har jeg endnu større ambitioner.Vi har en ambitiøs klimahandleplan, som vi er godt i gang med at rulle ud. Med vores naturplan investerer vi i at gøre den gode og forskellige natur omkring os endnu grønnere.Socialdemokratiet i Ballerup har gjort det godt i mange år. Vi har vist, at vi kan skabe en kommune med vækst og velfærd for borgerne. Vi har taget ansvar - også for de svære og vigtige beslutninger. Vi har samlet kommunalbestyrelsen bredt, og vi har taget lederskabet.Jeg stiller op for at gøre vores kommune endnu bedre."
40113,Charlotte Holtermann,342,True,54,A,Enlig,2,2750 Ballerup,Folkeskolelærer,1,,0,,1,,3,,4,"De politikere, jeg kender godt, har høj troværdighed, men jeg kender ikke alle til bunds.",1,"Vi har haft en stor udbygning af Ballerup de seneste par år, hvilket har været godt for vores økonomi. Men det har forårsaget, at vi halter lidt bagud med institutioner, skoler og plejehjem.Jeg synes, det er tid til at falde lidt til ro og få styr på de andre faciliteter, før vi øger befolkningsvæksten igen.",3,,1,"Jeg er ikke imod el-biler, men for hver ladestander, der sættes op på eksisterende p-pladser, jo færre muligheder er der for at finde en parkeringsplads, fordi du kun må holde der, mens du lader.",1,"Vi skal have plads til alle trafikanter, og derfor er det vigtigt at sørge for gode forhold for både de gående, cyklisterne og bilisterne.",3,,4,,3,"Det er mega vigtigt med kultur- og sportstilbud for vores unge mennesker, for dermed kan vi skabe grobund for, at de kommer med i fællesskaber og i længden undgår at opleve ensomhed, depression, overvægt mm.",1,,1,,1,,3,,0,,3,"Jeg vil gerne være med til at lave nogle forsøg omkring madordninger, som vi også gør lige nu med morgenmad på en skole, og kende mere til effekten.",4,,1,"Jeg synes allerede, at vi har nogle passende åbningstider. Jeg er sikker på, at nogle enkelte familier kommer i klemme, men så må vi kigge på løsninger for disse familier i stedet for at holde åbent i alle dagtilbud.",4,"Vi bør have en maks. klassekvotient på 23 elever. Jo flere elever, der er i en klasse, jo mindre tid har den enkelte lærer til de individuelle behov.",1,,0,"Hvis vi skærer ned på de offentligt ansatte, hvem skal så passe de ældre? Hvem skal undervise børnene i skolerne? Hvem skal servicere de arbejdsløse?",0,"Jeg vil hellere sørge for, at der er råd til at investere i velfærd.",3,,3,,"Trafik, Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn","Du skal stemme på mig, hvis du vil have en kandidat i kommunalbestyrelsen, der sætter borgerne først, er åben over for nye muligheder og tilgodeser alle uanset alder, bopæl, indkomst og baggrund.","Omsorg, empati og værdighed er de værdier, jeg har taget med mig fra min barndom, og de er alle fundamentet for mit livssyn og mit valg i forhold til politisk ståsted.I mit politiske arbejde prøver jeg altid at se sagerne fra borgernes perspektiv, når der skal træffes beslutninger, for uanset om du er barn i en vuggestue, elev i en skoleklasse, enlig mor, kontanthjælpsmodtager, travl børnefamilie eller ældre medborger, så har du ret til omsorg, empati og et værdigt liv.Første gang, jeg stillede op til kommunalbestyrelsen, var det med et ønske om at gøre en positiv forskel for mine medborgere i Ballerup.Dette ønske har ikke ændret sig i de forgangne næsten 12 år, og jeg føler stadig, at jeg har mere at give af og bidrage med.Jeg håber derfor, at du vil overveje at sætte din stemme personligt på mig, så jeg får endnu et mandat at arbejde ud fra de næste 4 år.Mærkesager:Folkeskolen i fokusTid og kvalitet i dagtilbudEt værdigt seniorlivAlle skal ind i et fællesskab"
23523,Johan S. Müller,298,True,27,A,Gift,0,2750 Ballerup,Jurist,1,,1,Robotstøvsugere skal være et tilvalg.,1,,3,"Det er gået stærkt på det sidste med boligudbygningen.Det har været rigtig godt for økonomien, og det er vigtigt for vores velfærd. Men det er gået stærkt, og nogle gange også for stærkt. Derfor skal vi lette foden fra speederen på byudviklingen de kommende år.",3,"Jeg har meget godt at sige om mine kolleger. De er dygtige og arbejdsomme - også selvom nogle af dem har holdninger, jeg er helt uenig i.",2,,2,"Vi skal kunne mere i Europa og i Danmark. Vi skal helt undgå kinesisk teknologi, og være påpasselige med store investeringer i amerikanske produkter.",1,Vi bor i en forstads kommune. Derfor er mange afhængige af bilen. Den skal man kunne komme af med. Der skal både være plads til biler og mennesker.,3,,2,,3,,3,,2,,1,"Det er vigtigt, at vores medarbejdere - især i ældreplejen - kan tale dansk.",1,Vi skal bruge flere penge på forebyggelse og færre på at slukke brande.,1,"Det går rimelig godt med ældreplejen, men jeg har gennem mine år i kommunalbestyrelsen også stødt på situationer, der bestemt ikke er i orden.  Det handler ikke om medarbejderne,  men om de arbejdsforhold, vi giver dem.",3,"Jeg er enig, men jeg vil også gerne bruge flere penge på ældreplejen.",3,,1,,4,,3,,3,,1,,1,"Det er ikke fordi, vi skal have en tårnhøj kommuneskat. De sidste mange år har vi haft et stabilt skatteniveau. Det er godt. Det er blevet dyrere at være dansker - og borger i ballerup Kommune.",3,,3,,"Miljø og klima, Ældre, Sundhed, Skole/dagtilbud for børn, Beredskab og sikkerhed","Jeg elsker at bo i Ballerup. Og meget går godt. Men der er meget, vi sagtens kan gøre bedre. Tryghed på stationerne og ældreplejen. Og vi skal gøre livet bedre for børnene, og lettere for forældrene","Når jeg stiger ud af s-toget om aftenen, er det ikke altid helt trygt. Og der er for mange mørke områder i Ballerup Kommune, hvor det ikke er rart at gå, når solen er gået ned.Jeg synes, at vi skal gøre det bedre at være barn, og lettere at være voksen. Det skal forstås på den måde, at man som forældre skal være tryg ved at overlade sit barn i institutionen. Der skal være nok voksne, og de ansatte skal have de rette kompetencer. Flere ansatte skal have pædagoguddannelsen. Og åbningstiden skal være længere, så forældre ikke skal skynde sig alt for meget hjem. Børneforældrene har travlt nok.De sidste år har jeg hørt meget om vores ældrepleje. Både godt og skidt. og som pårørende til en beboer på et plejehjem,  kan jeg også godt se, at altid ikke går som det skal.  Der skal simpelthen ansættes flere i ældreplejen."
121219357,Kristine Bugge Mellemgaard,282,True,,A,Gift,4,2750 Ballerup,Sagsbehandler for personer der er sygemeldte.,1,,1,,2,,2,,3,,3,,2,,2,,2,,3,,2,,3,,1,,1,,1,,3,,1,,1,,2,,3,,3,,1,,0,,0,,3,,2,,"Ældre, Skole/dagtilbud for børn",Jeg ønsker bedre forhold for de ældre med fokus på bedre samarbejde med de pårørende.Jeg ønsker bedre trivsel hos vores børn og unge og tror på tidlig indsats som en vej.,"Jeg ønsker at styrke trivsel for både ældre, børn og unge. Jeg tror på et styrket samarbejde mellem ledelse, personale og pårørende vil medvirke til bedre trivsel hos vores ældre. Jeg tror på at en tidlig indsats i arbejdet med vores børn og unge vil medvirke til øget trivsel hos både den enkelte og til et mere trygt fællesskab for den større gruppe."
23401,Morten Andersson,195,True,45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Hella Hardø Tiedemann,440,True,69,A,Gift,5,2750 Ballerup,Social- og sundhedsassistent,3,"Det er en rigtig god ide at indsnævre vejbaner ikke for at skabe parkeringspladser, det er jo en sidegevinst. Indsnævringen skal gøres for at sænke hastigheden og mindske støjen. Det gør jo også at vi får færre biler igennem byen som jo er plaget af trafik.",0,Jeg synes jo ikke at robotstøvsugere bare er lykken. Jeg har en frygt for at de kommer til at erstatte menneskelig kontakt. Jeg har en holdning der hedder at det skal være fuldstændig frivilligt at anvende robotstøvsuger hvis man er visiteret til støvsugning. .,3,Hvis vi vil have en høj beskæftigelsgrad hos indvandrere så bliver vi også nødt til at give den allerbedste integration. Det kan godt være det koster lidt men jeg tror de penge har givet godt ud fordi vi får så meget tilbage.,4,Der er bygget alt for meget de seneste fire år og det er gået meget stærkt. Det er gået ud over borgerne at vi har udnyttet muligheden for at få bygget i en god tid. Der skal være ro på byggerierne fremover.,4,Selvfølgelig har politikerne en højt troværdighed og det skal vi også have. Hvis ikke der er tillid kan man ikke skabe en god kommune.,3,Vi bliver jo nødt til at vækste i indbyggertal hvis vi vil bevare velfærden. Det nytter ikke noget at have en kommune bestående af kun ældre så derfor skal der nye indbyggere til og vi skal fastholde de unge i vores kommune.,2,Jeg tror der skal være en bred vifte af Tech virksomheder i vores kommune. Blot fordi Trump er præsident skal vi jo ikke kaste alt væk. Der kommer en dag hvor de får en ny og fornuftig præsident i USA.,,,,,1,Umiddelbart har vi en god fordeling af p-pladser til fossil og elbiler,4,Hvis vi mener noget med de klimahandlinger vi har i gang så bliver vi også nødt til at sikre bedre og ordentlige forhold for cyklister. Ellers tager borgerne hellere bilen.,4,Vi er nødt til at nedbringe vores CO2 så derfor er vi også nødt til at bruge den nødvendige økonomi til det område. Vi er godt i gang men det kan blive meget bedre og det koster selvfølgelig nogle penge.,3,Vi er jo en bykommune så derfor skal vi passe på den natur vi har og jeg mener at vi er ved at være fuldt udbygget.,3,"Det er altid fornuftigt at der er et passende antal kultur og sportstilbud i kommunen. Det skal være muligt at gå til den sport eller den kultur som man har lyst til, her gælder det specielt børn og unge.",0,Vores borgere skal have mulighed for kulturelle oplevelser og det er vores kunst en del af. Der er i tidernes morgen brugt langt flere penge på kunst end vi gør nu så jeg synes bestemt ikke at vi bruger for mange penge på det område.,3,Jeg er enig i at vi skal tiltrække udenlandsk arbejdskraft til de områder hvor vi mangler arbejdskraft. Men jeg har stadig en holdning til at de medarbejdere vi har er nødt til at kunne tale og forstå dansk. Derfor en god integration af udenlandsk arbejdskraft.,0,Igen tror jeg på at alle borgere i Ballerup skal have de bedste betingelser og hvis vi sparede på socialt udsatte så vil de jo ikke have de bedste betingelser. Vi skal bruge den nødvendige økonomi til området,1,Som social- og sundhedsassistent og som ansat i plejeområdet  igennem mange år synes jeg at området er blevet udhulet og at glæderne er blevet mindre. Der er alt for mange regler for hvordan ting skal gøres og hvor meget tid der må bruges.,1,"Jeg tror ikke på at det er muligt at levere bedre ældrepleje uden at det koster penge. Jeg synes i forvejen vi har sparet alt for meget på ældrepleje selvom vi har tilført midler. Jeg tror at vores ældre borgere har gavn af at få en ældrepleje som er værdig, kærlig og omsorgsfuld.",3,"Hvis vi kan finde den nødvendige økonomi til det så synes jeg det er en rigtig god ide at alle børn får et sundt måltid varm mad til frokost. Hvis forældrene så fik det samme på arbejdspladsen så vil de give mere tid, kvalitetstid til familierne.",3,Jeg synes at vi skal have røgfri udendørs områder der hvor der dyrke sport eller hvor mange mennesker mødes.,1,Jeg synes at de åbne lukketider vi har er rigtig fornuftige. Der kan selvfølgelig være tilfælde hvor forældre arbejder udenfor normal åbningstid men generelt er det fint.,3,Jo flere børn i klasserne jo ringere forhold og jo ringere undervisning for den enkelte elev. Børnene er dem som skal leve og levere i vores kommune fremover. De skal have de bedste betingelser,3,Det er altid klogt at tiltrække private arbejdspladser. Det giver kommunen et godt fundament i forhold til skatteindtægter. Jeg tror dog alligevel at vi bruger de nødvendige ressourcer på området.,1,Jeg tror at vi er ved at have ramt rammen for antallet af ansatte. Hvis vi vil have udført de opgaver som øger glæden hos de ansatte og tilfredsheden hos borgerne så er vi nok der hvor vi skal være,0,Vi har en stærk og en sund økonomi i Ballerup og hvis vi vil bevare den så er der ikke råd til skattenedsættelser.,"Trafik, Miljø og klima, Ældre",Overvejende enigJeg er ved at kommunen kan sikre borgerne i tilfælde af ekstraordinære vejrfænomener men det betyder ikke vi skal slække på indsatsen. Vi bliver nødt til hele tiden at tilpasse indsatsen i forhold til klimaændringerne.,"Overvejende uenigI vores kommune har vi det nødvendige antal sikringsrum. Min eneste bekymring er at de skal gøres klar og at borgerne skal vide hvor de skal gå hen,"
705,Peter Als,208,True,72,A,Gift,2,2740 Skovlunde,Pensioneret klubleder,3,"Det har været godt indtil nu. Om det også er godt at gå videre afhænger af, om trafikken kan bære det. Men der skal være plads til byens biler, også parkeringspladser.",3,"Ja, men vi skal huske værdigheden for de ældre. Værdighed handler også om selv at kunne vælge, selv at kunne bestemme.Medarbejdertiden kan så bruges til noget andet. En god snak, hjælp til at skrive et brev eller andet.",2,"Vi gør meget. Jeg tror ikke, at det er nødvendigt med mere. Dog kunne en af vores skoler gerne have en international linjetil de mange engelsktalende, der kommer og arbejder i kommunens virksomheder.",2,"Det var nødvendigt at udbygge kommunen. Både fordi der kommer mange nye borgere til hovedstadsområdet, men mest fordi mange af kommunens borgere er kommet til i 1960 og 1970´erne og nu er ældre og udenfor arbejdsmarkedet. Vi havde brug for en mere balanceret alderssammensætning af kommunens borgere, derfor er der blevet bygget, som der er.",3,"Generelt ja, men det er naturligvis personbårent.  Nogle gange må jeg ryste på hovedet over det, politikere skriver på Facebook.",2,"Vi har nået det indbyggertal, der var behov for, for at kunne have en god alderssammensætning af borgere. Vi har gang i at udvikle et blandet bolig og erhvervsområde i Kildedal. Det fortsætter.",3,"Det er vist både et kommunalt, et landspolitisk og et europæisk problem.  Ballerup kan gå et stykke af vejen ved f.eks. at bruge open source. Det er ikke min spidskompetence at komme med forslag til dette.",1,"Vi nærmer os et punkt, hvor bilerne må sidestilles ved parkering. Naturligvis skal benzin og dieselbiler dog ikke optage ladepladser.",3,"Vi skal da sikre ordentlige forhold for både bilister og de bløde trafikanter. Vi har de senere år brugt mange millioner på vejene, og sætter nu penge af til bedre forhold for cyklister.",3,CO2 udledningen skal så meget ned som muligt. Det arbejder vi på. Det gør det ikke rigtigt dyrere at være borger.,3,"De nye byggerier i Skovlunde og på Telegrafen er bygget på grunde, der i forvejen var bebyggede. Kun byggeriet på Baltorpvej er bygget, hvor der før var en græsplæne, en græsørken, som nogle insektinteresserede kalder det.  Nu bliver en del af plænen også til en fin park med klima og biodiversitet tænkt ind.",3,"Sport og kultur til børn og unge er en god investering både menneskeligt og økonomisk. Gode muligheder for børns trivsel, udvikling og læring er de bedste investeringer der findes. Sport og kultur understøtter dette.",1,"Det er rigtigt klogt for en kommune at bruge penge på kultur. Det er gode investeringer. Det påstås at investeringer i kultur kommer 6-fold tilbage.  Ballerup har meget kunst, det meste betalt af fonde. Det er en god måde at få kunst i bybilledet, uden at pengene skal tages fra andre områder. Dog skal kommunen bruge penge på at vedligeholde kunsten, det koster lidt.",1,"Kvalifikationerne skal jo passe til stillingen. Vi har f.eks. brug for folk, der taler dansk i vores dagtilbud.  Mange funktioner kan udføres af folk fra andre lande,  men ikke alle. Jeg har intet imod, at vi ansætter medarbejdere med en anden baggrund end dansk, hvis de allerede er lovligt i Danmark, men en kommune skal da ikke arbejde for at tiltrække dem til Danmark.",2,"Nej, vi bruger det der skal til.",3,"Så vidt jeg ved, er de fleste tilfreds, men der kommer ind imellem fortællinger om noget, der kunne have været bedre. Vi skal altid bestræbe os på at blive bedre, og også finde penge til det.",1,"Der er altid nogle der tror, at det offentlige er ineffektivt og dyrt. Det tror jeg ikke på.  Jeg tror, at vi får ""value for money"" i vores ældrepleje. Vi vil gerne have ældrepleje i topklasse, og vil også gerne investere i det.",3,"Det er en god drøm, en vision. Lige nu er dog ikke råd til det. Regeringen må bakke op omkring økonomien, hvis det skal lykkes.  Pt. er det vigtigere med flere uddannede pædagoger i dagtilbud og flere tolærertimer i skolen.",3,"Ja. Vores idrætsanlæg skal forblive røgfri, og for mig gerne flere røgfri zoner, hvor mange mennesker er tæt samlet.",3,"Vi har relativt lang åbningstid i vores institutioner. Med et arbejdsmarked i forandring, skal vi også kunne følge med udviklingen og måske give den halve times udvidede åbningstid tilbage,  det blev sparet væk, fordi den ikke blev brugt ret meget for nogle år siden.",3,"Det har vi jo gjort for længst. Vi nedsatte klassekvotienten fra 28 til 25 i indskoling og på mellemtrin for mange år siden, nok som en af de første kommuner, måske den første. Det kostede mange penge, med de var godt givet ud. Vi overvejer nu, om det også skal forlænges til udskolingen.",3,"Skal man nu svare ja eller nej, når vi har flere arbejdspladser end borgere i Ballerup Kommune. Over 53000 arbejdspladser hvoraf over 40.000 er private. Så svaret er ja, men det gør vi allerede.",1,"Vi bliver flere borgere, det kræver også flere medarbejdere. Flere pædagoger. Flere lærere, flere socialrådgivere osv.Vi skal sikre, at ressourcerne bruges effektivt, det gør vi også.",1,"Vi har holdt skatten i ro i mange år i Ballerup. Det skal vi blive ved med. Vi har meget store udgifter de kommende år, og der er stor usikkerhed om kommunernes økonomi fremover. Heldigvis er Ballerup Kommune veldrevet og med en stærk økonomi, så det skal nok gå, men vores økonomiske styrke skal ikke udhules med skattelettelser.",4,"I den grad ja. Gode skoler, institutioner, ældrepleje, kultur mv. og rigtig god service til erhvervslivet. Man kan som politiker og socialdemokrat godt være stolt af Ballerup Kommune. Hvilket vi også hører fra folk med forstand på den slags.",3,"Ja, og vi tænker klima og vejrhændelser ind i vores generelle planlægning, når vi bygger og renoverer.","Miljø og klima, Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn, Erhverv/administration","Dagtilbud, skoler, børns fritid og kommunens økonomi er mine områder. I 12 år som gruppeformand har jeg stået for ordentlighed og samarbejde i kommunalbestyrelsen. Det er der stadig brug for.","Jeg tror, at borgerne ønsker en kommunalbestyrelse som samarbejder, og jeg tror på, at de bedste resultater for borgerne og for kommunen får vi, når vi respekterer hinanden og lytter til hinanden.I 12 år som socialdemokratisk gruppeformand har jeg stået for ordentlighed og samarbejde. Det går jeg til valg på.Jeg går også til valg som formand for Børne- og Skoleudvalget. De tidligste år i et barns liv,  påvirker skolegang og senere voksenliv. Derfor er det så vigtigt, at vi har daginstitutioner med høj kvalitet og med nok uddannede pædagoger og med gode medarbejdernormeringer. PÅ samme måde med skolerne. Det enkelte barns trivsel, udvikling og læring beror i høj grad på at klassefællesskaberne fungerer. Er det ikke rart at være i klassen opstår mistrivsel, der kan føre til fravær og skolevægring. Derfor skal vi have styrket klasselærerfunktionen, det vil jeg sikre. I økonomiudvalget vil fortsat sikre, at kommunen er veldrevet, og at kommunens økonomi er stærk på den lange bane."
748,Maria Lundahl Assov,234,True,60,A,Gift,2,2750 Ballerup,Grafiker og TR i privat grafisk virksomhed,1,"Indsnævring af veje skal ikke ske for at skabe parkeringspladser. Der kan være andre grunde til, at vi vælger at indsnævre veje.",3,"Det skal dog være frivilligt. Vi har brug for at få frigjort medarbejdertimer, da vi har svært ved at rekruttere medarbejdere. Der er desværre for få, der ønsker at uddanne sig til velfærdsfagene. Der er behov for at se på vilkårene og lønnen, så det kan blive mere attraktivt, at være inden for bl.a. ældrepleje.",3,"Integration er vigtigt. Vi skal sikre, at der ikke udvikler sig parallelsamfund.",2,"Der er bygget meget, så derfor skal der ikke bygges mere end det, der allerede er planlagt.Det har dog været nødvendigt, at vi har fået nye borgere, da vores borgere bliver ældre og vi har brug for nye borgere for at sikre fortsat velfærd.",3,,3,"Men foreløbig ikke mere end det, der er planlagt.",2,,3,Der er efterhånden rigtig mange el-biler på vores veje. Det skal være nemt at vælge de miljørigtige transportformer.,3,"Hvis vi sørger for gode cykelstier og fortove, vil flere borgere bruge de sunde og miljørigtige alternativer til transport.",2,,2,"Det er en balance. Vi skal ikke sætte gang i mere byggeri end det allerede planlagte. Det er vigtigt, at der altid tænkes grønne områder og løsninger ind, når der bygges.",2,Vi har et mangfoldigt foreningsliv. Der er rigtig mange muligheder for børn og unge i Ballerup.,2,Kunst og kultur er vigtig. Det gør vores kommune mere spændende.,1,"Jeg har som udgangspunkt ikke noget imod, at vi ansætter udenlandsk arbejdskraft. Vi har dog udfordringer med at finde personale til flere af vores velfærdsinstitutioner. Derfor kan det være nødvendigt, men det er vigtigt at de lærer dansk, så der ikke f.eks. kommer hjemmehjælpere hjem til de ældre, som ikke kan kommunikere med borgeren, de skal hjælpe.",1,"Jeg sætter stor pris på vores velfærdssamfund. Vi skal passe på de borgere, der ikke kan klare sig uden hjælp, det er et fælles ansvar.",3,,2,"Hvis vi kunne rekruttere medarbejdere og blev fri for at bruge for mange vikarer, tror jeg, vi kunne få bedre ældrepleje for de samme penge. Jeg mener dog også, at vi bør prioritere flere penge til ældrepleje.",3,"Det er dyrt at tilbyde gratis frokost, så selvom jeg synes det er en god idé, tror jeg desværre ikke, det er muligt. Men vi har et projekt med gratis morgenmad på en skole, som foreløbig viser sig som en stor succes. Når det bliver evalueret, håber jeg, vi kan finde økonomi til at udbrede det til flere skoler. Jeg er spændt på at finde ud af, om det har effekt på elevernes læringsparathed.",3,,2,"Det er vigtig at lytte til borgernes behov for pasning. Hvis der er et stort behov for noget andet,  end det der tilbydes, må vi se på det.",3,,2,"Der er rigtig mange arbejdspladser i Ballerup Kommune, faktisk flere end vi har borgere. Jeg tror ikke, der er brug for at bruge flere ressourcer for at tiltrække arbejdspladser. Vi har nogle gode erhvervsklynger, som gør at virksomhederne selv ønsker at komme til Ballerup. Vi skal naturligvis være behjælpelig.",1,"Det er de kommunalt ansatte, som leverer den velfærd, som jeg synes er meget vigtig.",0,,3,,3,,"Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn",Jeg vil fortsætte mit engagement i forhold til børn og unge i både daginstitutioner og skoler.  Handicap og psykiatri er også en af mine mærkesager. Ældre og deres forhold ligger mig også på sinde.,"Jeg har et stort engagement og bruger meget tid på at møde borgerne, vi laver politik for. Jeg har i denne periode været observatør i 3 skolebestyrelser og en distriktsdagtilbudsbestyrelse, hvor jeg får feedback og inspiration til de politiske beslutninger i forhold til børn og unge i daginstitutioner og skoler. Jeg har en voksen søn, som er infantil autist og stærkt udviklingshæmmet og derfor er handicap og psykiatri også vigtigt for mig.  Jeg sidder i bruger- og pårørenderåd på 2 af vores botilbud til borgere med handicap og jeg er formand for Handicaprådet. Jeg mener, min erfaring fra mit privatliv gør, at jeg har en indsigt og forståelse for borgere med handicap og psykisk sygdom. Både børn og voksne.Vi skal passe på de ældre, der ikke kan klares sig uden hjælp og have særlig opmærksomhed på borgere med demens og deres pårørende.Jeg ønsker en kommune,  hvor ingen står alene, hvis de ønsker at være en del af et fællesskab. Vi har et fælles ansvar for at få alle med."
597,Lolan Ottesen,352,True,69,A,Samboende men ikke gift,1,2750 Ballerup,Lokalpolitiker,1,,3,,2,,1,,4,,3,,4,,1,,3,,2,,3,,3,,0,,1,,1,,4,,3,,3,,4,,2,,0,,4,,0,,0,,4,,4,,"Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Sundhed, Beredskab og sikkerhed","Jeg har stor erfaring og har forsat lyst til at gøre en indsats for min kommune. Jeg vil arbejde for tryghed, omsorg og fællesskaber, samt sætte mere fokus på sundhed.","Jeg har været med til at sikre...- en fremskudt sundhedsindsats ""sundhed på hjul""- flere ressourcer til demensområdet - flere aktiviteter på vores plejehjem- fokus på ensomme hjemmeboende ældre - Kommunalt Psykiatriråd - fællesskaber og frivillighed- Foreningsfitness i Ballerup- Kreativ kunstforening Ballerup- Måske et galleri i gågaden i Ballerup- Musik på Kirketorvet - Glad Musik i Damgårdsparken- Ballerup ÅRETS JULEBY 2025"
121219354,Irem Ulusoy,144,False,41,A,Gift,3,2750 Ballerup,Juridisk chefkonsulent,3,,0,,3,,3,,0,,3,,0,,0,,1,,1,,3,,1,,0,,1,,1,,1,,4,,0,,3,,3,,4,,4,,3,,1,,1,,3,,"Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Skole/dagtilbud for børn","Nyt blik på Ballerup - med gennemsigtighed, tillid og respekt som rettesnor. Jeg vil skabe et mere åbent, ærligt og inkluderende lokaldemokrati, hvor alle borgere bliver set og hørt.","Jeg stiller op, fordi jeg ønsker et nyt blik på, hvordan vi udvikler Ballerup. Politik skal bygge på tillid, åbenhed og respekt - ikke på lukkethed og mistillid. Jeg tror på, at ærlig dialog og gennemsigtighed skaber stærkere fællesskaber og bedre beslutninger.Som kandidat vil jeg arbejde for, at borgerne bliver taget alvorligt og inddraget i de beslutninger, der påvirker deres hverdag. Gennemsigtighed betyder, at man skal kunne følge med i, hvordan og hvorfor ting besluttes. Tillid handler om at lytte - også når vi er uenige.Jeg ønsker en kommune, hvor alle føler sig set og hørt, uanset baggrund, alder eller livssituation. Et Ballerup, hvor fællesskab, lige muligheder og ordentlighed går hånd i hånd.Vi har brug for politik med hjerte, indsigt og mod til forandring - og for en stemme, der insisterer på, at vi kan skabe et mere åbent, ærligt og inkluderende lokaldemokrati."
