id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,a31,c31,themes,short,long
6649094,Maja Højgaard,1737,True,39,A,Gift,2,2605 Brøndby,Borgmester,1,,3,,4,,1,,3,,2,"Det er ikke grundejerne alene, der kommer til at betale. Kommunerne i Strandparken og Staten betaler størstedelen.",4,,2,,3,,2,,3,,3,,1,,1,,1,,4,,1,,3,,2,Kommunens udendørsarealer er allerede røgfri,1,,1,,0,,1,,0,,4,,4,,0,,"Trafik, Ældre, Sundhed, Skole/dagtilbud for børn, Beredskab og sikkerhed",Brøndby er en dejlig by. Vi har stærke traditioner for at tage socialt ansvar og styrke fællesskaberne. Det er vigtigere end nogensinde at tage ansvar for en tryg fremtid.,"Jeg brænder for Brøndby, og derfor har jeg et stærkt fokus i alt hvad jeg gør, for at skabe de bedste chancer, for os der bor her. Jeg tror meget på den demokratiske samtale og derfor var det vigtigt for mig at flytte borgmesterkontoret ud i bydelene. Som Brøndbys borgmester er jeg bevidst om at det ikke er lige let for alle at komme til orde. Og for at høre dem, der har mest behov for hjælp, må man have en nysgerrighed, der rækker forbi dem der råber højest.Mine vigtigste prioriteter er: Alle børn er vores fremtid, det skal være trygt at blive ældre og vi skal sammen tage ansvar for den grønne omstilling. Alt dette kan kun lade sig gøre, hvis vi har en fornuftig økonomi. Vi ved at hvis bunden går ud af kommunekassen er det altid de svageste det rammer hårdest.Vi har stærke traditioner og fællesskaber i Brøndby. Dem skal vi styrke.  Vi skal styrke demokratiet ved, at gøre det lettere at være forening, let at søge penge og let at starte nye foreninger op."
23940,Henning Elmelund,238,True,69,A,Gift,4,2605 Brøndby,Skoleleder for AOF Rødovre-Brøndby.,3,,3,,2,,2,,3,,3,,4,,3,,3,,3,,2,,3,,1,,1,,1,,3,,3,,3,,3,,2,,2,,2,,1,,1,,4,,3,,1,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn",Jeg er født og opvokset i Brøndby og altid været aktiv som frivillig.Jeg har ambitioner og ønsker at videreudvikle vores kommune.Brøndby skal være den mest attraktive og bedste kommune at bo i.,"Vestbad skal bevares:Det er en af Danmarks største svømmehaller med mere end 300.000 årligt besøgende. Det er et sted hvor alle generationer mødes. Jeg kom der som barn og mine børn kommer der. Det er et sted med plads til fællesskab, motion og velvære.Det samlede kulturområde skal løftes:Kulturen giver livskvalitet. Den binder folk sammen og skaber fællesskaber. Vi skal have fokus på musiklivet og kunst i byrummet. Vi skal have nedsat et kunstråd og sikre gode rammer for udfoldelsen af kunst.Vi skal støtte det frivillige arbejde:Foreningslivet er kommunens DNA. Vi skal sikre optimale rammer for det frivillige arbejde. Foreningslivet skaber sammenhold, livskvalitet og fællesskaber.Ensomhed skal bekæmpes og fællesskabet skal fremmes."
6649093,Anette Pilmark,524,True,61,A,Gift,3,2660 Brøndby Strand,Formand Børne- og Skoleudvalget,0,"Vores skoler skal ikke være større, så bliver de for store. Brøndby vokser, og derfor har vi brug for nye løsninger i alle 3 bydele.",2,"Vi gør allerede meget for at prioritere de grønne områder, og jeg mener godt, at vi både kan sørge for en god infrastruktur og flere grønne områder.",4,"Der bør være en mere ligelig fordeling af kønnene i vores kommunalbestyrelse i Brøndby. Det er selvfølgelig vælgerne der bestemmer på valgdagen, men pt. er socialdemokratiet det eneste parti i Brøndby med en kvindelig spidskandidat.",1,"Vi gør allerede meget og bruger allerede mange penge, fx på modtagerklasser i skolerne.  Vi vil gerne arbejde med integration, men ressourcerne skal følge med, så det ikke betyder besparelser for andre borgere i Brøndby.",3,Danmark skal nå sine klimamål og nedbringe CO2 - og her spiller træerne en vigtig rolle.,4,"Ejendomme tættest på kysten vil blive beskyttet af et nyt kystbeskyttelsesprojekt, som Brøndby sammen med Vallensbæk, Ishøj og Greve kommuner sætter i gang.  De grundejere, der er berørt kan blive bidragspligtige til etableringen af den nye kystbeskyttelse, men vi har også ansøgt Statens Kystpulje 2024 om midler til kystbeskyttelsesprojektet, så bidraget bliver så lavt som muligt.",3,"Vi arbejder med borgerinddragelse og borgermøder,  hvor alle har mulighed for at blive hørt.Vi har også fået et Ungeråd, som kan være de unges talerør til politikerne.Vi skal fortsat arbejde på mere borgerinddragelse.",1,,3,"Vi har for mange cykelstier til vores skoler, hvor sikkerheden halter. Det skal vi gøre noget ved.",1,"De største udledninger af CO2 kommer fra de private hjem og virksomheder. Kommunen skal også gøre sit, men det er noget vi gør sammen i Brøndby.",3,"Brøndby er en grøn kommune, og det skal vi blive ved med at være.  Når vi bygger nyt, skal det være bæredygtigt og med respekt for den omkringliggende natur.",3,"Vi har allerede rigtig mange gode tilbud til børn og unge i Brøndby - både indenfor idræt og kultur. Vi skal blive ved med at arbejde på at få flere med i kultur og fritidslivet gennem oplysning og et udvidet samarbejde med skoler og sfo'er, og så skal vi se på, om ikke vi kan gøre det bedre for de unge. Der mangler aktiviteter for de unge i Brøndby, som er gået ud af folkeskolen.",2,,0,,0,"Vi har mange socialt udsatte borgere, og den største andel af børn i Danmark, der lever under fattigdomsgrænsen. Vi skal gøre det bedste, som vi kan for de familier, der er ramt og især for de børn, som lever i socialt udsatte familier.",3,,2,"Vi er blandt de kommuner, der bruger flest ressourcer på vores ældre borgere, og det er godt, for borgere sent i livet har fortjent en værdig pleje med høj faglighed.Med den nye ældrelov bliver der mulighed for en mere fleksibel ældrepleje til gavn for alle.",2,"Jeg ville elske gratis madordninger i skolerne, men de økonomiske konsekvenser vil med de budgetter, vi har i dag være for store.",2,,0,"Vi har allerede justeret åbningstiderne, så de matcher familiernes behov.",1,"Vi har allerede et klassegns. på 22 elever, som er lavt ift. lovkrav og andre kommuner.",2,"Vi har et godt erhvervsliv i Brøndby med attraktive arbejdspladser for hele Hovedstadsområdet. Det skal vi fortsat arbejde på med de ressourcer, der allerede er sat af til formålet.",1,,0,,4,,3,,0,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn",Stem på mig for:1) et godt børneliv med tryghed og trivsel og et styrket ungeliv med flere muligheder for at mestre eget liv2) et grønnere Brøndby og3) en værdig alderdom med tid til kærlig omsorg.,"Børn og unge er vores fremtid, og vi skal give dem de bedste rammer for en god og tryg barndom og et godt ungeliv med mulighed for demokratisk medbestemmelse og gode uddannelsestilbud.Jeg arbejder for stærke sociale og faglige fællesskaber, dagtilbud af høj kvalitet med høje normeringer og en høj andel af pædagoger og skoler med gode læringsmiljøer og varieret undervisning og fokus på både social og faglig trivsel.Vi skal passe på kloden og på Brøndby, og derfor er en stemme på mig også en stemme på den grønne omstilling og bevarelse af vores dejlige natur og for rent badevand til fremtidige generationer.At blive gammel er et livsvilkår for de fleste, og selvom mange er sunde og raske højt op i alderen, så er det helt naturligt at få brug for hjælp. Når behovet opstår, skal der være tid til værdig pleje med høj faglighed og tid til kærlig omsorg.Tak fordi du læste med. Jeg håber, at du vil give mig din stemme, så jeg kan fortsætte mit arbejde for et bedre Brøndby."
121219378,Henrik Dornfeldt,145,True,59,A,Gift,4,2605 Brøndby,Halchef-daglig leder,1,,3,,4,,3,,2,,1,,4,,1,,3,,1,,3,,4,,2,,1,,2,,3,,2,,3,,1,,1,,3,,3,,2,,1,,4,,4,,2,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn","Stem på mig, fordi jeg kender hverdagen i Brøndby gennem 27 år i Brøndby Hallen og mange års frivilligt arbejde. Jeg vil styrke velfærd, boliger, miljø og sport - for en fælles fremtid for Brøndby.","Jeg stiller op til kommunalvalget for første gang, fordi jeg vil være med til at udvikle Brøndby i fællesskab med borgerne. Jeg har arbejdet i Brøndby Hallen i 27 år, først som halvassistent og de seneste 5-6 år som leder. Her har jeg mødt borgere i alle aldre og set, hvad der betyder noget i hverdagen. Mine mærkesager er ældre og velfærd, boligforhold og miljø. Vores ældre skal have en tryg og værdig alderdom, vi skal have gode og betalelige boliger, og vi skal tage ansvar for en bæredygtig fremtid. Sport er også en vigtig del af velfærden, fordi det skaber fællesskab, trivsel og livskvalitet på tværs af generationer. Jeg har selv i mange år været frivillig i sportsklubber, boligforeninger og løbehold, og jeg ved, hvor stærkt fællesskab kan være, når vi løfter sammen. Med mit engagement, mit lokalkendskab og min erfaring vil jeg arbejde for en stærkere velfærd og en fælles fremtid for Brøndby."
121219377,Berit Algreen Nilsson,81,True,41,A,Gift,2,2660 Brøndby Strand,Udbudskonsulent i Skatteministeriet,1,Børn har brug for gode rammer og plads til fællesskab. Nye skoler kan være nødvendige i stedet for blot at udvide de gamle.,2,,4,"Den nuværende kønsfordeling afspejler ikke befolkningen. En lige repræsentation ville være bedre og styrke både demokratiet og de beslutninger, der træffes i fællesskab.",3,"God integration styrker fællesskabet og trygheden. En indsats skal dog også ske med omtanke, så vi ikke svækker andre velfærdsområder.",1,"Vi skal værne om grønne områder, men jeg mener ikke at kommunen skal bestemme over private haver. Grønne løsninger skal findes i fællesarealer og gennem dialog.",0,"Kystsikring handler om at beskytte hele kommunen og fællesskabet - ikke kun de nærmeste grundejere. Det er et fælles ansvar at sikre os mod klimaforandringer, ligesom det med mange andre ting, også er et fælles ansvar.",3,Der findes flere muligheder for borgerinddragelse i Brøndby - men det kan altid blive bedre og det skal sikres at flere føler sig hørt og inddraget i de politiske beslutninger.,4,,2,,4,"Brøndby har allerede reduceret sit CO₂-udslip. Det viser, at vi kan gøre en forskel. Men vi skal fortsætte indsatsen - fordi klimaansvar er en investering i fremtidens fællesskab.",3,"Grønne områder er afgørende for livskvalitet, klima og fællesskab.",3,"Brøndby har allerede mange gode tilbud, men vi skal fortsat investere i kultur og idræt for børn og unge - det styrker fællesskab, trivsel og forebygger mistrivsel.",2,,3,"Der er brug for udenlandsk arbejdskraft til at sikre velfærd og service. Det er afgørende, at alle ansættes på ordentlige vilkår og bidrager til fællesskabet.",0,"Vi har alle et fælles ansvar for at støtte de mest udsatte. At hjælpe dem videre skaber både tryghed, værdighed og styrker hele fællesskabet.",2,"Mange medarbejdere gør et stort og vigtigt arbejde, men der er stadig udfordringer med ressourcer og rammer, som skal tage alvorligt.",1,"Der kan effektivisere noget, men en markant bedre ældrepleje kræver flere ressourcer og investering i medarbejdere.",4,"I Brøndby kan gratis madordninger mindske ulighed, sikre sunde måltider og styrke fællesskabet og indlæringen i skoler og daginstitutioner.",3,,1,Længere åbningstider må ikke ske på bekostning af kernevelfærden. Der bør prioriteres kvalitet og nok hænder i daginstitutionerne frem for længere åbning.,4,"Mindre klasser giver bedre tid til den enkelte elev. I Brøndby er dette meget vigtigt og skolerne skal prioriteres, så alle får de bedste muligheder for læring og trivsel.",3,Flere private arbejdspladser kan styrke lokalsamfundet og skabe vækst.,0,"Kommunens ansatte er fundamentet for vores velfærd. Hvis der skæres ned, går det ud over børn, ældre og udsatte - og det svækker fællesskabet.",1,"En lavere kommuneskat vil betyde mindre velfærd. Jeg prioriterer gode skoler, daginstitutioner og ældrepleje over skattelettelser.",4,,2,,2,,"Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Sundhed, Skole/dagtilbud for børn","Stem på mig, hvis du ønsker en kommune med fokus på børns trivsel, stærke fællesskaber og et Brøndby, hvor vi løfter i flok.","Stem på mig, hvis du ønsker en kommune med fokus på børns trivsel, stærke fællesskaber og et Brøndby, hvor vi løfter i flok. Som mor og bonusmor til fire ved jeg, hvor meget det betyder, at børn har trygge rammer, gode skoler og adgang til fritidsaktiviteter, der giver dem både glæde og selvtillid. Men et stærkt Brøndby handler ikke kun om børn - det handler om os alle sammen. Vi skal have en kommune, hvor fællesskabet altid står forrest, hvor mangfoldigheden er en styrke, og hvor alle - uanset baggrund - kan bidrage og trives. Jeg vil arbejde for, at ingen oplever at stå alene, og at familier får den støtte, de har brug for, fra kommunen. Samtidig skal vi værne om vores grønne områder og styrke det lokale engagement, så Brøndby fortsat er et sted, vi alle kan være stolte af. Jeg stiller op, fordi jeg tror på, at vi sammen kan skabe et Brøndby, hvor hverdagen bliver bedre, tryggere og mere inkluderende for alle."
7778,Hajg Zanazanian,309,True,38,A,Gift,1,2605 Brøndby,Socialrådgiver,3,"Der skal være plads omkring vores børn og gode rammer. Vi skal undersøge kapaciteten nærmere og investere i optimeringer, udvidelse og nybyg.",3,"Nu er det ikke et enten eller forhold, da man godt kan prioritere grønne områder og samtidg komme godt igennem byen med bil. Balance mellem benyttelse og beskyttelse.",3,"Det er vigtigt at vi får flere kvinder til at ville stille op til valgene i kommunen, så vi får en bredere repræsentation, også ift. kandidater der har forskellige sociale baggrunde. Køn og baggrund gør det ikke alene, da kompetencer også er en vigtig faktor.",1,"Jeg mener staten bør finansiere udgifterne til flere nye Brøndbyborgere med udenlandsk baggrund. Lige nu giver det udfordringer, men på sigt er de mennesker en gevinst for vores by.",4,"Gamle større træer skal bevares som udgangspunkt. Hvis den enkelt grundejer ønsker det fjernet, skal der søges dispensation.",2,,3,"Vi bruger meget borgermøder og der er mulighed for høringssvar til mange forhold. Jeg gør selv en stor dyd ud af at komme rundt i kommunen og besøge borgere, så jeg kan få inputs med tilbage til det politiske arbejde.",3,På sigt - Det skal følge befolkningens udvikling.,3,,3,"Vi har allerede og skal forsat nedbringe CO2 udslippet, men det skal gøre med en økonomisk og social balance for øje.",1,"Du kan godt bygge nye skoler,  børnehuse, idrætsfaciliteter og plejehjem og stadig bevare og udvikle områdets grønne præg",3,Vi skal have flere med i fællesskaberne. Det er god forebyggelse og kan resultere i færre udgifter andre steder.,1,,1,Hellere nogle af vores egne ledige først.,1,,3,"Det trygt at blive ældre og have plejebehov i Brøndby. Der kan selvfølgelig være steder vi kan sætte ind med yderligere og jeg har store forhåbninger til ældrereformen vil betyde mere værdighed, omsorg, faglighed og selvbestemmelse.",3,"Der er helt klart mulighed for at gøre nogle ting smartere, men andre forhold kræver investering og tilpasninger i budgetterne. Vi bruger heldigvis rigtig mange penge pr borger på ældreområdet.",3,Det skal være finansieret af staten som vi kender det fra skoleområdet i Sverige.  Det er mit ønske og drøm - Håber folketinget beslutter det.,2,,2,,1,Vi har en lav klassekvotient og det skal den blive ved med at være.,3,"Ja men idrætsrelaterede erhverv og industri, som vi kender det og som noget nye socio-økonomiske virksomheder",1,,1,,3,,3,,1,Det må staten betale og ikke den kommunale velfærd,"Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Skole/dagtilbud for børn","Vil du os ha, at Brøndby er et trygt hjem hele livet?- Nærværende voksne og plads omkring vores børn- Flere med i fællesskab og forening- Værdig ældrepleje og menneskelig omsorg- Bedre livschancer","Brøndby - Dit hjem - Hele livetVil du også have at Brøndby er et trygt hjem hele livet?Når man som mig er født og opvokset i Brøndby, så lærer man hurtigt hvad fællesskab betyder. Jeg har mødt mange mennesker på min vej. Pædagogisk personale, lærer, frivillige og medarbejdere i ældreplejen. Det er borgerne,  medarbejderne og det fællesskab jeg i snart 12 år har arbejdet for at styrke i kommunalbestyrelsen og i seneste periode som formand for social- og sundhedsområdet. Uanset hvem du er og hvor du står i livet. Vi skal styrke det der gør Brøndby til noget særligt. Nærværende voksne, stærke fællesskaber og en værdig alderdom. For i sidste ende handler det om mennesker og om at skabe et Brøndby til gavn for alle.Stem Hajg, nr. 6 på liste A til kommunalvalget d. 18. november"
121219380,Rune Skovbjerg Krog,71,False,39,A,Samboende men ikke gift,1,2605 Brøndby,Jurist,2,"Man bør overveje størrelsen på skolerne, og se om det gavner børnene mest med store skoler eller lidt mindre enheder.",2,,3,,2,"Kommunen bør skabe rammerne for at foreningslivet, erhvervslivet og andre aktører kan være med til at løfte opgaven",3,,2,,3,,2,Vi skal ikke skabe en mangel på p-pladser på grund af ladestandere. Vi skal tænke i hvordan pladserne bliver udnyttet bedst muligt.,3,De bløde trafikanter skal sikres bedst muligt. Særligt skoleveje skal der være styr på.,2,Kommunen skal gøre sit for at nå i mål med de klimamål som er sat.,1,"De to ting er ikke nødvendigvis hinandens modsætning. Den måde man bygger på i dag kan også bruges til gavn for meget natur. Det skal vi tænke mere i, når vi giver lov til at bygge.",3,"Om der skal være flere. Måske. Men det skal være nemmere at være med for alle unge uanset deres baggrund. Derfor skal vi arbejde med at udbygge fritidspasset, så vi får alle med",2,"kommunen skal lytte til borgernes ønsker og se på hvad der er muligt. Vi skal ikke bruge flere penge, hvis pengene kan bruges bedre andre steder, men kunst og kultur er også velfærd",1,Lige nu skal vi have styr på dem vi har fået. De skaber et pres på skolerne mv. i kommunen. Det skal løses først og fremmest.,0,"Man kan altid bruge flere. Men det er ikke altid brugen af penge, men mere indholdet i det der leveres, som vi skal se på. Her skal vi lytte til vores udsatte borgeres problemer og passe på at de ikke sættes i kasser.",3,"Vi har gode medarbejdere, som vi skal fastholde og udvikle. Så skal vi sikre at vi har glade ældre, som er trygge ved den pleje de får, og at de får den pleje de ønsker.",1,"Der er altid ting som kan gøres bedre, og man kan tænke anderledes. Fx ved at inddrage ny teknologi, men vi har dygtigt personale som tager sig af vores ældre og en masse frivillige som gør en god indsats.",3,"Ja, det vil være godt fordi maden sikrer at børnene får et måltid mad, og man lærer mest, når man ikke er sulten.",3,Det har vi allerede og det er fint. Vi skal sikre at folk kan komme af med deres skodder mv. når de har røget andre steder.,2,Vi skal se på det konkrete behov for pasningen af børn. Det er ikke noget man skal tage en principfast beslutning om på nuværende tidspunkt.,3,,2,"Hvis vi har pladsen til flere arbejdspladser i kommunen, så skal vi da samarbejde med andre om at tiltrække virksomhederne.",0,"Vi vokser som kommune i antallet af borgere, så det ville være dumt at fjerne nogle. Men vi skal se på hvordan vi får flere varme hænder til borgerne.",1,Hvis det går ud over velfærden så skal skatten ikke sættes ned.,4,,3,,1,"Vi har nok beskyttelsesrum i kommunen, men vi skal sikre at de fungerer som sådan.","Social- og integrationsområdet, Ældre, Skole/dagtilbud for børn","Man skal stemme på mig, fordi man får en lyttende politiker, som tror på at man løser tingene bedst i fællesskab, både udfordringer og udvikling. Jeg går til valg på ""Sammen kan vi mere""","Jeg tror på, at vi sammen kan finde de bedste løsninger. Ikke bare politikerne imellem, men også borgerne, foreningerne, erhvervslivet og andre aktører i vores samfund. Derfor skal vi have dialoger og være lyttende i vores tilgang. Samtidig skal vi forstå at jo flere vi har med til at træffe den rigtige beslutning, jo stærkere står vi, og jo flere tager ejerskab for den. Det giver de bedste løsninger for vores borgere og velfærden i kommunen."
23899,Henrik Hollender,48,False,60,A,,4,2605 Brøndby,Håndværker,3,"Skoler må aldrig blive børnefabrikker. Flere af vores skoler er slidte og trænger til fornyelse. Skolerne skal være parate til at følge udviklingen i vores kommune.Skolerne skal have plads til alle, Ingen børn må gå tabt.",1,Vi har mange lækre lukrative områder. Vi er allerede i gang med en opgradering af strandparken.,2,"Dem med de bedste kompetencer bør bestride posterne, men ellers vil det være mere repræsentativt, hvis kønsfordelingen var mere lige.",1,"Vi bruger i forvejen mange penge på området. Folk har også selv et ansvar for at lade sig integrere, og det må ikke være på bekostning af hverken ældre, unge, eller udsatte borgere.",4,"Det er vedtaget på demokratisk vis, at vi ikke bare fælder store træer, men i fællesskabets navn bevarer det grønne.",0,Det er vores fælles natur som vi deler ansvaret for.,4,,0,Lige rettigheder til alle.,0,"Der skal være balance. Dog vil jeg gerne se, at vores skoleveje er tydeligt markeret og sikre for børnene.",2,Hvis kan vi  vi bare har fokus kan vi performe bedre inden for den nuværende økonomi.,3,"Hvis det er nødvendigt, kan der jo beplantes erstatning.",1,"Vi har mange forskellige aktiviteter, og der er stadigvæk plads på de fleste. Vi skal udnytte de aktiviteter vi har bedre, reklamere for dem og bruge fritidspas meget mere. evt. kampagne for oplysning om fritidspas.",1,Kunst og kultur hænger sammen med vores mangfoldige foreningsliv. Det giver også sociale fællesskaber,1,Vi kan starte med at hjælpe dem vi har ind i et godt arbejdsliv.,0,,3,Her skal være fokus. Vi kan altid blive bedre.,3,"Vi skal overveje hvordan vi bruger pengene, og se på andre kommuner som har succes",4,"Det fremmer børnesundhed, det gør dem mere deltagende i skoler mm.",1,Der er jo allerede kun små områder hvor rygere kan passe sin last. Brøndby for alle.,0,Vi har en institution i hver bydel der giver mulighed for forældre med skæve arbejdstider.,1,Der findes andre løsninger. Noget undervisning kan jo højnes med 2 lærer.,2,Det sker jo allerede. Der skal så også være gevinst for både kommune og virksomhed for at det er en succes.,2,,0,Jeg går ikke ind for at spare på velfærden.,4,,3,,0,Vi har mere plads i vores beskyttelsesrum end vi selv kan fylde.,"Miljø og klima, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn","Flere almene boliger, kollegier og seniorboligerMere tilsyn ved renoveringer af boligerTrygge skoleveje og bedre rammerKultur for alleStyrke fællesskaber","Ud over mit arrangement i boligbevægelsen mener jeg at der bør arbejdes for følgende områder:Flere almene boliger til rimelig husleje, også kollegier og seniorfællesskaber. Der renoveres meget i kommunen, og det kræver tættere tilsyn, så lejerne ikke kommer i klemme med uplanlagte huslejeforhøjelser.Trygge skoleveje og bedre rammer, så alle børn får mulighed for at trives og bedre muligheder for læring.  Hvert barn der bliver tabt i systemet er en falliterklæring. Ældreområdet: Flere tilbud tæt på, så flere har mulighed for at deltage i fællesskaber uanset mobilitet.Kultur og fællesskaber: Bedre adgang til lokaler og støtte til foreningerne.  Da vi ikke har lokaler nok i forhold til foreninger bør der arbejdes på en løsning. Jeg tænker at flere foreninger kan dele lokaler, da lokalerne ofte ikke er i brug hver dag."
7775,Jesper Stegler,100,False,48,A,Gift,2,2605 Brøndby,warehouse manager,4,,2,,2,,0,,3,,0,,4,,0,,2,,2,,1,,1,,2,,3,,1,,3,,1,,1,,4,,2,,3,,3,,0,,0,,4,,4,,0,"Jeg mener, at det er staten som skal stå for dette.","Miljø og klima, Ældre, Skole/dagtilbud for børn","Jeg kæmper for et værdigt ældreliv - med mere nærvær og omsorg i plejen.Jeg vil styrke fællesskaber - så børn, unge og ældre får bedre vilkår i hverdagen.","Som formand for Socialdemokratiet i Brøndbyvester, medlem af skolebestyrelsen på Brøndbyvester Skole og bestyrelsesarbejde i Brøndby Boligselskab og Kirkebjerg afd., er jeg tæt på hverdagen - på skolerne, i boligområderne og blandt beboerne. Det minder mig om, at politik starter lokalt, dér hvor mennesker mødes.Politik handler for mig ikke om overskrifter, men om mennesker, om hverdagen og om at lytte til de historier, der findes lige rundt om hjørnet.Styrke den tidlige indsats, sikre adgang til rådgivning og psykologhjælp, og skabe et skolemiljø, hvor det er muligt at tale åbent om det, der er svært.Flere uddannede lærere og pædagoger, bedre normeringer og mere støtte til elever med særlige behov, så børn får den opmærksomhed og faglige udvikling, de har brug for.Mere nærvær og tryghed i ældreplejen, mindre bureaukrati, fællesspisning og kendte ansigter, der skaber trivsel.Flere betalelige og familieegnede boliger samt tilgængelige boliger til ældre, så borgere i alle livsfaser k"
121219379,Peter Egtorp,98,False,60,A,Gift,0,2605 Brøndby,Chauffør,1,,3,,2,Der er ikke mange der stiller op.,1,,1,,0,,3,,1,,3,,1,,3,,3,,2,,0,,3,,1,,1,,4,,2,,0,"Der er 1 institution i hver bydel der har åben fra 06:00 til 17:00 det må være nok, indtil andet er bevidst.",3,,2,,2,,1,,3,,4,,0,,"Trafik, Miljø og klima, Ældre, Sundhed, Skole/dagtilbud for børn",Jer er født og opvokset i Brøndby.  Vores ældre og teknik/miljø/grøn omstilling og vores børn og unge. Der er ikke nogen der skal sidde alene.,Jeg vil gør en stor indsat for at vi skal få en by.  Både i Øster/Vester og Stranden. Så en stemme på mig er en stemme på et bedre Brøndby.
