id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,themes,short,long
9587,Nicolaj Bertel Riber,371,True,37,A,Enlig,0,2791 Dragør,Kontaktcenterleder i Magistrenes A-kasse,0,Det er både uhensigtsmæssigt og urealistisk at vi skal håndtere en så omfattende kystsikring alene.,2,"Ja, vi bør overveje vores muligheder og holde en dør åben for at fjernvarmeprojektet kan revitaliseres. Men det kræver statslig indblanding.",2,"Vi polstrer ikke kommunekassen. Vi har et mål om at der skal være 50 mio. kr. i kasse. Det er vi lykkedes med. Alt der over er reserveret til kystsikring, havneudvikling og nye plejehjemsboliger.",0,"Vi skal ikke bruge tid på at lave udbudskontrakter og tilsyn, men på at få en god velfungerende hjemmepleje.",3,,4,Vi tror på at et erhvervsområde med små og mellemstore håndværkervirksomheder giver arbejdspladser og bringer vækst til kommunen.,2,Vi vil gerne prioritere at bygge et nyt bibliotek.,3,,4,"Vi har investeres massivt i trafiksikkerhed for cyklister og gående. Vi var med til at afsætte midler til en cykelpulje, og vi har fået lavet cykelbaner på Vestgrønningen. Snart kommer der også lysregulering på Mågevænget/Krudttårnsvej. Så mere af det.",4,,1,Vi vil gerne bygge almene boliger en del af på Engvejsarealet.,1,"Vi skal naturligvis arbejde for et bredt tilbud af sport- og kulturtilbud, men ikke på bekostning af andre områder nødvendigvis.",2,Jeg synes niveauet er passende.,3,"Den er svær. Vi kommer ikke til at løse udviklingen på fx ældreområdet, hvor der på sigt kommer til at mangle ca. 23.00 social- og sundshedsansatte, men det kommer også til at kræve en massiv indsats ift. spog og kultur.",0,,3,"Der er altid plads til forbedring, og der kan og vil ske fejl. Men jeg synes grundlæggende servicen er god og vi har medarbejdere der gør alt hvad de kan i hverdagen. Vi skal som politikere hele tiden se på hvordan vi kan gøres deres hverdag nemmere til gavn for borgerne.",1,"Vil man have en bedre ældrepleje så kræver det investering. Det gør vi heldigvis også. Men vi bruger krone til krone det vi må på velfærd,  så hvis man vil bruge flere penge et sted, skal vi finde dem et andet sted.",3,"Socialdemokratiet vil gerne se på at lave madordning for børnehavebørnene i Dragør, hvis forældrene ønsker det.",4,,1,"Umiddelbart ikke, men vi bør naturligvis løbende overveje kommunens åbningstider.",1,,3,"Det er derfor vi går ind for erhvervsudvikling, så vi kan skabe flere lokale arbejdspladser.",1,,0,Det vil være dybt uansvarligt at sætte skatten ned.,4,,3,Vi har netop opdateret vores beredskabsplaner.,"Ældre, Sundhed, Skole/dagtilbud for børn","Velfærd, klima og økonomi. Vi skal passe godt på hinanden - især børn, ældre og dem der har det svært. Vi skal sætte gang i den grønne omstilling. Og så skal vi føre en ansvarlig økonomisk politik.","Jeg stiller op som borgmester i Dragør, fordi jeg gerne vil gøre en forskel for den by jeg er født og opvokset i - og den største forskel gør man hvis man sidder for bordenden. Vi skal turde mere. Vi skal turde at boligudvikle til almene boliger og et seniorboligfællesskab - og vi skal turde tage de næste skridt i den grønne omstilling. Vi skal tage vores del af generationsansvaret. Derfor er det også vigtig at vi får sikret en kystsikringsløsning der giver os det nødvendige sikringsniveua nu og på sigt, gerne med nye rekreative områder. Det jeg brænder mest for i politik er vores fælles velfærd - hverdagen, det der binder os sammen. Velfærd for børn,  for ældre og dem der har det svært i livet - og alle os midt i mellem. Politik handler først og fremmest om mennesker og om at gøre en forskel for mennesker - så må alt andet komme i anden række."
6788482,Pia Voel,88,False,72,A,,0,2791 Dragør,Folkepensionist,0,,2,,2,,0,,3,,2,,2,,2,,3,,2,,1,,2,,2,,2,,1,,2,,1,,1,,3,,2,,2,,2,,1,,1,,3,,2,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg prioriterer velfærd først, baseret på en robust økonomi. Jeg vil sikre støtte til foreninger og frivillige for at skabe gode og sunde fællesskaber for alle, så vi har rammer for den gode hverdag.","Jeg siger, hvad jeg gør og jeg gør, hvad jeg siger - baseret på tillid, respekt og ansvar i en konstruktiv dialog med de øvrige medlemmer af kommunalbestyrelsen. Jeg vil inddrage borgere og medarbejdere, hvor det giver mening.Trygge og gode rammer er omdrejningspunktet for det gode hverdagsliv.  Trivsel har betydning for det enkelte mennesker og skal understøttes,  om nødvendigt med håndholdte løsninger og gerne med en indsats så tidligt som muligt. Vi skal være i stand til at hjælpe og støtte de, som ikke kan selv."
778,Ole H. Hansen,116,True,61,A,Gift,2,2791 Dragør,Specialarbejder,0,,3,,1,,0,,4,,4,,1,,0,,3,,3,,0,,3,,0,,0,,1,,3,,1,,1,,2,,1,,0,,2,,0,,0,,4,,4,,"Trafik, Miljø og klima, Kultur,  idræt og fritid, Erhverv/administration, Beredskab og sikkerhed","Jeg er garant for samarbejde med andre partier, den gode dialog og ordentlighed.","Jeg er 61 år født og opvokset på Sydstranden i Dragør, hvor jeg og min familie stadig bor.Kultur og foreningsliv ligger mig meget på sinde, der skal være plads til de skæve ting, gæs, skurby og de lokale traditioner, så som fastelavn, som er en stor del af Dragørs DNA. Jeg vil være med til at sikre varig velfærd og fortsat udvikling af Dragør Kommune. Men allermest er det økonomien, der er vigtig, for ellers kan vi ingenting"
121219386,Liss Porsborg,96,False,59,A,Enlig,2,2791 Dragør,Pædagog i Ung Dragør FK/UK,1,"Tryghed for vores by kræver samarbejde. Vi skal ikke stå alene. Dragør skal sikres mod stormflod, det kræver vi får  staten med. Fællesskab.",4,"Vi står i en virkelighed, hvor naturgassen snart er fortid. Det betyder, at vi som borgere og som kommune er nødt til at finde alternativer.",4,"Som socialdemokrat sætter jeg velfærd først - pengene i kommunekassen skal bruges på mennesker, ikke ligge passivt hen. Vi sparer op til de byggerier der skal bruges til sikring af kyst og havn.",0,"Når plejen overlades til private, kan der opstå forskelle i kvalitet, Ældre i Dragør skal ikke bekymre sig om økonomi - de skal kunne stole på en stabil, kommunal ældrepleje med høj kvalitet for alle.",3,,3,Det går jeg ind for da små og mellemstore erhvervsvirksomheder skaber lokale arbejdspladser.,1,"Jeg synes, at de idrætsfaciliteter vi har i Dragør, allerede er rigtig gode. Kommunen bør derfor prioritere andre områder, som er vigtigere for fællesskabet og borgernes behov - også selvom det betyder, at der ikke bygges flere nye idrætsfaciliteter lige nu.",2,"Der er etableret en del allerede. Med tiden skal vi udvide , da vi må forvente der kommer flere el-biler til byen. Vi skal sikre at der er tilstrækkelig ladepladser til gavn for borgere og klima.",3,Fodgænger og cyklister er altid udsat når de færdes i trafikken. Så jo det skal vi.,4,Det handler om at tage ansvar for vores klima. Så ja det skal vi,2,Klart vi skal beskytte de grønne områder. Men vi må og skal bygge der hvor vi kan. Som Engvej og rødtjørnens arealer. Ikke på de grønne områder som strandengene.,1,Det så fint som det er nu. Vi har mange kultur og sports tilbud som bliver benyttet af alle borgere uanset alder.,1,Nej syntes det passer godt som det er nu,3,Det er en rigtig god ide. Der skal dog sættes krav til sprog og kultur.,2,"Det er vigtigt at alle får muligheder uanset baggrund. Vi skal sikre, at når man har det svært i hverdagen, skal man have den fornødne hjælp. Vi har et særligt ansvar overfor socialt udsatte borgere. Vi skal sikre, at alle kan deltage i det kommunale fællesskab. Derfor skal vi understøtte fællesskaber og foreninger.",3,Syntes det fungere overvejende godt. Har selv haft personlige gode oplevelser med det. Der kan altid ændres på noget.,1,Der er gang i en god proces lige nu. Har en god fornemmelse for det bliver rigtig godt.,3,Ja hvis brugerne er med på den ide. Tror ikke det vil betyde besparelser på andre områder.,3,Ja. Det skal være muligt som ikke ryger at færdes i kommunen uden at blive generet,0,"Jeg syntes vi har en god åbningstid, hvor der bliver taget hensyn til alle.  På lukke dage har vi en nød institution åben. Så nej der er jeg ikke enig. Hvor skulle besparelserne da ske?",1,Syntes antallet i klasserne er passende som det er nu.,3,Det skal vi da. Små og mellemstore erhvervsvirksomheder skaber lokale arbejdspladser.,1,"Jeg synes, det er en styrke både at bo og arbejde i Dragør - det gør jeg selv, og det giver mig en stærk forankring i lokalsamfundet. Men vi skal også være åbne for dygtige medarbejdere udefra, for vi kan ikke løfte velfærden alene. Dragør har brug for både lokale kræfter og nye ansigter.Der skal ikke være færre ansatte i kommunen.",0,,4,,3,"Beredskabsplaner er lige blevet opdateret, det er jeg tryg ved.","Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg vil arbejder for kultur, idræt, børn, unge, ældre og sundhed - fordi det er her, vi skaber livskvalitet og fællesskab i Dragør uanset baggrund. Alle har brug for FÆLLESSKAB.","Man bør stemme på mig, fordi jeg vil kæmpe for en kommune, hvor vi prioriterer velfærden højt - med gode skoler, stærk ældrepleje og plads til både kultur og idræt. Jeg bor og arbejder selv i Dragør, og jeg ved, hvor vigtigt det er, at vi både passer på fællesskabet og samtidig tiltrækker nye kræfter udefra. For mig handler politik om at skabe tryghed og livskvalitet i hverdagen for os alle sammen. Uanset baggrund."
777,Ole K. Svendsen,16,False,77,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6646772,Tim Meicker,89,False,48,A,Samboende men ikke gift,2,2791 Dragør,"Erhvervsøkonom, MBA",1,,0,,2,,1,,3,,4,,1,"Hvis det er enten idræt eller bibliotek, så ville jeg prioritere biblioteket i første omgang.",2,"Ja, hvis det matcher behovet for parkering af elbiler, ellers giver det ikke rigtigt mening.",4,"Jeg vil hellere bruge penge på gode forhold og trafiksikkerhed for fodgængere og cyklister, end på fx parkeringspladser. Vi kan starte med at skabe trafiksikkerhed i vængerne på Sydstranden og sikre cykelbaner og cykelstier rundt om i kommunen, hvor der mangler.",4,"Jeg er helt enig i, at kommunen skal arbejde for at nedbringe sit CO2-udslip. Der er dog mange ting. man kan forbedre og arbejde på uden at det nødvendigvis bliver dyrere at bo i kommunen af den grund.",3,"Det vil jeg normalt sige ja til, men der kan også være situationer, hvor det giver mening at bygge, hvis der er behov for det. Byen skal både være for mennesker og miljø. I Dragør kunne det fx være alment boligbyggeri, som vi ikke har så meget af og som jeg mener, der er behov for.",4,Her tænker jeg især på et kulturhus eller et ungdomshus - jeg vil gerne prøve at prioritere begge ting og de kunne måske rummes under samme tag.,0,,0,"I Dragør skal vi sørge for at rekruttere dygtige medarbejdere fra Danmark og det bør være muligt, så nej, det skal kommunen ikke gøre en større indsats for. Vi skal derimod sørge for at gøre kommunale stillinger attraktive ved at tilbyde et godt arbejdsmiljø og gode forhold.",1,,2,,2,,4,"Jeg er stor fortaler for madordning i daginstitutionerne, men der kan godt være noget forældrebetaling til ordningen, som man kender det fra vuggestuen. På den måde vil man kunne undgå at det vil betyde besparelser på andre områder.",4,,3,"Jeg har før hørt forældre tale om behovet for udvidet åbningstid og det synes jeg, at man skal undersøge behovet for og muligheden for.",3,"Klassekvotienten i Dragør er på 23,4 og det er over landsgennemsnittet, som er 21,7 elever pr. klasse.  Jeg så gerne, at klassekvotienten i Dragør kom lidt ned, da jeg mener at det vil skabe bedre rammer for elevernes trivsel og læring, samt lærernes muligheder for at skabe inklusion og differentieret undervisning.",3,"Dragør skal have et rigt handels- og erhvervsliv og det kan jo også betyde flere arbejdspladser. Jeg vil arbejde for en levende by, hvor det er attraktivt at bo, handle og nyde livet. Vi skal sikre en positiv dialog med erhvervslivet og skabe flere lokale arbejdspladser.",0,,0,"Det mener jeg ikke, at der er behov for.",3,,2,,"Trafik, Miljø og klima, Kultur,  idræt og fritid, Skole/dagtilbud for børn, Erhverv/administration","Jeg arbejder for det gode børneliv, bæredygtighed og byliv. Stem på mig, hvis du gerne vil have en helt almindelig familiefar i kommunalbestyrelsen, der forstår familielivets hverdag og udfordringer.","Dragør skal være det bedste sted at være barn. Jeg vil arbejde for, at børneliv, bæredygtighed og byliv prioriteres højt i kommunen. Det betyder trygge daginstitutioner og skoler med flere pædagoger, sunde madordninger og inkluderende fritidstilbud, hvor alle børn trives og udvikler sig. Samtidig skal Dragør tage ansvar for klima og miljø gennem solceller på kommunale bygninger, elbiler, grønne indkøb og en ambitiøs klimaplan, der reducerer CO2 og styrker lokalsamfundet. Et levende byliv med stærkt erhvervsliv er også vigtigt; jeg vil støtte lokale virksomheder, skabe arbejdspladser og udvikle byrum, hvor borgere kan mødes og trives. Min vision er et Dragør, hvor fællesskab, trivsel og bæredygtighed går hånd i hånd, og hvor borgernes idéer bliver hørt og omsat til konkrete resultater. Med din stemme kan vi sammen skabe et Dragør, der er bæredygtigt, levende og trygt for både nuværende og kommende generationer."
121744727,Pia Daulov Sandholt,8,False,75,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9590,Knud Rosing,10,False,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121219385,Jens Korning,3,False,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121219944,Bertel Riber,10,False,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
