id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,themes,short,long
22851,Kasper Damsgaard,2066,True,38,A,,2,2600 Glostrup,Borgmester,3,,3,,4,,3,,2,,3,,2,,2,,3,,3,,3,,3,,1,,3,,1,,3,,3,,3,,3,,1,,3,,3,,2,,1,,3,,3,,"Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Skole/dagtilbud for børn","Jeg håber at du vil stemme på mig, hvis børn, unge og ældres trivsel også er de vigtigste prioriteringer for dig.  Det kræver både en sund økonomi og nogle gode faciliteter for at skabe den udvikling.","For at vi lykkedes med en højere trivsel kræver det at vi har nogle gode rammer på plads. Derfor har vi bl.a. bygget nye daginstitutioner og klasselokaler. Vi har sat flere penge af end nogensinde før til at renovere vores kommunale ejendomme. Vi har sikret penge til minimunsnormeringer i daginstitutioner og flere ansatte på vores ældrecentre. Øget skolernes budgetter så vi sikrer de bedste muligheder for læring. Vi vil styrke vores kultur og foreningsområde da vi ved, at det på mange områder er en god investering i menneskers sundhed. Glostrup er på mange områder en by i rivende udvikling. Men vi bør overveje hvor meget mere byudvikling vi kan rumme i den nærmeste fremtid. Vi har efterhånden sikret en sund og stabil økonomi som gerne skulle komme vores borgere til gode via en øget velfærd med flere grønne, trygge og indbydende byrum. Hvis nogle af disse mærkesager også giver mening for dig, lover jeg, at det vil være en ufravigelig retning vi også vil forfølge i de kommende 4 år."
22855,Camilla Christensen,218,True,41,A,Samboende men ikke gift,2,2600 Glostrup,Pædagog i skolen,3,,2,,3,,3,,3,,3,,3,,3,,3,,2,,3,,3,,1,,1,,1,,3,,1,,1,,3,,1,,1,,2,,1,,1,,3,,3,,"Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn, Erhverv/administration","Pædagog og inklusionsvejleder med 18 års erfaring. Jeg kæmper for fællesskab, trivsel og lige muligheder. En stemme med hjerte, faglighed og vilje til at skabe forandring.","Mit navn er Camilla Christensen. Jeg er 41 år, uddannet pædagog og inklusionsvejleder med over 18 års erfaring i arbejdet med børn og unge. Jeg stiller op for Socialdemokratiet, fordi jeg tror på fællesskab, tryghed og lige muligheder for alle. Politik handler for mig om mennesker og ikke kun systemer og tal. Jeg arbejder for inkluderende fællesskaber, et stærkt og mangfoldigt foreningsliv, mere samarbejde med det lokale erhvervsliv og grønne områder, hvor fællesskaber kan gro. Jeg vil være en lyttende, tydelig og engageret stemme i kommunalbestyrelsen med hjertet på rette sted og fagligheden i orden. Stem personligt på mig."
22734,Søren Enemark,77,True,76,A,Gift,2,2600 Glostrup,"Formand for Miljø-, Teknik- og Ejendomsudvalget",4,,2,,4,,3,,0,,2,,0,,1,,3,,4,,3,,3,,1,,2,,1,,3,,1,,0,,1,,1,,2,,2,,1,,0,,4,,3,,"Miljø og klima, Ældre","Som mine mærkesager indikerer, så brænder jeg stadig for vores by.  Samtidig skal Glostrup være en tryg by at bo i. Vi har gjort meget for vores børn gennem de sidste år, nu mangler de ældre og svage","Mine mærkesager:Ældreområdet*Et godt og aktivt ældreliv*Gode aktivitetsmuligheder for seniorer bl.a. Aktivitetscentret på Sydvestvej, Mænds Mødested, Ældresagen og alle vores andre fritidsaktiviteter f.eks. motion*God pleje til de ældre, som har behov for det*Bekæmpe ensomhed blandt ældre*Have det nødvendige antal plejepladser*Bevare bybussenMiljø *Sundt og rent drikkevand*Bedre genbrug og cirkulær økonomi*Mere biodiversitet*Udbygget fjernvarme*Direkte genbrug*Vedligeholdelse/energirenovering af vores kommunale bygninger*Bedre klimaindsats*God kollektiv trafikMin by*Tryghedsskabende foranstaltninger bl.a. lys i Rådhusparken, videoovervågning, hvor det giver mening og støtte f.eks. natteravnene eller andre borgere, som vil forebyggende indsatser i bydelene*Vedligeholde veje, cykelstier og fortove*40km/t hastighedsgrænse på alle villaveje*Balanceret og bæredygtig udbygning af byen*P-hus på Engtofte-grunden med tilstrækkelig antal P-pladser"
121219471,Louise Lauge Thorsen,131,True,45,A,Samboende men ikke gift,1,2600 Glostrup,Head of Customer Service,4,,1,,4,,3,,4,,4,,2,,2,,3,,2,,3,,1,,1,,3,,1,,3,,1,,1,,4,,1,,3,,3,,1,,0,,3,,2,,"Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn, Erhverv/administration","Skal børn med diagnoser  tvinges til at være normale og inkluderes, NEJ.Jeg vil have endnu mere fælleskab og frivillighed dagsorden. Jeg vil sikre mere genkendelighed og glæde hos de ældre","Jeg har boet hele mit liv i Glostrup og brænder virkelig for vores by. Jeg har i mere end 25 år, været aktiv i det frivillige arbejde. Jeg har længe overvejet hvordan min erfaring på det kommunale område kan omsættes til endnu mere gavn for borgerne. Jeg har et enormt drive og et ønske om at styrke de menneskelige relationer. Jeg ønsker at bygge bro mellem den offentlige administration og komme tættere på borgerne.Om du er barn, ung, voksen eller ældre, skal det være trygt og rart at leve og bo i Glostrup. Jeg går til valg for ALLE borgere i vores dejlige kommune.Mit største håb er at alle børn trives i skolen, om det er folkeskolen eller speciel skolen.Sikre vores børn og unge har et godt fundament i deres hverdag, om det er hjemme eller ude i de mange gode foreninger vi har.Sikre at vores ældre har det godt i deres dagligdag, med genkendelighed, respekt og masser af glæde.Være et lyttende og ordentlig KB medlem, som vil behandle alle med respekt"
121219467,Allan Brink Christensen,56,False,51,A,Gift,2,2600 Glostrup,Idrætschef,4,,2,,4,,3,,3,"Det var jo ikke for at spare. Der kom en central udmelding om at der skulle slukkes hvor der slukkes kunne. Det gjaldt både el og gas. Koldt og mørkt, men desværre nødvendigt.",3,,1,,4,,4,En særlig opmærksomhed børe rettes mod at sikre skoleveje.,4,,3,Vi er ved at nå en mætningsgrad i forhold til at udbygge Glostrup. Vi skal i videst mulig omfang bevare vores grønne områder.,3,"Området prioriteres allerede ok. Fritidspasordningen er et fantastisk initiativ, som kan få nogle flere med.",0,"Det er væsentligt for mig, at der afsættes midler til at vi som borgere kan nyde vores by og de fællesskaber der opstår, når vi fx. holder Kulturfest eller Streetfestival.",1,"Jeg synes det er vigtigt, at vi mander op på velfærdsområderne. Fremtiden byder på udfordringer. Man bør ikke ukritisk ansætte alle. Der skal være en balance på arbejdspladsen, så værdier og kultur kan forenes. Særligt på ældreområdet er det vigtigt med sproglige danskkompetencer, det skaber tryghed og god dialog, når kommunikationen er forståelig mellem borgere og ansatte",0,Socialt udsatte borgere har brug for al den hjælp de kan få. Fællesskabet har et ansvar for at hjælpe sine medborgere.,3,Plejen er umiddelbart ok. Rengøringen på plejecentrene er ikke optimal. Det må kunne gøres bedre.,2,Det ved jeg ikke nok om.,3,"Måltider er et vigtigt samlingspunkt. Det giver en fællesskabsfølelse at dele samme måltid med sine kammerater. Svært at svare entydigt enig, når der lægges op til at prioritere ud fra sætningen ""besparelser på andre områder"" :-) Hvis pleje og omsorg for vores ældre er prisen, så er jeg ikke enig.",4,,3,"Jeg er nysgerrige på mulighederne. Der er mange borgere der arbejder på skæve tider, og bedsteforældrene er ofte stadig erhvervsaktive når vores børn er små. Det kan være svært at få hverdagen til at balancere. Det kunne være interessant at få en behovsanalyse. Hvis behovet er der, så vil jeg stemme for en eller flere institutioner med fleksible åbningstider.",2,,3,"Det er vigtigt, at vi har en by hvor erhvervsdrivende har lyst til at ""bosætte"" sig. Lokale arbejdspladser er en stor værdi for lokalsamfundet.",0,"Vi er i en situation hvor velfærden løbende er blevet nedprioriteret, nærmest siden budgetloven blev vedtaget i 2012 og implementeret i 2014. Nu er der et økonomisk råderum og der tilføres midler til kommunerne. Det er glædeligt set fra mit synspunkt. Glostrup oplever en tilvækst af borgere, så at argumentere for færre ansatte til flere borgere klinger lidt hult.",0,"Glostrup Kommune ligger ikke højt sammenlignet med andre kommuner. Skattestigningen i 2023 har skabt balance i økonomien. Netop kommuneskatten er vigtig ikke at bruge som signalpolitik. Hvis den borgernære velfærd skal prioriteres, så kræver det finansiering lokalt.",4,,2,,"Trafik, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn","Stem på mig hvis du ønsker en kandidat, der blandt andet vil arbejde for:Voksne nok i skoler og daginstitutioner.Tryghed, særligt på ældreområdet.Idræt og fritid som sundhedsfremme.","Stem på mig hvis du ønsker en kandidat, der blandt andet vil arbejde for:Idræt og fritid som sundhedsfremme:Udgifterne til sundhed og mistrivsel stiger. Idræts- og fritidstilbud er en effektiv og billig forebyggende indsats, der styrker både fysisk og mental sundhed. Idræt som en del af den samlede sundhedsstrategi.Tryghed - et sikkert sted at leve og bo.Vores ældre og deres pårørende skal mødes med omsorg og nærvær i hjemmeplejen og på plejecentrene. Det skaber tryghed.Vi skal desuden arbejde tæt sammen med boligforeninger og frivillige for at sikre hurtigere reaktion på utryghedsskabende adfærd i boligområder. Voksne nok i folkeskolen og daginstitutionerne - stærke tilbud, stærke børn.Folkeskolen - skal løfte alle børn, uanset hvor de kommer fra. Flere lærere og tid til forberedelse, så undervisningen styrkes. Midler til modtageklasser skal prioriteres. I daginstitutionen skal dit barn have de bedste muligheder. Flere pædagoger og og bedre normeringer i daginstitutioner."
13283,Lisa Ward,83,True,66,A,Gift,2,2600 Glostrup,Afdelingsleder,4,,2,,4,,2,,2,,3,,1,,2,,2,,3,,2,,2,,2,,3,,1,,3,,1,,1,,1,,1,,2,,3,,1,,2,,4,,3,,"Miljø og klima, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn","Stem på mig , fordi jeg vil arbejde for tryg ældrepleje, stærke fællesskaber og forebyggelse for alle generationer med fokus på nærvær, tilgængelighed og borgernes medbestemmelse.","Jeg stiller op til kommunalvalget, fordi jeg ønsker at fortsætte arbejdet for et stærkt og trygt Glostrup. Som formand for Social-, Sundheds- og Seniorudvalget har jeg de seneste år arbejdet for at skabe en ældrepleje med faste teams, selvstændige ældrecentre og mere medindflydelse til både borgere og pårørende. Jeg tror på, at tryghed og kvalitet i hverdagen opstår, når vi lytter og inddrager dem, det handler om. Samtidig brænder jeg for forebyggelse på tværs af alder og livssituation  fra børn og unge til seniorer. Forebyggelse er en investering i livskvalitet og fællesskab, der både styrker den enkelte og vores lokalsamfund. Jeg arbejder også for bedre tilgængelighed i byen, så flere kan tage del i fællesskabet på lige fod. Min tilgang er at kombinere erfaring, faglighed og nærvær med en oprigtig lyst til dialog. Jeg håber, du vil give mig din stemme, så jeg kan fortsætte med at kæmpe for et Glostrup, hvor alle kan leve et godt og værdigt liv."
22832,Annette Normind Thomsen,56,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649187,Helle Bager Nielsen,98,True,46,A,Gift,2,2600 Glostrup,Chefkonsulent,4,"Som lokalpolitiker er det vigtigt for mig, at vi kan have borgernes tillid. Jeg oplever, at vi i Glostrup har en konstruktiv kommunalbestyrelse, hvor vi kan lave brede aftaler, der bliver ført ud i livet. For mig handler politik om at skabe resultater i hverdagen, fra bedre skoleveje til flere fritidstilbud og grøn omstilling.",3,"Trafikstøj er en stor udfordring for mange borgere. Staten har hovedansvaret, men vi kan ikke bare vente. Kommunen må presse på og tage lokale initiativer, der kan forbedre hverdagen nu.",4,"Det var en rigtig beslutning at splitte Glostrup Skole op i fire lokale skoler med egen leder, skolebestyrelse og identitet. Samtidig har vi sat skolerne fri, så de lokalt kan skabe den skole, der passer bedst til deres elever. Det giver mere engagement, fordi medarbejderne kan bruge deres faglighed på nye måder. Glade og motiverede medarbejdere er en vigtig forudsætning for, at eleverne trives.",2,"Det er vigtigt at finde langtidsholdbare løsninger, der ikke bare flytter bilerne rundt til villakvarterer. Vi skal udvikle en god infrastruktur, så flest muligt nemt kan bruge bus, letbane, tog eller cykel. Samtidig har vi begrænset plads i midtbyen, men borgere, besøgende og dårligt gående skal selvfølgelig kunne parkere. Det handler om balance, hvor bilen bruges mindre, så der er plads til dem, der har mest brug for den.",3,"Vi slukkede lyset under energikrisen efter krigen i Ukraine, hvor hele landet blev bedt om at spare strøm. Det var ikke en let beslutning, og vi forsøgte at sikre lys på skoleveje, store veje og stier med mange gående. Vi fulgte situationen tæt og justerede, når borgere meldte om problemer. Jeg var selv betænkelig ved utryghed og mener, vi fremover skal satse på energieffektiv belysning.",3,"Biblioteket er en vigtig del af byens kultur- og fritidsliv. Jeg mener, det var rigtigt at beholde det, hvor det ligger. Det sikrer, at biblioteket fortsat er et åbent og levende mødested for alle, samtidig med at vi kan udvikle fritidslivet andre steder i byen.",2,,3,"Vi skal støtte den grønne omstilling og gøre det lettere at vælge elbil. Men vi skal samtidig sikre balance, så der fortsat er pladser nok til alle borgere og gæster i byen.",4,"Jo bedre forholdene er for fodgængere og cyklister, jo flere vil aktivt vælge at transportere sig selv. Det er en fordel for klimaet, sundheden og trængslen - og faktisk også for bilisterne, når flere vælger cyklen. Derfor skal vi gøre det nemt og attraktivt at gå og cykle i Glostrup. For børn handler det også om frihed. De skal trygt kunne cykle selv, uden at forældre får ondt i maven over trafikken.",4,"Vi har en stor forpligtelse til at passe på vores planet og tage vores del af ansvaret. Det er vigtigt at huske, at det også er meget dyrt ikke at handle. Oversvømmelser og andre konsekvenser af voldsomt vejr giver enorme udgifter. Derfor skal vi investere i grøn omstilling nu, så vi beskytter både klima, økonomi og kommende generationer.",3,"Naturen er en af vores vigtigste ressourcer. Vi skal udvikle byen, men altid med respekt for grønne områder og fællesskaber. Byggeri må primært ske i eksisterende byområder eller tidligere industriområder.",4,"Børn og unges fællesskaber er en af de bedste investeringer, vi kan lave. Kultur og idræt skaber trivsel og livsglæde, og det forebygger problemer senere.",1,"Kultur skaber fællesskab, trivsel og livskvalitet. Vi skal investere i kultur og fritidstilbud, men altid i balance med kernevelfærden.",2,"Vi har brug for at kunne tiltrække dygtige medarbejdere, men først og fremmest skal vi uddanne, fastholde og tiltrække danske medarbejdere. Hvis det ikke rækker, kan vi supplere med udenlandsk arbejdskraft.",1,"Vi skal hjælpe de mest udsatte, fordi det skaber tryghed for alle og forebygger større problemer senere. Det er en investering i mennesker og i fællesskabet.",3,"Ældreplejen fungerer godt mange steder, men vi skal fortsat prioritere tid, nærvær og medarbejdertrivsel. Vores ældre skal kunne leve et værdigt og trygt liv, og der er stadig områder, hvor vi kan løfte kvaliteten.",1,"God ældrepleje kræver ressourcer, men vi kan også udvikle kvalitet gennem bedre organisering. I Glostrup har vi som nogle af de første indført faste teams, så de ældre møder kendt personale. Det giver større tryghed og kvalitet, samtidig med at arbejdsmiljøet forbedres og medarbejdere fastholdes.",3,"Vi har allerede madordning i daginstitutionerne, hvor forældre betaler en del med tilskud fra kommunen. På skoleområdet har vi haft forsøg med skolemad og deltager i regeringens nye ordning. Jeg mener, vi skal lære af erfaringerne og finde en model, der både sikrer sund mad til børnene og en økonomi, der hænger sammen.",3,"Jeg vil gerne beskytte børn og unge mod passiv røg og sende et klart signal om, at røg ikke hører hjemme i deres fællesskaber. Røgfri zoner er en måde at fremme sundhed og trivsel, samtidig med at vi passer på hinanden.",3,"For mange børnefamilier er det en udfordring at få hverdagen til at hænge sammen. Derfor skal vi se på mere fleksible åbningstider, men altid i balance med de ressourcer, vi har, så det ikke går ud over kvaliteten i dagtilbuddene.",2,"Vi har i Glostrup besluttet at hæve klassekvotienten fra 22 til 24 elever. Det er stadig lavere end den nationale kvotient og giver os mulighed for at prioritere ressourcerne klogt. Vi ønsker klasser med en god størrelse, hvor der både er fællesskab og plads til, at børnene kan trives fagligt og socialt.",2,"Et stærkt lokalt erhvervsliv er vigtigt, men det skal ske i balance. Jeg mener, vi først og fremmest skal skabe gode rammer i hverdagen med skoler, dagtilbud og kultur, så både borgere og virksomheder naturligt vælger Glostrup til.",0,"Kommunens medarbejdere er fundamentet for velfærden. Vi har brug for dygtige ansatte i daginstitutioner, skoler, plejehjem og på andre velfærdsområder, hvis vi skal kunne levere kvalitet til borgerne.",1,"En stærk velfærd kræver en sund økonomi. Jeg mener, vi skal prioritere børn, ældre, sundhed og grøn omstilling fremfor lavere skat.",4,"Glostrup har en ansvarlig økonomi, hvor vi bruger pengene på kernevelfærd, grøn omstilling og fællesskaber.",3,"Jeg er tryg ved, at vi tager det alvorligt i Glostrup, men vi skal hele tiden investere i klimatilpasning og forebyggelse, så vi kan beskytte både borgere og bygninger mod fremtidens vejr","Trafik, Miljø og klima, Kultur,  idræt og fritid, Sundhed, Skole/dagtilbud for børn","Jeg arbejder for et grønnere Glostrup, bedre rammer for børn og unge og at kvinders sundhed tages alvorligt. Med mig får du en engageret stemme, der får idéer omsat til handling.","Jeg stiller op for at gøre Glostrup grønnere, sundere og mere familievenlig. Som mor til to skolebørn og aktiv i kommunalbestyrelsen siden 2021 ved jeg, hvor meget det betyder, at hverdagen hænger sammen. Jeg arbejder for bedre rammer i daginstitutioner og skoler, trygge skoleveje og flere fritidstilbud til unge. Klima og miljø er en hjertesag - vi skal passe på naturen, styrke biodiversiteten og gøre det nemmere at leve klimavenligt. Samtidig vil jeg løfte kvinders sundhed, så ingen står alene med efterfødselsproblemer eller gener i overgangsalderen. Jeg har allerede taget initiativer, som gør en forskel - og jeg vil fortsætte med at kæmpe for en kommune, hvor fællesskab, tryghed og bæredygtighed går hånd i hånd."
29267,Morten Bybjerg Nygaard,46,False,41,A,Gift,2,2600 Glostrup,Udvikler af dokumentation for jernbanesikkerhed,4,,4,,4,,3,,1,,3,,3,,1,,3,,3,,4,,3,,1,,1,,1,,3,,3,,4,,3,,1,,1,,3,,0,,0,,3,,4,,"Trafik, Miljø og klima, Ældre, Skole/dagtilbud for børn",Mere faglært personale i kommunens daginstitutioner og plejecentreUdvikle og ikke afvikle grønne områder i byenNedbringelse af støj fra trafik og industri,"Du skal stemme på mig, hvis du ønsker en, der vil arbejde for mere faglært personale i kommunens daginstitutioner og plejecentre. Eller hvis du ønsker en mere grøn tilgang til byplanlægning, hvor miljørigtige løsninger bliver det naturlige, og hvor byens grønne åndehuller bliver udviklet og ikke afviklet. Derudover ønsker jeg at arbejde for, at støj fra trafik og industri skal mindskes, til glæde for os alle."
6649189,Waqar Ahmed,166,True,39,A,Gift,2,2600 Glostrup,Senior Security Manager,3,Økonomi er afgørende faktor. 3 ud af 4 år sku der spares et 2 cifrede million beløb. Derfor kunne man ikke få meget igennem.2026 budget gav for første gang mulighed for at bruge pengene på ens mærkesager.,4,"Det er noget jeg håber på at jeg kan få igennem, jeg brænder meget for denne sag.",4,"Jeg havde det som mærkesag,  og var med til at få det igennem.Jeg har selv gik på Vestervangskolen og Nordvangskolen i slutning af 90'er.  Der var det også velfungerende selvstændig skole med egn identitet, og det fungerede.",3,"Jeg har også haft flere parkeringspladser som mærkesag.Men det kommer an på hvor besparelserne sker, det må aldrig ske på bekostning af kvalitet på service niveau til vores børn, unge, og ældre.Men efter at have været med til at lave sidste 4 års budgetter, er jeg sikker på at vi kan finde pengene fra områder der er mindre kritiske.",2,,4,,4,Som Næstformand for Vækst- og Byudvikling har jeg fokus starte arbejdet op i 2026.,2,,2,Der har været investeret flere penge på at forbedre forholdende for cykelister,1,"Lidt ud af kontekst, da man ikke kan se hvor meget dyrere.CO2 udslip skal ned i forbindelse med den grønne omstilling, men prisen skal ikke være at det bliver for dyrt at bo i vores kommune.",4,,3,,4,,2,,2,,3,"På de sidste 4 år er service niveauet blevet meget bedre, end den var tidligere, man er f.eks. gået fra bad til ældre hver 14. dag til 1 gang om ugen, og dette skal yderligere gøres bedre.Med en bedre økonomi i udsigt,  ser jeg frem til at service niveaet yderligere forbedres.",4,,2,"Det skal ikke ske på bekostning af service niveauet og kvalitet til børn, unge, og ældre.Mange børn er kræsene og kan ikke lide maden, så der er risiko for madspild m.m.",2,,1,"Hvis der er et tydelig behov, kan man god kigge ind i det.",1,,4,Der har sat flere tiltag iværk,0,"Der er brug flere hænder,  når indbyggertallet i kommunen vokser, hvilke der er udsigt til.",2,"Kun hvis økonomien tillader det.Da skatten blev sat op, skulle kommunen finde ca. 70 mio kr. Pga, mange års overforbrug, hvor Socialdemokratiet var i uposition.Der var ingen andre udvej.",2,,2,,"Trafik, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg vil skabe reel borgerinddragelse, mindre bureaukrati og en kommune med tryghed, gode dagtilbud, støtte til unge, stærkt foreningsliv og grøn byudvikling med sikre veje og gode parkeringsforhold.","Jeg vil arbejde for en kommune, hvor borgerne bliver hørt, og hvor det er nemt at få hjælp og indflydelse. Mindre bureaukrati og mere sund fornuft - løsninger, der virker i hverdagen for familier, unge og ældre.Alle børn i Glostrup skal have den bedste start i livet. Vores daginstitutioner skal være trygge, med tid og nærvær til hvert barn. Unge skal have stærk støtte til uddannelse og job, og vi skal tage hånd om dem, der risikerer at komme på afveje.Kultur, idræt og fritid skal være for alle. Der skal være gratis og åbne muligheder, så ingen står udenfor - uanset baggrund eller økonomi. Vores frivillige er en uvurderlig kraft i fællesskabet, og de fortjener støtte og gode rammer.Når vi udvikler Glostrup, skal vi gøre det med omtanke. Vi skal bevare de grønne byrum, skabe sikre skoleveje og indføre flere 40 km/t-zoner ved skoler og i boligområder. Vi skal have repareret de hullede veje og finde løsninger på parkeringsproblemerne i bymidten.Jeg vil arbejde for et Glostrup, hvor"
