id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,themes,short,long
13294,Bjarke Abel,1441,True,58,A,Samboende men ikke gift,2,2670 Greve,Logistikchef,1,,0,,4,,1,,3,,1,,4,,2,,3,,1,,3,,3,,3,,3,,1,,3,,1,,1,,3,,2,,1,,3,,1,,0,,3,,3,,"Miljø og klima, Ældre, Sundhed, Skole/dagtilbud for børn, Skat","Investér i mennesker og fremtidens Greve: Styrk børnelivet med tidlig indsats, værdig ældrepleje, en retfærdig økonomi og en grønnere kommune med fokus på fællesskab, trivsel og bæredygtighed.","I Greve Kommune skal vi investere i mennesker - fra graviditeten til voksenlivet. Det handler om tidlig indsats, trygge dagtilbud og skoler med høj faglighed, gode rammer og trivsel. Jeg vil tilføre 40 millioner kroner til området, så vi styrker den velfærd, der skabes mellem mennesker - for det er her, vi gør en forskel.Samtidig står vi over for en stor udfordring: I 2030 vil der være omkring 1.000 flere borgere over 80 år i Greve. Derfor skal vi sikre, at alle får en værdig pleje, hvor frivillige bidrager som supplement - ikke erstatning - for de faglærte. Jeg vil tilføre 15 millioner kroner til ældreområdet.For at kunne investere i både børn, unge og ældre foreslår jeg, at alle voksne borgere bidrager med gennemsnitligt 100 kroner mere om måneden. Pengene øremærkes den borgernære velfærd, så vi skaber en stærk, retfærdig og bæredygtig økonomi til fremtidens Greve."
6649195,Maria Witthøft,833,True,23,A,Gift,0,2670 Greve,Projektmedarbejder - ungdomsfagbevægelsen og KV/RV,2,For mig er det ikke et enten/eller - vi kan sagtens gøre begge dele.,1,"Vi skal give alle vores folkeskoler et løft,  og det går vi i Socialdemokratiet til valg på.",3,,2,,3,,2,"Projektet er godt, men alt, alt for dyrt. Derfor har vi sat en undersøgelse i gang, som skal oplyse os om vores handlemuligheder for at gøre Strandvejen mindre trafikeret og sikrere at begå sig på.Derudover mener jeg,  at der skal være klart fokus på at gøre Strandvejen smukkere med flere træer,  buske,  planter og blomster. Jeg går til valg på det jeg kalder 'Vilde vejkanter', som både skal øge bdiodiversiten og gøre kommunen smukkere.",4,,2,,2,"Vi har et godt stisystem i Greve Kommune, men der mangler en cykelsti på Karlslunde Centervej, som kan forbinde Tune med Greve.Derudover er der flere veje som i mange år er blevet forsømt.Derfor mener jeg, at vi skal investere i begge dele.",3,,4,"I Greve Kommune har vi allerede bygget på mange af vores grønne områder - vi skal bevare det vi har tilbage, og forbedre det.",2,"Vi har allerede et hav af tilbud til børn og til unge. Men, vi  kan da altid bruge flere :)",1,"Kunst og kultur danner os som mennesker, og det er en misforståelse, at det kun er for eliten.Jeg mener, at vi skal have mere kunst i det offentlige rum, hvorfor jeg også har stillet forslag om netop dette - at etablere et doneret kunstværk i rundkørslen ved Greve Svømmehal/Greve Gymnasium.",1,"Vi skal altid forsøge at få danskere i arbejde, før vi søger hjælp udenlands.",0,,3,"Ældreplejens nuværende rammer skal udfordres, for mange ældre får ikke en værdig pleje.Der skal være mere tid og mindre bueaukrati for vores ansatte.",2,,3,,2,"Jeg forstår ønsket om flere røgfri områder, men jeg synes også, at medarbejderne skal have frihed i deres selvbetalte pauser.Hvis nogen vil ryge dér, skal der være plads til det.Som fagforeningskvinde står jeg derfor midt i spørgsmålet.",4,,4,,3,"Det er dejligt, med et stærkt, lokalt erhvervsliv, som kan bidrage til kommunen.Det ville også være dejligt, med flere cafeer, restauranter og steder hvor man kan drikke en øl :)",1,"Velfærden fungerer kun, når der er mennesker til at løfte den.Derfor har vi brug for flere kommunalt ansatte i daginstitutioner, hjemmepleje og skoler.",1,,1,"Pengene bruges ikke dér, hvor de gør mest gavn.Vi har brug for en omfordeling, så velfærd og mennesker prioriteres - og det kræver et politisk skifte.",3,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn, Beredskab og sikkerhed","Stem på mig, hvis du også mener at det er vigtigt med unge for bordenden, som kan kæmpe for de unges stemme.Jeg kæmper for grøn omstilling, smuk kommune,  og at du trygt kan bo her hele livet.","Jeg er kommunens eneste unge stemme, og det er vigtigt, at unge bliver hørt.Mine mærkesager er 'unge i centrum', 'et grønnere Greve' samt 'det gode liv - fra vugge til krukke'.Fordi det skal være fedt at bo i kommunen som ung! Jeg vil  etablere et ungeråd og give finansiel støtte til ungeinitiativer gennem 'Ungdomspuljen'.Fordi Greve Kommune har et ansvar for den grønne omstilling, ved at etablere grønne tage på kommunale bygninger og på toppen af busstoppesteder, vilde vejkanter og gennem en bærerdygtig indkøbspolitik.Og sidst, fordi det skal være nemt og trygt at bo i Greve Kommune.Vi skal have mindre bureaukratisk bøvl, et foreningsliv for alle og værdig hjælp til dem, der behøver det - ung som gammel.Jeg håber, at du vil stemme på mig d. 18. november, så jeg kan fortsætte min kamp."
13520,John T. Olsen,314,True,64,A,Gift,2,2670 Greve,Ejendomsinspektør i Greve Boligselskab,2,,1,,4,,2,,3,,3,,4,,1,,3,,2,,3,,3,,1,,2,,1,,3,,1,,2,,2,,2,,3,,3,,0,,0,,2,,3,,"Trafik, Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre",Man skal stemme på mig hvis man ønsker erfaring og ikke mindst ordentlighed i Greve Byråd.,"Vores stisystemer er ikke fuldt med udviklingen i Greve kommune, man skal kunne komme rundt i hele kommunen ved brug af stisystemer.der skal være boliger til alle uanset hvor du er i livet, vi mangler 2 og 3 rums boliger, når villa bliver for stor.Det skal være trygt at være i Greve kommune og det er uanset om det er Greve Midt, Tune eller Hundige, Belysning og beplantning på stier og i boligområder, skal være indrettet på en måde at det er åbent og lyst.De almene boliger i Greve kommune løfter en stor samfundsopgave, og den forbindelse er det vigtigt at der max er 30 % af anden herkomst end dansk i de almene boligområder.Der vil i Greve kommune inden for de kommende år være en markant stigning af borgere over 80 år, det betyder at vi skal bruge flere penge.Vores skoler har brug for et generelt løft særligt på bygningsdelen. Vi vil brug for et velfærdsløft i Greve, bla har vi for mange børn der har det svært, og da det er vores fremtid skal vi sætte ind her"
121219483,Lisbeth Wilstrup,225,True,58,A,Samboende men ikke gift,3,2670 Greve,Ejendomsleder,0,"Jeg er helt uenig i, at vi skal prioritere skoleområdet på bekostning af ældreområdet. Begge områder er kernevelfærd og helt afgørende for borgernes livskvalitet - både i starten og slutningen af livet. Vi skal investere i børn og unges fremtid, men vi skal samtidig sikre værdighed og tryghed for vores ældre. Derfor handler det ikke om enten-eller, men om at finde løsninger, hvor vi kan styrke begge områder ved at bruge ressourcerne klogere og mere effektivt.",1,"Jeg mener, at skolerne i Greve har brug for flere midler for at kunne sikre høj kvalitet i undervisningen. Samtidig er det vigtigt, at vi ser på, hvordan ressourcerne bruges, så pengene kommer bedst muligt børnene til gavn. Det handler både om at tilføre ekstra midler og om at sikre, at arbejdet i skolerne er effektivt og målrettet.",3,"En skatte­stigning kan ikke stå alene. Først og fremmest skal vi sikre, at hver krone i kommunekassen bliver brugt effektivt og til gavn for borgerne. Men hvis vi skal bevare og udvikle vores velfærd i Greve - skoler, daginstitutioner, ældrepleje og socialområdet - er vi også nødt til at se på en mindre stigning i kommuneskatten.Socialdemokratiet foreslår en stigning svarende til ca. 100 kr. om måneden. Det er penge, der går direkte til kernevelfærden, så vi kan sikre tryghed og kvalitet i hverdagen - både nu og i fremtiden.",0,"Jeg mener ikke, at det kun skal være borgerne ved kysten, der betaler for kystsikring. Klimaforandringerne påvirker os alle - både gennem stigende vandstand og oversvømmelser på vores veje og i vores byområder. Derfor er det en fælles opgave for hele kommunen at sikre kysten og skabe løsninger, der kan lede vandet væk. Kystsikring handler ikke kun om kysten, men om tryghed og sikkerhed for hele Greve.  Kystsikringsprojekter kan også strække sig over flere kommuner, hvilket gør det naturligt for regionerne at koordinere indsatsen",4,"Ja, jeg mener, at vi alle i Greve skal tage ansvar for at holde vores strande rene for fedtemøg - for strandene er til glæde for alle. Samtidig bør vi se på at etablere flere toiletter ved strandene, så de bliver mere indbydende og brugervenlige. Jeg ser også muligheder i at inddrage sponsorer eller samarbejdspartnere i arbejdet, så vi sammen kan sikre rene og attraktive strande til glæde for både borgere og gæster.",3,"Jeg er enig i, at trafiksikkerhed er vigtig, men jeg mener, at løsninger skal vurderes samlet. Ensporede veje kan hjælpe, men vi skal også se på stier, kryds og skoleveje, så alle - børn, cyklister, fodgængere og bilister - kan færdes trygt. Omkostningerne skal vurderes i forhold til den samlede effekt på sikkerheden.",4,"Jeg mener, at det er en god idé at åbne flere valgsteder i Greve. Det vil gøre det lettere for borgerne at stemme - uanset om man kommer i bil, på cykel eller til fods. Jo nemmere vi gør det at deltage i demokratiet, jo stærkere står det.",1,"Antallet af elbiler stiger, og det er positivt for klimaet. Men før vi reserverer flere offentlige parkeringspladser udelukkende til elbiler, skal vi se på det reelle behov i Greve. Mange elbilejere har allerede egne opladere derhjemme, og vi skal sikre, at nye løsninger afspejler virkeligheden og skaber balance mellem grøn omstilling og tilgængelighed for alle borgere.",3,"Det er vigtigt, at alle kan færdes trygt og sikkert på stier, gader og veje i Greve - uanset om man går, cykler eller kører bil. Gode forhold for fodgængere og cyklister skaber samtidig tryggere trafik for bilister. Vi skal derfor sikre, at infrastrukturen understøtter sikkerhed og fremkommelighed for alle, uden farlige situationer eller lange køer.",2,"Jeg mener, at kommunen skal arbejde målrettet på at nedbringe CO₂-udslippet, men det skal ske på en måde, der ikke unødigt øger omkostningerne for borgerne. Vi skal finde løsninger, der både er effektive og realistiske, fx investeringer i grøn infrastruktur, energieffektive bygninger og bedre transportmuligheder, samtidig med at vi sikrer, at Greve fortsat er en attraktiv kommune at bo i.",3,"Jeg mener, at vi skal værne om Greves grønne områder - de er vigtige for både natur, klima og livskvalitet. Men udvikling og grønne værdier kan godt gå hånd i hånd. Nye byggerier skal ske med omtanke, så vi bevarer det særlige ved vores lokalområder, samtidig med at vi sikrer plads til mennesker, natur og fællesskab.",2,,2,,1,"Jeg mener, at det er et fælles ansvar mellem kommunen og erhvervslivet at skabe attraktive rammer for udenlandsk arbejdskraft, så vi kan besætte de stillinger, der mangler hænder til. Samtidig er det vigtigt, at de mennesker, der kommer hertil, har lyst og mulighed for at blive en del af det danske samfund og de værdier, vi bygger vores fællesskab på. Integration og fælles forståelse er nøglen til, at det bliver en succes - både for den enkelte og for kommunen.",0,"Jeg mener ikke, at kommunen bruger for mange penge på udsatte borgere. Jeg mener at vi skal sikre, at pengene bliver brugt på den rigtige måde. Hjælpen skal være målrettet, så den faktisk gør en forskel og hjælper mennesker videre i livet. Det handler ikke kun om kroner og øre, men om at skabe tryghed, fællesskab og muligheder for alle - samtidig med, at vi bruger ressourcerne ansvarligt.",3,"Kommunens ældrepleje fungerer overvejende godt, og medarbejderne gør et stort stykke arbejde. Samtidig mangler der hænder, og vi skal sikre, at arbejdet organiseres smartere, så ressourcerne udnyttes optimalt. Jeg støtter investeringer i plejen, så vi kan bevare kvaliteten og samtidig håndtere fremtidens stigende behov.",1,"Vi mangler hænder i hjemmeplejen, og medarbejderne arbejder hårdt. Jeg mener, at vi kan organisere arbejdet smartere og udnytte de nuværende ressourcer bedre, men vi må også se realistisk på, at vi bliver flere ældre, og at omkostningerne stiger. Derfor støtter jeg Socialdemokratiets forslag om en skatteforhøjelse på 100 kr. pr. måned, så vi kan sikre en værdig og god hjemmepleje for alle.",1,"Jeg mener ikke, at gratis madordninger skal gå foran andre vigtige opgaver. Det er vigtigt at prioritere ressourcerne, så vi sikrer kvalitet og tryghed i daginstitutioner og skoler. Vi kan dog overveje en lav brugerbetaling eller kantineordninger,  ordninger som støtter familier med særlige behov, uden at det skaber besparelser på andre områder.",3,"Generelt skal vi tage hensyn til hinanden. På kommunale udendørsarealer, hvor mange færdes - som legepladser, skoler og opholdsområder - synes jeg, det giver mening at indføre flere røgfrie zoner. Det handler om at skabe trygge og behagelige rammer for alle, uden at det føles påtvunget.",3,"Jeg forstår godt behovet for udvidede åbningstider, men det skal ikke ske ved at skære på andre velfærdsområder. Vi skal i stedet se på, hvordan ressourcerne bruges i dag - og finde smartere måder at organisere arbejdet på. Måske kan vi udvide åbningstiderne dér, hvor behovet er størst, uden at det går ud over kvaliteten andre steder.",1,"Jeg mener ikke, at man skal nedbringe antallet af elever, hvis det går ud over andre kommunale ydelser. I stedet bør vi sikre tilstrækkelige ressourcer og effektiv udnyttelse, fx tolærerordning i indskolingen, så alle elever får støtte. Derfor støtter jeg også Socialdemokratiets forslag om en stigning på 100 kr. i kommuneskatten, så vi kan prioritere både undervisning og velfærd i hele kommunen.",3,"Kommunen bør arbejde aktivt for at tiltrække flere private arbejdspladser, men det skal ske i tæt samarbejde med erhvervslivet. Samtidig er det vigtigt, at nye virksomheder bidrager til lokal udvikling, arbejdspladser og muligheder for borgerne.",1,"Jeg mener ikke, at der nødvendigvis skal være færre kommunale ansatte i Greve. Vores medarbejdere udfører vigtige opgaver for borgerne, og det er afgørende for både trivsel og service. Det, vi derimod skal, er at se på, om ressourcerne og arbejdet organiseres effektivt - så vi sikrer, at opgaverne løses korrekt første gang, og at hver krone bruges bedst muligt til gavn for borgerne.",0,"Jeg mener ikke, at kommuneskatten skal sættes ned. Velfærden i Greve er under pres, og hvis vi skal bevare kvaliteten i skoler, daginstitutioner og ældrepleje, kræver det stabile indtægter. En eventuel skattenedsættelse vil betyde færre penge til kernevelfærd. Til gengæld mener jeg, at hver skattekrone skal bruges mere effektivt - ved at gøre arbejdsgange kortere, sikre kvaliteten første gang og prioritere løsninger, der skaber mest mulig værdi for borgerne. For mig er det vigtigere at sikre en stærk velfærd end at sænke skatten.",2,"Der er behov for forandring i Greve. Vi skal se på, hvordan ressourcerne udnyttes bedst, organisere arbejdet smartere og sikre, at hver krone går til konkrete løsninger, der gør en mærkbar forskel for borgerne.",3,"Jeg føler mig generelt tryg ved, at kommunen har planer for ekstraordinære vejr-fænomener, men jeg vil samtidig arbejde for, at indsatsen prioriteres højt- med fokus på kystsikring og klimatilpasning, så borgerne er beskyttet, og skader minimeres.","Trafik, Miljø og klima, Social- og integrationsområdet, Sundhed, Skole/dagtilbud for børn","Sammen kan vi gøre Greve til et sted, hvor alle trives. Jeg vil skabe konkrete løsninger for tryghed, fællesskab og et grønnere Greve.","Jeg stiller op til byrådet i Greve for Socialdemokratiet, fordi jeg ønsker at skabe konkrete løsninger, der kan mærkes i hverdagen. Jeg tror på åbenhed, dialog og samarbejde - på tværs af forskelle og partifarver.Jeg vil arbejde for, at Greve bliver en kommune med effektive velfærdsordninger, en styrket indsats for psykisk sårbare borgere, forebyggelse af unges misbrug, trygge og sikre hverdagsrammer samt grøn udvikling og rekreative områder. Beslutninger skal tages med lokal forankring, og borgerne skal inddrages aktivt, så løsningerne giver mening for dem, der bor her.Jeg ønsker, at kommunens ressourcer udnyttes bedst muligt, og at vi prioriterer handling frem for tomme ord. Sammen kan vi løfte Greve, skabe trivsel for alle og gøre vores by endnu bedre - tryggere, mere inkluderende og grønnere - Samme om Greve."
121219480,Kaj Duvander,107,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121219476,Helle Viuf,380,True,62,A,Gift,,4030 Tune,Sogne- og ensomhedspræst,2,"Det ene behøver ikke udelukke det andet. Vi bliver markant flere ældre indenfor de næste få år samtidigt med, at der også sker en stigning af antallet af børn, der skal bruge dagtilbud og skoler. Pengene må - og kan -  findes som en del af almindelig, anstændig velfærd.  Alt for mange børn trives ikke og inklusion er presset.",1,To-lærerordning er ønskeligt. Skolesystemet er generelt presset. Elever og lærere skal have ordentlige rammer om deres dagligdag. Der skal være gode klasse- og faglokaler og udearealer.,3,"Jeg ville ønske, at jeg kunne sige, at vi har råd til at sætte skatten ned i disse tider, hvor det er blevet så meget dyrere for alle at foretage de helt basale daglige indkøb.  Men hvis vi skal imødegå de demografiske forhold og geare kommunen til flere ældre og flere børn, har jeg svært ved at se anden udvej end at hæve skatten. MEN! Det er ganske lidt der skal til - noget, der svarer til ca. 100 kr. mdl. for en mellemindkomst - og så får vi sammen skabt det råderum, der behøves for at sikre velfærd af en ordentlig kvalitet både for vores ældste medborgere og de yngste af dem.",1,"En generel sikring skal være en offentlig sag, så den foretages på ordentlig  måde.",2,"Men fedtemøg skal absolut ikke ud på markerne (i Tune).  Det er fyldt med problematise stoffer, bl.a. mikroplast. Der bør tages fat ved ondets rod: Udledningen i havet!",0,Det må indgå på lige fod med andre trafikale problemer i kommunen.  Der forestår en stor udgift til at sikre plejehjemskapaciteten i kommunen og den prioriterer jeg højere.  Der mangler også beskyttelsesrum til ca. 75% af befolkningen.,4,"Det skal være nemt at komme til at afgive sin stemme og derfor må der selvfølgelig ikke være for langt mellem valgstederne, for det vil være et demokratisk benspænd.",1,"Det er tåbeligt at p-pladser står tomme, mens andre ikke kan komme til at parkere.  Det tager tid at få alle over i elbil.  Det løses ikke ved at besværliggøre parkering for diesel/benzinbiler.",2,Det er ikke et enten-eller.  Det hænger sammen.,3,Det behøver ikke nødvendigvis blive dyrere at omlægge forskelligt i kommunen.,4,"Der er i forvejen meget lidt natur i kommunen, så vi må passe godt på den smule der er. Hertil kommer, at vi for fremtiden skal tænke os gevaldigt godt om inden vi bygger nyt. Vi overforbruger grus og tænker for lidt regenerativt i det hele taget.",2,"Gerne nær-kulturelle tilbud til byens børn og unge. I min hjemby Tune mangler de unge et sted at samles. Kultur og idræt samler mennesker.  Det er ikke mængden af fritidsaktiviteter, der er afgørende. Det afgørende er at få børn og unge engageret i aktiviteter ved siden af skole og uddannelse. Især de fællesskabsstiftende aktiviteter er vigtige. Foreningslivet er et vigtigt element i demokrati og medborgerskab.",1,"Kunst og kultur betyder meget for sammenhængskraft demokratisk dannelse, mangfoldighed og innovation. Kunst og kultur skal være let at møde og børn skal møde kunst og kultur fra de er små.  Desuden skal der skabes mulighed for at de selv kan være skabende.  Fra Tune er der for langt for børn til Greve Borgerhus eller Portalen.  Jeg kunne ønske. mig en billedskole i Tune og bedre muligheder for at børn møder musik.  Det vil jeg arbejde for.",0,"Det er ikke underordnede hvorfra arbejdskraften kommer. Der er kulturer, der ikke lader sig forene med den danske kultur.  Det har vi været for længe om at erkende.",2,,2,Det kommer meget an på hvad man spørger til. og hvilke del af ældreplejen. Der er plads til forbedring.,1,"Det ser jeg ingen mulighed for, især i betragtning af, at vi bliver betragteligt flere ældre. Var det muligt, ville det da være sket.",3,"Skolemad ville gavne børn, ingen tvivl om at det. Jeg ville gerne indføre skolemad, men da der i forvejen mangler penge mange steder, har jeg svært ved at se det muligt lige nu. Men jeg vil meget gerne arbejde i retning af at indføre skolemad.",4,,4,"Der er for mange forældre, der bliver klemt af åbningstider og lukkedage.",4,"Klart ja, i håb om, at det ville give generelt bedre trivsel for både elever og ansatte.",3,,2,"Der vil være steder man kan klare sig med færre men samtidigt vil der være områder - børn, unge, ældrepleje, hvor der skal flere til.",0,"Sættes skatten ned,  kan jeg ikke se, hvordan vi får råd til en anstændig kernevelfærd.  Mange af kommunens bygninger er bygget for ca. 50 år siden og er nu slidt.  Skal slitagen fortsætte? Kan pengene findes i hjørner jeg ikke kan se rundt om, så lytter jeg meget gerne.",3,"Ja, det synes jeg, men de slår bare ikke til. Der kunne formentlig kæmmes, sådan som der nu bliver set på de meget dyre botilbud.",2,Det er jeg desværre ikke helt overbevist om.  Især de store vandmængder kan udfordre os.  I Tune har vi ikke separatkloakering.,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn, Beredskab og sikkerhed","Du skal stemme på mig personligt, hvis det også er afgørende for dig,  at vi kan: - bevare et ordentligt velfærdsniveau- sikre vores børn de bedste vilkår- tage vare på natur, klima  og grundvand.","Jeg tror på et stærkt fællesskab og en velfærd, der giver tryghed gennem hele livet. Som præst har jeg set jeg hvor skrøbeligt livet kan være, og hvor vigtigt det er, at vi har et samfund, der støtter, når behovet opstår. Dette kræver stærke offentlige tilbud, som er tilgængelige for alle, uanset livssituation, og et levende civilsamfund, hvor vi tager ansvar for hinanden. Samfundet bygger på rettigheder og pligter. Det er sådan, vi sikrer, at velfærden er stærk og bæredygtig - både i dag og for kommende generationer. Velfærd er lig med tryghed - tryghed i hverdagen, og når livet ændrer sig. Ensomhed er blevet et stort samfundsproblem, der rammer ung som gammel.  Det må der tages hånd om.Bred erfaring har givet en livsindsigt, som jeg ønsker at bringe med ind i politik. Jeg er god til at lytte mig ind til det, der betyder noget for andre, og jeg ved, at politik først bliver stærk, når den formes i mødet med mennesker og deres behov."
56511,Tina Rottbøll,376,True,48,A,Gift,2,2670 Greve,Familieplejekonsulent (socialpædagog),3,"Ældreområdet i Greve har i mange år haft et højere serviceniveau en børne og skoleområdet, hvilket jeg ikke mener er fair. Derfor mener jeg at serviceniveauet for Greves børn, som min skal ligge på niveau med ældreområdet.",0,"Greves Folkeskoler er pressede og det skal vi tage alvorligt. Lærerne efterspørger tilstrækkelig tid til at sikre en god og tryg skoledag samt et undervisningstilbud, der tilgodeser alle elevers behov. Kun når lærerne har tid, ressourcer og gode rammer, kan de skabe et læringsmiljø, hvor flere børn - uanset forudsætninger -  kan trives og udvikle sig. Dertil kommer bøger og læringsmaterialer, som burde være en selvfølge. Jeg er opmærksom på og følger inklusionsdagsordenen tæt, da min holdning er,  at alle børn IKKE kan - og skal inkluderes. Børn med særlige behov er mere følsomme overfor - og afhængige  af den ramme de placeres i, da denne er afgørende for deres funktionsniveau og trivsel.  De har brug for mindre og mere overskuelige rammer og færre børn og voksne som de skal forholde sig til. Inklusion må ikke være en spareøvelse og sådan oplever jeg det i Greve.Greves børn er fremtidens økonomiske grundlag.",4,"Greve kommune har ikke råd til lave skatter, hvilket tydeligt kommer til udtryk i en generelt underfinansieret kernevelfærd.",3,,4,Standen er for alle Greveborgere og derfor har alle en interesse i at denne holdes ren.,3,"Strandvejen er mest trafikeret i det tidsrum, hvor vores børn færdes på vej til skole. Derfor ønsker jeg en ensporet Strandvej - og der bør kunne findes en relativ billig løsning i form af op stribning og andre alternativer.",4,,2,"Jeg er ejer af to elbiler og oplever behovet for offentlige ladestandere og parkering matcher det nuværende behov, da mange i Greve har privat parkering og egne ladestandere.",3,"Eftersom det er børnene, der repræsenterer størstedelen de bløde trafikanter, er jeg meget enig.",3,,4,,2,"Jeg ser værdien i kultur og sportstilbud til børn og unge. Da kultur og sportstilbud i Greve er på et generelt højt niveau, mener jeg ikke der er råd til yderligere prioritering heraf.",3,,3,,0,,2,,0,,1,"Jeg ser værdien af gratis madordninger, særlig for børn som er udsatte. Men med en trængt økonomi ser jeg ikke muligheden for at kunne tilbyde dette for nuværende.",3,,4,,4,,3,,0,,0,,1,,1,,"Skole/dagtilbud for børn, Skat",Jeg vil have Greves børn øverst på den politiske dagsorden  - og derfor er en stemme på mig en stemme på Greves børn.- Og at handicapområdet får det fokus det fortjener.,"En stemme på mig er en stemme på Greves børn Min tilgang til politik tager afsæt i forskning, faglighed og vigtigst af alt - dialog med alle Greveborgere.Jeg er ambitiøs på børnenes vegne og kæmper hver dag for at sætte børnene øverst på den politiske dagsorden. Børnene først - i både ord og handling! Som medlem af Greve byråd arbejder jeg kontinuerligt for, at vi øger investeringen i vores børns trivsel, læring og udvikling. Der er brug for genopretning af dagtilbud og skoler efter mange års besparelser. Jeg vil have børnene øverst på den politiske dagsorden.Jeg mener vi skal bruge pengene der, hvor de skaber mest værdi for samfundet og forskning viser, at vi til enhver tid bør prioritere børnevelfærd. Tidlig indsats er god kvalitet i dagtilbud og skole - og ikke at forveksle med, at der sættes ind når udfordringerne er opstået, det kaldes brandslukning og genopretning.Vores børn har ret til den bedste start på livet - det starter i vores dagtilbud og folkeskole."
121219484,Mariola Jokiel Svendsen,107,False,45,A,Gift,3,2690 Karlslunde,lærer,3,Lige i øjeblikket trænger skolelmrådet til et løft.,0,,4,,1,,2,,1,,3,,2,,2,,3,,3,,1,,2,,3,,2,,2,"Mangler lidt viden, men tænker der kan nok gøres noget for at forbedre forholdene.",1,,2,,2,,1,,3,,2,,2,,0,,2,,1,,Skole/dagtilbud for børn,"- flere ressourcer til folkeskolen- 1% mere i skat = 40 mln mere i kassen på sigt- En ny, socialdemokratisk retning gir Greve Kommune: @Sammen om velfærden ""","- en kvinde, 45, lærer, erfaring fra en skolebestyrelse, fælleskab er vigtigt, sammen kan vi mere"
6649196,René Bak Høg,35,False,66,A,Gift,3,2670 Greve,Seniorpensionist,4,,0,,4,,0,,4,,0,,4,,1,,4,,1,,4,,1,,1,,3,,0,,0,,1,,3,,2,,4,,4,,2,,0,,0,,1,,2,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn",Vil prioritere tryghed og opgradering af vores skoler og ældre samt vores velfærd,Stem på liste A Lig med tryghed og øget velfærd
6649191,Bjarne Kjær,131,False,58,A,Gift,2,2690 Karlslunde,Ledelse med omtanke,2,,1,,2,,2,,2,,1,,3,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,3,,"Miljø og klima, Kultur,  idræt og fritid, Skole/dagtilbud for børn, Erhverv/administration, Skat",Mere sund fornuft ind i Greve Byråd.,"Jeg har erfaring med at skabe gode arbejdsmiljøer i stramme økonomiske rammer. Det har vores kommune brug for, da vi skal:✅ skabe ordentlige vilkår for at medarbejderne trives så ->✅ vi kan få mere ud af pengene ->✅ så vi alle, både børn, unge, voksne og ældre, kan få bedre vilkårDet handler først og fremmest om at bruge det vi har klogere.Stem personligt - for forandring med omtanke.Bjarne Groth KjærKandidat til byrådet"
