id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,a31,c31,themes,short,long
23173,Marco A. Damgaard,2102,True,40,A,Gift,4,2730 Herlev,Borgmester,3,,4,,4,,3,,0,,4,,4,,1,,3,,1,,4,,1,,1,,1,,1,,3,,3,,3,,1,,1,,1,,3,,1,,0,,3,,3,,1,,"Miljø og klima, Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn, Erhverv/administration","Man bør stemme på mig fordi jeg prioriterer en sikker økonomi, en stærk velfærd og en grøn byudvikling. Jeg vil være en ordentlig og arbejdsom politisk leder, som vil passe godt på fællesskabernes by.","Herlev er fællesskabernes by. I vores helt utroligt mange fællesskabsmuligheder finder vi tryghed, frihed og trivsel. Derfor skal vi fortsætte med at passe rigtigt godt på vores fællesskaber og vi skal via en klar og tydelig politisk ledelse videreudvikle byen.Det kræver en stærk og sikker økonomi. En kvalificeret og nærværende velfærd, samt en helhedsorienteret og klimavenlig byudvikling. Jeg elsker Herlev og jeg vil som byens borgmester arbejde hårdt, ordentligt og ærligt for at skabe et endnu bedre Herlev i fremtiden."
8928,Gitte Friberg Bomholdt,138,True,62,A,Gift,2,2730 Herlev,Afdelingsleder,3,Det skal vi nogle år endnu. Men i et tempo så infrastrukturen kan følge med. Byens størrelse sætter en naturlig begrænsning for antal. Det at vi er vokset i antal borgere har gjort at vi har kunne udbygge vores velfærdstilbud og løfte serviceniveauet. Det havde ikke været muligt uden tilflytning og dermed øgede skatteindtægter.,4,,3,Det byggeri der skal bygges fremover skal give noget tilbage til byen.  Og være balanceret ift. beliggenhed. Og udseende.,3,,0,Jeg mener at kernevelfærd som ældrepleje bedst varetages af det offentlige. Det skal ikke være en forretningsmodel at tjene penge på varetagelse af omsorg og pleje af ældre.,2,,3,I den udstrækning det giver mening og værdi at bevare og renovere bygningen,2,,2,"Begge transportformer skal sikres acceptable forhold. Men der skal sikres bedre cykelstier, særligt på skolevejene",3,,3,Herlev er en mindre kommune med begrænset plads. En stor del af de grønne områder er fredede rekreative områder der ikke må bebygges. Der skal bygges hvor det giver mening og hvor der kan sikres gode udearealer i tilknytning,2,,1,,0,"Særligt på ældreområdet er der en stor andel af medarbejdere med anden etnisk oprindelse og dansk som andet sprog. Det er vigtigt at sikre balance hvis dansk kultur skal fastholdes i ældreplejen. Vi skal sikre arbejde, uddannelse og sprogundervisning til de udenlandske medborgere der allerede er i landet. Eks. De mange Iranske sygeplejersker der søger evalueringsstillinger i Region og kommuner",0,Socialt udsatte borgere skal støttes til et værdigt liv. Et demokrati måles på den måde man behandler de svageste borgere,3,Vi er som alle kommuner udfordret på rekruttering. Men vi ligger højt ift fastholdelse. Serviceniveauet i Herlev ligger også godt sammenlignet med andre kommuner,1,Der er områder der kan optimeres. Men overordnet tror jeg ikke der kan spares på ældreområdet uden at det koster på serviceniveauet,3,,3,,2,,2,Der skal være flere voksne i klasselokalerne. Både lærere og pædagoger,2,,0,Velfærdsområderne kræver flere ikke færre medarbejdere hvis man ønsker at bevare eller udvikle velfærd og service.,0,,4,,3,Der er en plan for sikring af eks kloaknettet i de mest belastede områder,2,,"Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Sundhed","En stærk ældrepleje med høj faglighed og selvbestemmelse. Lighed i sundhedLighed i opvækst. Muligheder for alle, uanset livsvilkår. Gode fritids og kulturtilbud. Ansvarlig økonomisk styring.","Jeg ønsker at Herlev fortsætter som en stærk velfærdskommune med ansvarlig økonomisk styring.  Og attraktive kommunale arbejdspladser.  Socialdemokratiet har altid fastholdt lav kommuneskat, bl.a. for at sikre at det stadig er muligt for unge familier at bosætte sig i Herlev. Vi er en velfungerende velfærdskommune og det skal vi passe på. Vi skal sikre gode skoler og pasningstilbud med voksne nok, så forældre kan være trygge ved at deres børn får omsorg og voksenkontakt. Vi skal sikre at ældreplejen kan tiltrække og fastholde dygtige medarbejdere nok.  Så vi kan arbejde med de krav den nye ældrelov stiller om Helhedspleje og inddragelse.  Vi skal have en stærk stemme i samarbejdet mellem kommuner og Region.  Så vi sikrer at det, der er vigtigt på sundhedsområdet, for Herlevborgerne, bliver bragt med ind i sundhedsrådet. Vi skal også sørge for at der er lige adgang til kultur og fritidsaktiviteter for alle. Og vi skal fortsat arbejde hårdt på at bryde negativ social arv."
121219513,Johannes Gyldal Sandell,236,True,21,A,Samboende men ikke gift,0,2730 Herlev,Studerende,3,,2,"Vi skal blive ved med at løfte vores sociale ansvar i Herlev Kommune. Folkeskolen skal være mødestedet for mennesker med forskellige baggrunde og forudsætninger. Værdien af netop det møde, skal vi blive ved med at give vores børn- og unge med i rygsækken. Det er afgørende for mig.",0,,3,,2,,3,,1,,2,,3,"Det skal være muligt at komme rundt i Herlev - uanset transportmiddel. Særligt gangbesværede skal have gode forudsætninger for, at komme rundt til byens mange fællesskabsmuligheder.  Samtidig skal vores børn have trygge skoleveje - det skal være trygt at cykle til- og fra skole. Mange herlevborgere er dog afhængige af at kunne komme til- og fra arbejde i bil. Det er afgørende at det forbliver let at aflevere- og hente børn, komme på arbejde, og generelt komme rundt i byen.",2,"Det skal ikke være dyrere at være Herlevborger, men vi skal undersøge alle muligheder for at nedbringe CO2-udslippet bedst muligt.",1,"Det er afgørende at Herlev Kommune i fremtiden har en stærk og bæredygtig økonomi.  Det forudsætter at nye borgere kommer til og bidrager til kommunekassen.  Den udvikling er afgørende for byens fremtid - men det skal selvfølgelig ske med respekt for grønne områder, som vi heldigvis fortsat har mange af.",3,,1,,1,,1,,3,,1,,3,"Herlev Kommune er heldigvis en del af nationale forsøg om statsfinansieret skolemad. Erfaringer herfra skal forhåbentlig fortælle, om gratis madordninger skal indføres.",3,,2,,3,,1,,1,,1,"Kommuneskatten i Herlev Kommune er blandt landets laveste. En lav kommuneskat er vigtig. Særligt for dem med de laveste indkomster. Alting bliver dyrere og det er derfor vigtigt, at vi fastholder trygheden om lav skat og høj service.  Men en yderligere sænkelse af kommuneskatten er på nuværende tidspunkt ikke nødvendig.",3,,3,,1,,"Trafik, Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn, Skat","Man skal stemme på mig, hvis man ønsker en stemme på en stærk folkeskole, en solid økonomi, og en kommune, hvor skaber muligheder for vores børn- og unge, og samtidig passer godt på vores ældre.","Vi skal sikre en stærk økonomi, så vi kan fastholde tryghed om velfærd og lav skat. Alting bliver dyrere, så den lave kommuneskat gavner alle, ikke mindst pensionister, studerende og andre med lave indtægter. Det skal ikke være dyrere at være Herlevborger. Alle børn fortjener muligheden for et liv med uddannelse og job. Det begynder med en stærk folkeskole med fællesskab og faglighed. Fra min skoletid i Herlev ved jeg, hvordan stærke fællesskaber og engagerede lærere kan give alle en chance i livet.Uanset om man er ung på vej til studiet, travl forælder på vej til job eller senior på vej til foreningsliv, skal det være nemt at tage bussen til og fra Bymidten, stationen og Herlevs mange aktiviteter. Køreplaner skal passe til borgernes behov."
8929,Michele Møller Amundsen,172,True,34,A,Enlig,1,2730 Herlev,Ejendomsmægler MDE,2,,3,,4,,4,,2,,4,,3,,3,,2,,2,,2,,3,,1,,1,,3,,3,,3,,4,,4,,0,,3,,3,,1,,1,,3,,,,,,"Miljø og klima, Kultur,  idræt og fritid, Skole/dagtilbud for børn, Skat, Beredskab og sikkerhed","Jeg har Herlev i hjertet - og jeg vil Herlev det bedste. Som mor, lokal ildsjæl og erfaren politiker vil jeg fortsætte med at arbejde for et Herlev, hvor det er trygt.","Et godt børneliv - lige fra starten - Som småbørnsmor og politiker ved jeg, hvor afgørende de første år er. Derfor kæmper jeg for bedre normeringer, flere pædagoger og trygge, udviklende dagtilbud. Vores børn fortjener den bedste start på livet.  En folkeskole med plads til alle - Herlevs skoler skal være steder, hvor børn trives, lærer og bliver mødt med både ambitioner og omsorg. Vi skal styrke det faglige løft, støtte op om lærerne og sikre at alle børn - uanset baggrund - får de samme gode muligheder. Stærkt Kultur- idræts- og fritidsliv - Fællesskab er fundamentet i Herlev. Jeg vil fortsætte arbejdet med at styrke vores lokale foreninger, sportsklubber og kulturtilbud - for børn, unge, voksne og ældre. Et aktivt fritidsliv skaber livskvalitet og sammenhold."
8923,Lars Mann Pedersen,136,True,64,A,Gift,0,2730 Herlev,Ejendomsleder,3,,4,,2,,4,,0,,4,,2,,1,,2,,3,,1,,3,,0,,3,,1,,4,,3,,3,,1,,0,,1,,3,,0,,0,,4,,3,,2,,"Trafik, Miljø og klima, Ældre, Skole/dagtilbud for børn","Det er vigtigt for mig, at Herlev kommune både udvikler sig og fremstår som en veldreven og økonomisk velfunderet kommune.Der skal satses på gode rammer for fællesskab for borgerne.","Som kommunalbestyrelsesmedlem gennem flere perioder, har jeg et godt indblik i kommunens drift og arbejdet i de politiske udvalg.For mig er det vigtigt, at man som kommunalbestyrelsesmedlem både kan se på enkelthederne i beslutningerne og se de overordnede og vigtige linjer for udviklingen.Det kan være nødvendigt at gå på kompromis på deltaljerne, for at skabe de gode overordnede resultater.Jeg bringer både en livserfaring og lang kommunalpolitisk erfaring med ind i arbejdet i kommunalbestyrelsen."
121219516,Marie Topp,144,True,45,A,Gift,3,2730 Herlev,Chefkonsulent,3,,4,,4,,3,,1,Der er allerede vedtaget planer for et stort plejehjemsbyggeri.,4,Det er netop vedtaget at tilføre midler til skoleområdet fra 2026.,4,,2,,3,,3,,3,,2,,1,,1,,1,,3,,2,,3,,3,,1,,3,"Det er vigtigt at klassekvotienten ikke er for høj, men det er der allerede fokus på.",3,,1,,0,,3,,3,,1,,"Kultur,  idræt og fritid, Sundhed, Skole/dagtilbud for børn","Jeg vil arbejde for stærke fællesskaber og gøre din og min by til et endnu bedre sted at bo og leve - og er særligt optaget af arbejdet med børn, unge, trivsel, idræt og sundhed.","Jeg elsker at bo i Herlev! - og vil virkelig gerne bruge min viden og kompetencer til at gøre din og min by til et endnu bedre sted at bo og leve.Jeg vil særligt arbejde for, at:- Folkeskolen skal være førstevalget - fordi dér lærer vi bedst af hinandens forskelligheder.- Hverdagen skal være præget af mere leg og bevægelse, og mindre digitale stimuli - fordi vi skal tage børn og unges trivsel og sundhed alvorligt.- Børne og unge, der ikke er en del af gode og forpligtende fællesskaber, skal hjælpes ind i dem - fordi ansvar og empati udvikles i samspillet med andre. Mit blik er rettet mod børn og unge, men jeg har ambitioner for ansvarlig udvikling af hele vores by. Det vil du mærke, hvis jeg bliver valgt ind. Stem personligt - for børn og unge, og for hele Herlev."
8933,Peter Nielsen,130,True,61,A,Gift,2,2730 Herlev,Leder i  Skattestyrelsen,2,,4,,2,,3,,2,,2,,3,,2,,3,,2,,3,,2,,1,,1,,0,,3,,3,,2,,2,,2,,2,,2,,2,,1,,4,,3,,2,,"Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn, Erhverv/administration",Følgende 3 fokusområder optager mig meget:Børne- ungeområdet incl. skole/dagtilbudsområdetFritid- og idrætsområdetÆldreområdetØkonomi og byudvikling.,"Jeg har tidligere siddet 20 år i Herlev Kommunalbestyrelse.   (2001 - 2021)Jeg har altid været  nysgerrig og aktiv deltager i de tilbud, som Herlev kommune har i sin udbudsvifte til byens borgere.   Herlev er en by med stærke fællesskaber. Mine politiske fokusområder er hele børne-ungeområdet (inklusiv skole- og dagtilbudsområdet), ældreområdet, fritids- og idrætsområdet og Herlev kommunes økonomi/byudvikling. For at sikre de bedste rammer for alle Herlevs borgere på disse områder, vil jeg arbejde ud fra, at Herlev også fremover, skal stå på en stærk økonomi - godt kombineret med en velovervejet byudvikling. Dette et er vigtigt, hvis vi også frem over skal opretholde en høj kvalitet på alle Herlev kommunes velfærdsområder.Vi skal  også sikre byens grønne områder, og udvikle disse områder.  Erhvervslivet skal også have en central plads når/hvis der  træffes politiske beslutning om, at opgaver skal udbydes til private virksomheder."
8937,Stefan Bruun Rasmussen,37,False,56,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8924,Bo Carle Zabel,97,False,75,A,Samboende men ikke gift,2,2730 Herlev,Frivillig pensionist,3,,4,,3,,4,,0,,3,,3,,2,,3,,2,,2,,2,,1,,3,,1,,3,,2,,3,,4,,2,,2,,3,,0,,0,,3,,4,,2,,"Trafik, Miljø og klima, Ældre",Kæmpe erfaring følger med efter ca . 30 år i kommunalbestyrelsen,På grund af min erfaring og kærlighed til Herlev
121219518,Noah Osman,117,False,38,A,Enlig,0,2730 Herlev,Socialrådgiver,0,,4,,4,,3,,0,,4,,3,,0,,2,Begge dele er vigtige.,0,,4,,3,,2,,1,,0,,2,,0,,3,,0,,2,,4,,3,,0,,0,,3,,3,,0,,"Miljø og klima, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg er optaget af miljø, sundhed og social retfærdighed.","Jeg har særligt fokus på velfærden for børn og unge, da de er Herlevs fremtid. Herudover er jeg optaget af boligområdet, de socialt udsatte og indretningen af vores by.Jeg vil arbejde for:- At kommunen har særligt fokus på at tage sig godtaf vores udsatte børn og unge.- At sygemeldte borgere får en ordentlig og værdigsagsbehandling.- At Herlev bliver en grønnere og mere indbydendeby.- At vores ældre sikres værdige forhold.- At skatten forbliver lav"
