id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,themes,short,long
3574,Merete Amdisen,,,53,A,Gift,3,2635 Ishøj,Borgmester,4,"Attraktive faciliteter for idrætslivet og plads til både brede og eliteidræt er en mærkesag for mig. Mange flere børn og unge skal være en del af et aktivt fællesskab, og idrætsaktiviteter er med til at samle os som mennesker.Forud for udarbejdelsen har der været et omfattende arbejde med inddragelse af de mange aktører i området ved idrætscenteret. Det er det arbejde, der ligger til grund for den helhedsplan byrådet har godkendt, og som der nu arbejdes videre med",4,Den helhedsplan byrådet har vedtaget for Idrætsområdet har en fin balance mellem breddeidrætten og behovet for stadionfaciliteter.Der er også truffet beslutning om at udvikle idrætsområdet i Ishøj Landsby,3,"Der er i de sidste fire år gennemsnitligt blevet tilført ældreområdet 10,4 mio om året, for at vi kan følge med væksten i antallet af ældre, der har behov for kommunens hjælp. Vi skal tildele midler til ældreområdet i takt med, at der kommer flere af dem, men ikke på bekostning af børn og unge.",4,"Integration af nytilflyttede borgere fra andre lande er en forudsætning for at vi ikke gentager fortidens fejl. Gode danskkundskaber, viden om lokalsamfundet og en stærk tilknytning til arbejdsmarkedet er afgørende faktorer i en vellykket integration. Det mener jeg, at  kommunen skal bidrage til at realisere. Det vil give os en gevinst både menneskeligt og økonomisk.",2,"Ishøj kommunes muligheder for byudvikling er begrænset, hvis vi i fremtiden skal sikre skatteindtægter, der kan understøtte stigningen i antallet af ældre, mener jeg vi er nødt til at udvikle mindre områder med nye boliger. Det skal ske i respekt for den omkringliggende bebyggelse og natur, og kan både være i form af nye mindre arealer eller i form af fortætning i de eksisterende byrum.",1,"Jeg mener et friplejehjem kan være et godt supplement til det kommunale plejehjem, men jeg mener ikke det er kommunens opgave at arbejde for etablering af et privat drevet plejehjem.",1,"Ishøj kommune ejer ikke et areal, der er egnet til en genbrugsstation. Vi har et fint samarbejde med Vallensbæk og Brøndby Kommune om den fælles genbrugsstation",0,Der er i forvejen en oplevelse af for få p-pladser i kommunen. Derfor skal der ikke reduceres i p-pladser for ikke eldrevne biler.,3,"Jeg er tilhænger af, at vi skal tage det sunde valg, når vi bevæger os rundt i kommunen. Ved at udbygge det i forvejen eksisterende stisystem og skabe mere logiske forbindelser, der gør det trygt at cykle eller gå, inviterer vi i højere grad borgerne til at lade bilen stå og vælge cyklen.",3,Begrænsningen af CO2 er afgørende for fremtidens generationer - som kommune bør vi gå forrest i den grønne omstilling.,3,"Vi skal have øje for kvaliteten af naturen omkring os. En nænsom by-og erhvervsudvikling skal gå hånd i hånd med mere kvalitet i den natur, der omgiver os.Vi skal i langt højere grad fokusere på skovrejsning, sammenhængende naturområder og beskyttelse af vores grundvand. I dag er 70% af kommunens arealer grønne områder, men det er begrænset hvor meget glæde borgerne har af disse, da mange af arealerne er intensivt dyrkede marker, som er dårlige for biodiversitet og miljøet generelt.Jeg mener ikke at en beskyttelse af naturen behøver være i modstrid med byudvikling.",3,"Kultur og idrætslivet bringer os sammen på tværs af alder, køn og kulturel baggrund. Foreningslivet bidrager til demokratisk dannelse og styrker den enkeltes vilje og evne til at indgå i udviklende fællesskaber.Idrætslivet bidrager til sundhed - både for krop og sjæl.",0,"Kunst og kultur er vigtige for et samfund, kunst og kultur birdager til debat og fremmer kritisk sans, derfor synes jeg at det er vigtigt for vores demokratiske dannelse.Kunst og kultur bidrager også til fællesskab.",1,"Når vi ansætter medarbejdere i kommunen ser vi på deres kvalifikationer ikke deres nationale tilhørsforhold. Der er flere kommunale funktioner, der forudsætter at medarbejderen behersker dansk for at udfylde jobbet.",1,"Jeg mener ikke vi bruger for mange penge, men jeg anerkender, at udgifterne er høje. Derfor bør vi prioritere indsatser der virker forebyggende for borgere i socialt udsatte positioner.",4,"Jeg oplever at vi har en velfungerende ældrepleje, og med omlægningen til borgernære teams, så tror jeg den bliver endnu bedre. Vi skal selvfølgelig altid være opmærksomme på, hvor noget kan gøres bedre og være klar til at ændre og forbedre ældreplejen løbende.",3,"Vi skal hele tiden sikre, at vi bruger borgernes penge mest effektivt. For mig er svaret IKKE at medarbejderne skal løbe hurtigere.Men fremtiden bringer nye velfærdsteknologiske løsninger på markedet og nye organiseringer af medarbejderne giver en mere helhedsorienteret tilgang til plejen. Det vil alt sammen bidrage til en mere effektiv opgaveløsning.",1,"Jeg synes gratis mad i skoler og dagtilbud er en fremragende ide, men jeg ønsker ikke at lave besparelser for i omegnen af 20-25 mio kroner for at indføre gratis mad i dagtilbud og folkeskolerne. Kom der en kæmpe check fra staten og betalte hele beløbet ville jeg straks sige ja tak, men Indtil da, vil jeg foretrække den nuværende model, hvor det er muligt for alle elever at købe et sundt måltid på deres skole, og forældrene i børnehaverne betaler et fast beløb for frokostordningen.",4,"Af sundhedshensyn mener jeg ikke der bør ryges på kommunale arealer. Det bidrager også til at undgå at flere børn og unge bliver rygere,  når voksne er gode rollemodeller.",1,"Vi har allerede gode åbningstider, og har i øvrigt heller ikke lukkeuger, som man ser i andre kommuner.",1,Ishøj kommune har allerede lave klassestørrelser.,3,"Det er vigtigt at tiltrække flere arbejdspladser, men det vanskeliggøres lige nu af, at vi ikke har ledige erhvervsarealer.",1,"Det er ikke min opfattelse, at vi har overflødige medarbejdere i Ishøj kommune.",0,"At sænke kommuneskatte vil være at gamble med kommunens fremtid. Regeringen har igangsat et arbejde med en ny udligningsreform. Knap halvdelen af kommunes indtægter kommer fra tilskud og udligning. Falder vores fremtidige udligningsbidrag, så kommer vi til at mangle penge til den velfærd vi har i dag, og der er ikke nogen garanti for, at vi kan hæve skatten igen og få fuldt udbytte af det.",4,,4,"Strandparken er et fantastisk kystbeskyttelsesprojekt, og når digerne bliver forhøjet, kan vi være trygge ved voldsomme vejr hændelser i fremtiden.","Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Sundhed, Skat","For fire år siden blev jeg valgt som din borgmester. Hvis du synes jeg har passet godt på Ishøj, så håber jeg, at du vil give mig din stemme den 18. november.Jeg","En stemme på mig er en stemme på:Økonomisk ansvarlighedBredt politisk samarbejde til gavn for IshøjEt menneske med hjertet på rette sted, som vil arbejde solen sort for Ishøj kommune og alle os der bor her.En borgmester med et stærkt netværk og gode samarbejdsrelationer både til politikerne på Christiansborg, i regionen og i kommunerne omkring os. Ishøj kan ikke stå alene, vi er afhængige af beslutninger, der træffes af andre, og her er det helt nødvendigt at have en borgmester, der kan tale Ishøjs sag, og påvirke beslutningerne inden det er for sent."
55025,Kasper Bjering Søby Jensen,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121219583,Kathrine Bley Amdisen,,,25,A,Samboende men ikke gift,0,2635 Ishøj,Studerende,4,"Udvikling af idrætscenteret ville betyde at flere børn og unge kan være en del af idrætslivet, hvilket er vigtigt for både den fysiske og mentale sundhed.",3,"Stadion skal være tilgængeligt for alle idrætsudøvere, og kan blive en god ramme omkring fællesskab.",3,"Der skal overføres flere midler i takt med, at den ældre befolkning stiger.",3,"En god integration er en investering i fremtiden. Når flere får uddannelse og arbejde, styrker det hele vores velfærdssamfund.",2,"Måske mere både og. Når vi by udvikler skal vi se på både prisen og kvaliteten, så priserne for beboelse ikke stiger drastisk og kvaliteten falder.",2,"Det er et fornuftigt alternativ, men private virksomhedder skal ikke understøttes af kommunen.",1,"Ishøj kommune ejer ikke nogle grunde, der egner sig til en genbrugsstation. Kommunen har et fint samarbejde med Vallensbæk og Brøndby kommune om en fælles genbrugstation.",0,"Elbiler er vigtige for den grønne omstilling, men løsningen er flere ladepladser, ikke færre parkeringsmuligheder.",3,Sikre forhold for fodgængere og cyklister gør hverdagen tryggere. Det styrker også både den grønne omstilling og folkesundheden.,3,Kommunen har et ansvar for at gå forrest i klimakampen. Selv små skridt lokalt bidrager til en global forskel - og gør Ishøj til et bedre sted at bo.,3,"Byudvikling i kommunen behøver ikke stå i modsætning til naturen. Vi skal tænke bæredygtigt, så nye projekter ikke sker på bekostning af grønne områder. Tværtimod bør vi satse på skovrejsning og styrket biodiversitet, så vi sikrer ren luft, flere rekreative områder og et rigere dyre- og planteliv. På den måde kan vi kombinere udvikling med respekt for miljøet.",3,"Kultur- og fritidstilbud er en investering i vores børn og unges trivsel. De giver fællesskab, forebygger ensomhed og holder unge væk fra kriminalitet. Det giver også børn og unge bedre muligheder og skaber stærkere fællesskaber. Det er penge, der kommer hele lokalsamfundet til gavn.",1,"Kunst og kultur skaber liv i kommunen, tiltrækker folk udefra.",1,Det handler om kvaliteten og ikke deres nationalitet.,2,"Det er vigtigt at støtte socialt udsatte borgere, men det afgørende er, at pengene bruges effektivt og giver reel hjælp til dem, der har brug for det.",4,,3,"God ældrepleje i Ishøj handler om, at vores ældre føler sig trygge, set og værdsat. Vi kan styrke kvaliteten ved at sikre nærvær i hverdagen og fastholde de tætte relationer mellem borgere, pårørende og lokalsamfund - uden at det nødvendigvis kræver flere penge.",1,"Der er allerede madordninger som forældrene selv betaler til, det ville være en dyr beslutning, hvis der ikke følger statslige penge med.",4,"Flere røgfrie zoner styrker folkesundheden og sender et vigtigt signal. Når voksne er gode rollemodeller, mindsker vi risikoen for, at børn og unge begynder at ryge.",2,Det vigtigste er kvaliteten i pasningen. Åbningstiderne er allerede tilpasset de fleste familiers hverdag i Ishøj.,1,Ishøj kommunes klassestørrelser er passende.,2,"Kommunen har ikke erhvervsgrunde til private virksomheder, så mulighederne er begrænsede. Men flere private arbejdspladser ville være godt, fordi det styrker både beskæftigelse og lokalsamfund.",1,"Alle i kommunen har en arbejdsopgave, og der er ikke for mange om hver opgave.",0,"En stor del af kommunens indtægter kommer fra tilskud og udligning. Hvis disse midler falder i fremtiden, risikerer vi at mangle penge til den velfærd, vi har i dag. Der er ingen garanti for, at vi kan hæve skatten igen, og derfor er det uansvarligt at sænke den nu.",4,,4,,"Miljø og klima, Kultur,  idræt og fritid, Sundhed, Skole/dagtilbud for børn, Skat","Ved at stemme på mig, stemmer du på fremtiden.Jeg kender Ishøj indefra. Jeg vil sikre, at alle bliver hørt og jeg vil kæmpe for at skabe et bedre by image.","Jeg er vokset op i Ishøj - her har jeg mine rødder, og her har jeg oplevet, hvor stærke fællesskaber kan være. Jeg vil arbejde for stærke foreninger, trygge skoler og levende nabolag, så vi fortsat kan være stolte af at bo i Ishøj.Jeg har lagt øre til mange politiske diskussioner i mit barndomshjem. Det har lært mig, at unges synspunkter er vigtige når byrådet skal træffe beslutninger - Det er jo os, der skal leve med konsekvenserne i fremtiden.Regeringens parallelsamfundsliste skader vores image som by. Jeg vil arbejde for, at Ishøj bliver løftet væk fra listen gennem konkrete insatser, der sætter fokus på alt det gode, vi allerede har.Vi skal ikke defineres af en liste - men af styrken i vores fællesskab."
6649317,Thomas Hjorth Rasmussen,,,51,A,I parforhold men ikke samboende,0,2635 Ishøj,IT-Arkitekt,3,Fordi det var nødvendigt at sikre breddeidrætten bedre forhold. Vi har masser af unge som må tage til nabokommunerne for at dyrke idræt. Det holder ikke.,3,Et stadion skal i høj grad bruges af andre end eliteklubben. For mig er det væsentlige at understøtte breddeidrætten. At en professionel klub kan leje sig ind er fint.,3,Ja antallet af ældre stiger støt - og godt for det. Derfor skal vi prioritere flere penge til området så vi kan bevare et ordentligt serviceniveau.,3,Vi skal sikre god integration for de der vælger at bosætte sig her i kommunen.  Det er vigtigt at alle hurtigt føler man bidrager til vores fællesskab.,1,"Udviklingen skal generelt set ske med forsigtighed.Vores landsbyer skal bevare deres landsbypræg. Derfor skal vi være varsomme med udviklingen her. I bykernen (ment som øst for motorvejene) er der fortsat enkelte muligheder for at erstatte industri mv.  med boliger, men her skal vi passe på at bevare de grønne områder.",2,"Pleje og omsorg er først og fremmest er et kommunalt ansvar, hvor kvalitet og tryghed sikres for alle. Private alternativer kan være et supplement, hvis de lever op til samme krav til faglighed, arbejdsvilkår og økonomisk gennemsigtighed. Vigtigst er, at borgerne får den bedst mulige pleje, og at tilbuddene ikke udhuler den fælles, solidariske velfærdsmodel.Hvis nogen aktører vil etablere et sådant under de betingelser er de velkomne.",3,"Vi skal sikre at borgerne har mulighed for at komme af med storskrald uden unødigt besvær.  Det betyder at lokale genbrugsstationer i vores boligområder skal understøttes. Netop her bor mange som ikke råder over en bil. Hertil skal vi i samarbejde med øvrige kommuner forbedre storskraldsordningen til haveboligerne. Den ordning giver mulighed for at kunne komme af med storskrald hvis man ikke har bi.For de der har bil vil en en kommunal genbrugsstation i et industriområde kunne spare nogle få kilometer i biltransport. Men den gevinst står ikke mål med omkostningen til etableringen af en sådan - de omkostninger skal jo faktureres direkte videre på skattebilletten. Så enig i spørgsmålet på den måde ment, at der skal flere lokale genbrugsstationer.",0,Nej det er der ingen grund til.  Det er vel nok at ladepladserne i et eller andet omfang reserveres.,3,"Vi skal støtte de sunde transportformer, og langt hovedparten af vores ture i Ishøj er korte.",2,Vi er rigtig godt på vej med CO2-reduktionerne.,4,Vores grønne områder skaber en værdi der ikke kan opgøres i penge.  Når først de fjernes er de tabt.,3,,2,,2,"Grundlæggende skal vi se på kvalifikationer snarere end nationalitet. Når vi oplever mangel på hænder, skal vi selvfølgelig også være åbne for at rekruttere dygtige udenlandske medarbejdere som taler dansk og som kan begå sig i den danske kultur. Kvalificerede medarbejdere er en forudsætning for at opretholde kvaliteten i velfærden og sikre ordentlig omsorg for ældre og syge.",1,"Hjælp til udsatte borgere skaber tryghed, forebygger problemer og giver flere mulighed for at bidrage positivt til samfundet. Kommunen skal derfor fortsætte med at tage ansvar for social retfærdighed og give støtte dér, hvor behovet er størst.",3,,3,Jeg er sikker på der er et potentiale i smartere løsninger,2,"Gratis madordning i skoler og daginstitutioner vil kræve store besparelser på andre velfærdsområder. Derfor skal vi være sikre på at det faktisk har en effekt på børnenes trivsel.  Så selvom jeg umiddelbart tænker det er en god ide, har vi brug for at effekten dokumenteres.",2,"Jeg oplever det ikke som et problem, og har heller ikke fået henvendelser på det.",1,Som jeg forstår det har vi gode åbningstider allerede.,2,,2,,2,,1,"Med udsigt til at Ishøj rammes hårdt i udligningsreformen, og at den historisk lave arbejdsløshed før eller siden stiger, vil det være uansvarligt.  Særligt fordi lovgivningen gør det svært at lade den stige igen. Derfor kan vi lynhurtigt blive tvunget til massive besparelser på velfærden hvis noget af ovennævnte rammer. Vi skal kort sagt have mere at stå i mod med, før vi kaster os ud i den slags.",3,,3,"Strandparken har bevist at den kan beskytte os, og med den planlagte forhøjelse af digerne kan vi være trygge.","Trafik, Miljø og klima, Ældre, Sundhed, Beredskab og sikkerhed",Du skal stemme på mig hvis du ønsker et grønnere Ishøj hvor vi står sammen og løfter i flok.,"Jeg var så heldig at blive valgt til byrådet i 2021. Det var på løfter om at ville arbejde hårdt for et grønnere og bedre Ishøj. Vi er kommet langt, men der er fortsat meget at gøre - her er 3 mærkesager:Velfærd og fællesskaber. Alle har ret til et trygt og værdigt liv - fra vuggestue til plejehjem. Vi skal investere i velfærd tæt på borgerne og bakke op om de fællesskaber og frivillige kræfter, der gør Ishøj stærkere.Miljøet fortjener bedreNår miljøet lider, mister vi noget dyrebart. Fiskene er væk, og det rene drikkevand forsvinder. Vi skylder fremtiden at passe på det, vi har. Tiden er til at beskytte og genoprette. Vi skal handle nu!Grønne oplevelserNaturen gør os godt - den giver ro, glæde og nærvær. Vi skal skabe et grønnere Ishøj med mere natur og mere skov. Et Ishøj, hvor flere børn er aktive i naturen, og hvor de lærer at passe på den."
121219578,Helle Schaldemose Bagger,,,48,A,Samboende men ikke gift,3,2635 Ishøj,Skolelærer,2,,2,"Jeg mener man bør prioritere bredde idræt, så det er muligt for flere at have let adgang til idræt og sociale fællesskaber",3,,3,,2,Jeg synes man bør prioritere begge dele.,3,,2,,3,,2,,3,,3,,3,,1,,2,,1,,3,,3,,3,,3,,2,,3,,3,,2,,2,,3,,3,,"Miljø og klima, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn","Man bør stemme på mig fordi jeg er en engageret borger med hjertet på rette sted. Jeg har erfaring fra ældreplejen, administration og skolevæsenet. Derfor har jeg meget at byde ind med.","Man bør stemme på mig fordi jeg er en engageret borger, og mor til 3børn, med hjertet på rette sted. Jeg har erfaring fra ældreplejen, da jeg har arbejdet i 15 år som fysioterapeut i en kommune. Min erfaring er at plejen bør have bedre arbejdsvilkår. Derudover har jeg været visitator i to kommuner. Jeg har derved siddet med administrative opgaver som visitering af hjemmehjælp, plejeboliger mm. Den erfaring har vist mig indefra at vi har et tungt system. Dette ønsker jeg at gøre op med. Der bør arbejdes med at man har mulighed for at arbejde mere fleksibelt indenfor serviceniveauet ,pålagt af politikerne. Min erfaring som ny skolelærer har desuden vist mig hvad inklusionspolitik kan gøre ved en skoleklasse, lærere og forældre.  Blandt andet som følge heraf mener jeg at jeg har meget relevant erfaring at byde ind med."
3584,Erkan Yapici,,,45,A,Gift,3,2635 Ishøj,Leder i det offentlige,3,,2,,3,,3,,3,,1,,1,,1,,1,,3,,3,,1,,1,,1,,3,,3,,3,,3,,3,,1,,1,,3,,1,,1,,3,,3,,"Social- og integrationsområdet, Ældre, Sundhed","Jeg brænder for at sikre en værdig ældrepleje, ordentlige vilkår for vores medarbejdere og en kommune, hvor tryghed og fællesskab går hånd i hånd.","Jeg stiller op til kommunalvalget, fordi jeg brænder for at udvikle vores velfærd med mennesker i centrum. I denne periode har jeg som formand for Social- og Sundhedsudvalget været med til at sætte retningen for et område, der betyder enormt meget for os alle - vores ældre, vores medarbejdere og de fællesskaber, vi bygger sammen.De kommende år bliver afgørende, ikke mindst fordi vi kigger ind i store reformer på social- og sundhedsområdet. Jeg vil arbejde for en værdig ældrepleje, hvor omsorg og tryghed går hånd i hånd, og hvor vores medarbejdere har de rammer, de fortjener for at kunne levere den bedst mulige indsats.Mit mål er et Ishøj, hvor fællesskabet står stærkt, og hvor ingen borgere føler sig overset. Hvis du deler den ambition, håber jeg, du vil støtte mig - og sætte dit personlige X ved mit navn den 18. november 2025."
121219585,Ronnie Efland,,,53,A,Gift,3,2635 Ishøj,Stilladsarbejder,4,,3,,3,,4,,3,,0,,2,,2,,3,,3,,4,,4,,1,,2,,1,,2,,1,,1,,2,,1,,3,,1,,1,,0,,3,,2,,"Kultur,  idræt og fritid, Ældre, Skole/dagtilbud for børn",Jeg vil arbejde for de unge mennesker der har svært ved at komme videre efter folkeskolen.Jeg vil styrke foreningslivet og dermed fællesskabet.Jeg vil arbejde for hurtigere hjemmepleje til ældre.,"Der er desværre for mange unge, der føler sig fastlåste i systemet og har svært ved at finde deres plads i samfundet. Mange har brug for støtte og måske et skub i den rigtige retning, især i overgangen efter folkeskolen. Det ville være en god investering at hjælpe de unge så tidligt som muligt. Derfor er det også afgørende, at børn trives i den folkeskole, de går i.Foreningslivet her i Ishøj er noget, vi kan være stolte af. Det er her, vi virkelig kan mærke fællesskabet.Her kan folk i alle aldre mødes med forskellige baggrunde og kulturer. Det er fællesskab i sin reneste form. Jeg ønsker at arbejde for at styrke foreningslivet og udvide mulighederne, så især børn og unge får chancerne for at blive en del af sådanne fællesskaber.Vi bliver alle ældre - forhåbentlig.Når vi begynder at mærke, at vores kræfter ikke længere rækker til hverdagen, og vi indser, at vi har brug for hjælpemidler eller anden støtte, er det afgørende, at hjælpen er let tilgængelig."
3576,Henrik Olsen,,,62,A,I parforhold men ikke samboende,1,2635 Ishøj,Servicefunktionær Politiet,4,,3,,3,,1,,4,,1,,1,,4,,4,,4,,3,,3,,0,,3,,1,,3,,4,,1,,4,,1,,3,,3,,1,,0,,4,,4,,"Trafik, Miljø og klima, Kultur,  idræt og fritid, Ældre, Beredskab og sikkerhed",Billigere kollektiv trafik . Nedsættelse af hastigheden på udvalgte veje ( trafikchikaner )Mere Grøn udvikling ved nybyggeri.,Man bør stemme på Henrik Olsen FORDI jeg er erfaren med 27 år i Byrådet .. Jeg er hårdt arbejdende for Ishøjs Borger .. Ishøj skal fortsat være en god by at blive gammel i . Jeg vil arbejde for at tiltrække flere Virksomheder til Ishøj ... Ishøj skal være en trafiksikker Kommune .. Jeg vil prøve at arbejde for billigere kollektiv trafik .
55029,Jørn Højmark,,,75,A,Samboende men ikke gift,2,2635 Ishøj,Personalevelfærd,3,,3,,3,,2,,3,,2,,0,,2,,3,,2,,1,,2,Kommunen har mange tilbud i forvejen,1,,3,,1,,3,,2,,3,,3,,2,,2,,4,,2,,0,,3,,4,,"Trafik, Miljø og klima, Kultur,  idræt og fritid, Ældre, Erhverv/administration",Ishøj er en fantastisk kommune og de fleste er meget glad for at bo her. Jeg vil fortsætte den linje tidligere byråd har lagt helt tilbage til borgmester Per Madsen tid i halvfjerdserne,Jeg engagerer mig i tykt og tyndt og taler med så mange borgere som muligt som jeg møder på min vej. Derfor ved jeg også hvor glade borgerne er for at bo i kommunen
6649310,Aase Bagger,,,56,A,Samboende men ikke gift,2,2635 Ishøj,Logistikansvarlig,4,"Det er en god idé med en samlet plan for området med nyt stadion, 225 boliger, nye idrætsfaciliteter og byrum. Det skaber udvikling, fællesskab og nye muligheder for både nuværende og kommende borgere i Ishøj.",3,"Der er vedtaget en helhedsplan for kultur- og fritidsområdet i bykernen, og den skal følges. Det sikrer, at vi arbejder målrettet og skaber de bedste rammer for fællesskab og aktiviteter i Ishøj.",3,"Det skal fortsat være en prioritet at tage hånd om de ældre i Ishøj. Sammen med Seniorrådet skal vi se på, hvordan vi kan styrke området og skabe bedre løsninger - uden nødvendigvis at bruge flere penge.",2,"Integration er vigtigt, men det må ikke ske på bekostning af andre velfærdsområder. Når vi investerer i integration, styrker vi fællesskabet og giver flere mulighed for at bidrage - til gavn for hele Ishøj på lang sigt",4,"Ishøj består af flere områder, og vi må ikke glemme dem uden for bykernen. Hele kommunen skal have opmærksomhed og udvikling - så alle borgere oplever, at de er en vigtig del af fællesskabet",0,"Ishøj har gode plejehjem, og vi har ikke brug for et friplejehjem. Vi skal fortsat styrke vores egne tilbud, så alle ældre får tryg og værdig omsorg i fællesskabets rammer.",2,"Ishøj har brug for en ny genbrugsstation, men det vigtigste er at finde den helt rigtige placering. Vi skal sikre, at løsningen fungerer for alle borgere og tager hensyn til både miljø og nærmiljø.",0,"En kommune skal ikke vælge én biltype frem for en anden. Elbiler har gode lademuligheder, men mange kører stadig på fossile brændstoffer. Vi skal sikre plads til begge dele og tage hensyn til alle borgere i bybilledet.",3,"Vi skal have flere til at vælge cyklen eller gåturen frem for bilen. Det giver sundere borgere, mindre trængsel og et grønnere Ishøj - til glæde for både fællesskabet og miljøet.",1,"Ishøj kan ikke redde verden alene - men vi skal tage ansvar. Klimahandling må dog ikke gøre det dyrere at bo her. Vi skal finde løsninger, der både beskytter miljøet og sikrer en tryg og rimelig hverdag for alle.",2,"Vi har brug for både nyt byggeri og mere natur i Ishøj. Det ene må ikke udelukke det andet. Med omtanke og fællesskab kan vi udvikle byen, så der er plads til både nye hjem og grønne områder for alle.",4,"Alle børn og unge fortjener adgang til fællesskaber, bevægelse og kreativitet. Kultur- og fritidstilbud styrker trivsel, sammenhold og muligheder - uanset baggrund. Det er investering i fremtiden og i hinanden.",1,"Kunst og kultur er ikke luksus - det er livskvalitet. I Ishøj investerer vi det, der skal til, for at sikre gode oplevelser og fællesskaber for alle. Det er en vigtig del af et stærkt lokalsamfund.",3,"Vi har brug for al arbejdskraft til de ubesatte stillinger - uanset hvor folk kommer fra. Men det er vigtigt, at alle lærer dansk, så de kan blive en del af fællesskabet og bidrage bedst muligt til Ishøj.",0,"Socialt udsatte har brug for hjælp. Som kommune har vi et ansvar for at støtte dem, der har det sværest. Ingen skal stå alene - fællesskabet skal løfte alle, så alle får mulighed for et godt liv i Ishøj.",3,"Ældreplejen i Ishøj fungerer generelt godt - og det er vi stolte af. Men vi hviler ikke på laurbærrene. Der er altid plads til forbedring, og vi lytter til både medarbejdere og borgere for at gøre det endnu bedre.",4,"Vi er nødt til at tage den nyeste teknologi og moderne arbejdsmetoder i brug, hvis vi skal levere en markant bedre ældrepleje - uden at bruge flere penge. Det handler om at skabe mere tid, nærvær og kvalitet for vores ældre i Ishøj.",3,"Gratis madordninger i både skole og daginstitutioner er vigtige for børns trivsel og læring. Det sikrer, at alle børn får et sundt måltid hver dag - uanset baggrund. Det styrker fællesskabet og giver alle en god start på dagen.",1,"Når vi er ude på kommunale arealer, viser folk hensyn. Vi tror på, at voksne mennesker godt kan tage ansvar - uden forbud og løftede pegefingre. Fællesskab og respekt går hånd i hånd i Ishøj.",1,,2,"Der er mange børn i klasserne, og det er noget, der har ændret sig siden mine egne børn gik i skole. Jeg tror på, at vi skal lytte til lærerne - de ved, hvad der virker, og hvad der skal til for at skabe god undervisning.",4,Private arbejdspladser er vigtige for beskæftigelsen i kommunen. Derfor skal vi som kommune prioritere at skabe gode rammer for erhvervslivet - det giver flere job og styrker fællesskabet i Ishøj.,0,"Hvis vi har for mange ansatte ét sted, kan vi bruge dem dér, hvor der er mest brug for dem. Det giver bedre service til borgerne og sikrer, at alle ressourcer kommer fællesskabet til gavn i Ishøj.",0,"Skatten skal ikke sættes ned. Hvis der er overskud, er det et tegn på, at vi har overset nogen, der har brug for hjælp. Vores fællesskab skal løfte alle - ikke bare dem, der klarer sig bedst.",4,"Jeg betaler min skat i Ishøj med glæde. At vi nu har betalt gælden ud, viser god styring og ansvarlighed. Det giver tryghed - og gør det muligt at investere i fællesskabet og hjælpe dem, der har mest brug for det.",4,,"Trafik, Social- og integrationsområdet, Ældre, Sundhed, Erhverv/administration","Stem på mig - jeg kæmper for bedre parkering, grønne områder og omsorg for de svageste","Du skal stemme på mig, fordi jeg vil stå vagt om dem, der har mest brug for os. Vores ældre og svageste borgere skal mødes med omsorg, respekt og værdighed - hver dag. Det er ikke bare en opgave, det er et ansvar. Jeg arbejder også for bedre og mere tilgængelig parkering, så hverdagen bliver lettere for alle. Og jeg kæmper for et grønt og bæredygtigt Ishøj, hvor natur og fællesskab går hånd i hånd. Jeg lytter, jeg handler - og jeg tror på, at vi sammen kan skabe et stærkere og mere trygt lokalsamfund, hvor ingen bliver glemt."
