id,name,votes,elected,age,party,marital status,number of kids,postal number,occupation,a5,c5,a6,c6,a7,c7,a8,c8,a9,c9,a10,c10,a11,c11,a12,c12,a13,c13,a14,c14,a15,c15,a16,c16,a17,c17,a18,c18,a19,c19,a20,c20,a21,c21,a22,c22,a23,c23,a24,c24,a25,c25,a26,c26,a27,c27,a28,c28,a29,c29,a30,c30,themes,short,long
23537,Anette Maj Billesbølle,544,True,66,A,Samboende men ikke gift,5,2840 Holte,Politiker,1,,2,,1,,3,,1,,3,,2,,1,,3,,3,,3,,3,,1,,3,,0,,3,,3,,3,,3,,1,,3,,2,,3,,1,,3,,3,,"Miljø og klima, Social- og integrationsområdet, Ældre, Sundhed, Skole/dagtilbud for børn","Jeg vil arbejde for at velfærden for børn, unge, ældre, syge og handikappede kommer i top. Der ligger mine prioriteter primært. Tryghed, borgerinddragelse og dialog  ligger mig på sinde.","Jeg vil arbejde for:- tryg og nærværende ældrepleje på et højt fagligt niveau på plejehjem og i hjemmeplejen- trygge og skoler hvor fællesskabet er målet dvs at der skal være plads til alle . Der skal også være gode skoletilbud på det specialiserede område. Færre elever i specialklasser og skoler. To lærerordning og fagligt velkvalificerede lærere- Bedre normeringer i daginsitutioner og flere pædagoger- Vi skal bevare den grønne områder og indrette flere oaser der motiverer til fysisk aktivitet og fællesskaber- rene vandløb og søer som vi med tiden kan bade i- bæredygtige energiløsninger fx solceller og geotermi hvor det kan lade sig gøre- flere områder med højere biodiversitet fx fredede og grønne arealer og skove- flere lejeboliger så vi kan tiltrække arbejdskraft på de store velfærdsområder børn, unge, ældre og syge. - en ambitiøs folkesundheds- og sundhedsstrategi så alle borgere uanset alder kan få hjælp til at leve sundt og længe"
6649499,Alexander Baadh,92,False,36,A,Gift,2,2950 Vedbæk,Forvaltning af store byggeprojekter,0,"Kommunen ejer et væsentlig antal bygninger, der kan udnyttes til huse skoler.  Samtidigt er børnetallet for kommunen for svingene, derfor bør der ved sådanne behov tænkes i løsninger der kan flyttes, så vi som kommune er smidige i forhold til de konkrete behov uden at gå på kompromis med læringsmiljøet",3,,0,Der bliver allerede anvendt markant flere penge på ældreområdet end på børne- og skoleområdet. Derfor er det vigtigere at prioritere vi bruger de midler vi har til rådighed hensigtsmæssigt.,3,,3,"Jeg mener at der mangler en samtænkende strategi for udrulning af forsyninger til de enkelte husstande i kommunen. Der skal også udrulles adskillelse af regn- og spildevand, som skal tænkes sammen med alle andre forsyninger, hvor den enkelte husejer, skal betale for at vejen skal graves op.",2,"Jeg mener ikke at dette vil kræve besparelser i andre kommunale områder, at prioritere flere penge til sådanne foranstaltninger.",0,,1,,4,,2,,4,,2,"Lige såvel som at kommunen stiller faciliteter til rådighed, må det forventes at de foreninger der bruger dem at de også bidrager til bedre og flere tilbud til børn og unge.",2,,2,"Jeg mener at vi som samfund, skal gøre en større indsats for at uddanne udenlandsk arbejdskraft, da der allerede er en stor tiltrækning af udenlandsk arbejdskraft.",2,,3,,3,,3,Der skal være madordning på alle niveauer af børne- og skoleområdet. Dette skal dog betales på samme måde som i institutioner som en selvstændig opkrævning.  Dette vil betyde at der ikke skal prioriteres og derved spares på andre områder.,2,,3,"Hvis der er et behov for at institutioner skal have udvidet deres åbningstid, for at børnefamilier kan for deres hverdag til at hænge sammen, så skal det prioriteres, selvom det vil kræve besparelser på andre områder.",2,,2,,2,,1,"Den økonomiske udviklingen i samfundet, følger ikke med de skatteindtægter som kommunen modtager, derfor er det ikke proportionelt med service niveauet at sænke kommuneskatten. Samtidigt er der andre mekanismer, som man kan skrue på, såsom ejendomsskatter, gebyrer osv.",3,,3,,"Miljø og klima, Skole/dagtilbud for børn","Hvis du mener at det skal være:- nemmere at være børnefamilie,- kortere til alle typer af ungdomsuddannelser - nemmere at finde bolig, som ung, studerende og ældre uden at forlade sit lokaleområde.","jeg er grundlæggende optaget af:- at man skal udfordre den måde man tænker på, for at kunne udvikle vores lokalsamfund og løse samfundsopgaven, så den skaber værdi for borgere. - at man skal give borgere mere ansvar igennem fx grundejerforeninger.- at man skal træffe langsigtede beslutninger."
121218507,Alice Rudkjær,45,False,72,A,Enlig,2,3460 Birkerød,Pensionist,1,"Det er en falsk modsætning. Den nye sundhedsreform sætter netop penge af til dette, og der uddannes nye læger, som på sigt  vil give flere ressourcer",1,Somatik og psykiatri skal samles under en ledelse. En evt. gevinst heraf skal selvfølgelig bruges i psykiatrien. Det er et af formålene med sammenlægningen.,0,Netop oprettelse af de 6 nye sundhedsråd skal sikre nærhed i sundhed,0,"Vi skal gøre sundhedstilbuddene bedre, ikke gøre dem ringere for nogen. Det sørger den ny sundhedsreform for.",2,"Der vil sikkert være personale både i Hillerød og i Sorø, Men Sorø er mere centralt på Sjælland end Hillerød",1,"Det er vigtigt at patienterne ikke har for langt til akutbehandling. Men det er vigtigere at blive rigtigt behandlet, end at transporttiden er kort. Udfordringen er at få tilstrækkelig kvalificerede læger i yderområderne.",1,"Det er dyrt og behovet er ikke så stort. Jeg er tilhænger af andre former for offentlig transport f.eks. aftalte ture på bestemte tider eller bus-on-demant, hvor der bruges mindre busser. Samkørsel er også en mulighed.",1,"Alle ønsker en praktiserende læge i nærheden og det er et mål i sundhedsreformen, som der også afsættes penge til.",2,"Fordelingen af pengene i dag fungerer fint. Hvordan det kommer til at se ud med den nye sundhedsreform, må vi se på i sundhedsrådene.",0,"Sundhedstilbud er lige for alle. Hvis man har røget, skal man ikke selv betale for en lungeoperation, og hvis man er overvægtig, skal man ikke betale for behandling af en blodprop i hjerne eller hjerte.",0,"Sundhedsområdet er i store træk finansieret af det offentlige for at sikre, at alle er lige i sundhed.",0,Nej - det har jeg aldrig oplevet.,3,Ja - som en etableringsbonus - det skal regionen arbejde videre med,1,Det offentlige sygehusvæsen samarbejder med det private og henviser patienter hvor det er relevant - for at sikre overholdelse af tidsfrister,3,"Der skal ikke nedlægges sygehuse, men uddannes sundhedspersonale, så alle sygehusene kommer til at fungere optimalt",3,"Sundhedspersonalet skal kunne tale forståeligt dansk Men det er bedre at kunne få gjort rent på hospitalerne af en udlænding, som ikke helt formår dette, end ikke at få gjort rent.",2,,1,Begge dele er vigtige,2,,4,"Det har stor betydning, at vi sikrer vores grundvand nu og i fremtiden. Hvis forureningen er til fare for vores grundvand, skal den indkapsles eller fjernes.",1,"Offentlig trafik fungerer i de større byer, men transport fra yderområder til vores hospitaler er for dårlig.I Nordsjælland er dækningen for dårlig. Offentlig trafik skal være både nem at vælge og konkurrencedygtig med bilismen.  Så det er for dyrt at køre med tog og bus",3,"Hvor der er få passagerer skal der findes andre løsninger f.eks. mindre busser, Bus- on-demant, samkørsler o. lign.",4,"Har prøvet det, og jeg havde en medarbejder fra akuttelefonen i røret til at hjælpe mig, fra jeg ringede og til ambulancen var fremme.",3,"Regionen udvider hele tiden mængden af akutbiler, og placerer dem i yderområderne, så responsetiden kan opretholdes.",3,"Der er allerede sat mange penge af til psykiatrien. En ledelsessammenlægning  med somatik vil måske give en yderligere gevinst, som kan anvendes i psykiatrien. Det vil ikke være på bekostning af andre sundhedsområder.",1,Regionen gør hvad den kan for at nedbringe ventetiderne.,"Sundhedsområdet generelt, Hospitaler, Miljø og natur, Trafik, Akutberedskab","Helt uenigKommunerne kan ikke klare så stor en opgave alene, derfor bliver sundhedsrådene oprettet, hvor der er et samarbejde mellem region og kommune. At staten skulle overtage sundhedsområdet ville give endnu mere afstand mellem til borgeren",Et sundhedsvæsen tæt på borgerne.Lige adgang til sundhed.Forskning i kvindesygdomme.Grønne løsninger og grøn transport.
121219735,Søren Rye,102,False,57,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23995,Heidi Falden,134,False,49,A,Gift,6,3460 Birkerød,Lærer i gymnasiet,0,Tværtimod vi har for mange m2 skole. Vi skal i stedet bygge rækkehuse og tiltrække flere børnefamilier. Det går det ikke med klasser på under 10 børn. Det er for dyrt.,2,,2,Det er det forkerte spørgsmål. Selvfølgelig kan vi tage hånd om både børn og ældre. Ingen er for gammel til et godt liv. Vi kan godt tage os af både de små og de ældre på samme tid. Jeg har selv en far på plejehjem og ved hvor meget det betyder at der bliver taget godt hånd om ham når vi børn ikke kan være der døgnet rundt. Børnene er presset på inklusionen i børnehaver og skoler. Vi skal tage det alvorligt og huske at det aldrig må blive på bekostning af fællesskabet og læringen for alle børnene,1,Vi mangler en kommunalbestyrelse der tager ansvaret alvorligt og sikre at kommunens bygninger bliver vedligeholdt. Nu sætter konservative skatten ned men glemmer helt at sørge for taget på rude skov skole bliver lavet færdigt. Det er dybt uansvarligt,3,Vi skal sikre at der ikke kommer en kæmpe ekstra regning til de enkelte borgere.,4,Vi kan godt rykke hurtigere på spildevandsproblemet.,1,Robotstøvsugere kan være et fint supplement men rengøring skal altså stadig ordnes af mennesker. Ellers bliver det ikke gjort ordentligt,3,alle p-pladser kan bruges af elbiler...Flere ladestandere bør sættes op især i områder med mange lejligheder. Så alle kan have elbil.,3,Vi bør lave en cykelsti på Strandvejen. Det er farligt at cykle der.,3,Solceller på alle skoler og idrætsanlæg. Det har været på vej i over 4 år nu. Nu skal vi altså rykke på det og få sat de solceller op.,3,Vi er en grøn kommune. Jeg er for at bygge rækkehuse men ikke på bekostning af de grønne kiler. Vi har landzoner vi må se på i stedet.,3,Vi skal stadig dyrke det aktive børne/ungdomsliv. Børn og unge har brug for at mødes på tværs af årgange og skoler og udvikle venskaber. Det er vigtig at de mødes fysisk i en verden hvor skærme fylder meget.  Vi har mange frivillige ildsjæle som løfter idræt og kultur for børn og unge. Det skal vi støtte.,1,Vi bruger ikke mange penge på kunst og kultur. Det skulle da lige være Venstre borgmesterens portræt,2,,1,Vi har ikke mange i vores kommunen,2,,1,Ingen er for gammel til at have et godt livMålet er den gode ældrepleje på en økonomisk ansvarlig måde.,2,,2,,4,Ja det er vigtigt at tilbuddet faktisk løser et pasningsproblem. Jeg vil også arbejde for at tilkørslen til Helsingørmotorvejen mod København få en ekstra bane ved Hørsholm så rundkørslen ikke stopper til. Det er vigtigt at forældre kan komme på arbejde til tiden,3,Vi skal prioritere børnenes læring og det kræver at der er tid til det enkelte barn.  Så klasserne må ikke blive for store. Jeg er selv lærer og ved hvor meget der kræver at have store klasser.,3,Og tiltrække kæder til de tomme butikker i Nærum Holte og BirkerødEt rigt butiksliv giver tryghed og kan tiltrække børnefamilier til vores kommune,2,,1,Vi har en lav skat og vi har svært ved at få vedligeholdt kommunens bygninger og voksne nok i børnehaverne. Jeg vil hellere have velfærd end skattelettelser,1,Kommunen har ikke vedligeholdt skoler og idrætscentre løbende og det er trist. Regningen bliver kun større af at vente. Det er dårlig brug af vores penge. Taget på rude skov skole kommer til at koste mindst 500.000kr ekstra fordi vi ikke laver det nu.,1,Jeg savner en plan for oversvømmelser på kommunalt plan,"Miljø og klima, Ældre, Skole/dagtilbud for børn",Jeg vil arbejde for børn . Biodiversitet og bedre ældrepleje,Solceller på skoler og idrætsanlæg. Skolernes tildelingsmodel skal kigges efter. Vi har skoler med meget små klasser og de koster. Skoledistrikterne bør kigges efter igen. Hvorfor er der børn der har en skolevej der går over Helsingør motorvejen? Det er ikke en tryg skolevej. Jeg mener kommunen skal tage ansvar for vi har byer med liv i. Og tiltrække forretningers eller lave en afdeling af biblioteket i de tomme butikslokaler. Det giver tryghed i gadebilledet når der er liv i butikkerne. Jeg mener vi skal sikre at vores søer: Sjælsø og Birkerød sø er sunde og kan bruges til badning og lystfiskeri. Vi kunne lave en Marina ved Sjælsø med livredder og børnebasin og skabe det gode fritidsliv. Jeg vil også se gamle lokalplaner igennem så vi ikke står i vejen for børnefamiliers behov for et skur eller en tilbygning.Tove Ditlevsens torv i Birkerød. Torvet midt på Birkerød hovedgade skal da have et navn: Tove Ditlevsens Torv
3889,Thomas Les Rasmussen,258,False,57,A,Gift,4,2850 Nærum,DBU,0,,4,,2,,3,,1,,1,,0,,0,,4,,0,,4,,4,,0,,3,,0,,3,,4,,4,,4,,1,,4,,1,,1,,4,,4,,1,,"Trafik, Kultur,  idræt og fritid, Ældre, Sundhed, Skole/dagtilbud for børn",Les is more - jeg har været i Kommunalbestyrelsen i 16 år.Jeg er helt nede på jorden og altid klar til en snak og en gåtur.Stem personligt jeg er altid klar til at hjælpe dig,"1. Fodboldtræner i Rudersdal i over 25 år. Alt fra børnehold til 1. senior. Førte holdet fra serie 4 til hvor de er i dag. Har UEFA A licens trænet DBU 25 år med talenterne og er turneringschef.2.  Det er vigtigt vi sikrer vores skoler uanset om skolen er lille eller stor. Der skal flere penge på området.3. Vi skal bruge flere penge på vores foreninger. Vigtigt vi får tilskuddene op. Vi skal sikre vi får gjort, så mange som muligt aktive ung som ældre.Penge må aldrig være en grund til fravalg.4.Vi skal sikre at tilbuddet til de ældre er et ,som vi vi ville kunne se os selv i. Mad varm mad hver dag.Til til dialog og personlig rengøring.Hygiejne og mad oftere5Vi skal bevare det grønne i Rudersdal.6.Foreningslivet er vores styrke har så dyb respekt  for det stykke arbejde, som vi er mange der yder hver dag.Les is more."
54502,Erik Eugen Olsen,82,False,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121219733,Arne C. Holm,27,False,63,A,Gift,4,3460 Birkerød,Selvstændig,0,Tror ikke mangel på skoler er en udfordring i Rudersdal. Men måske sørge for at de mindre skoler har tilstrækkeligt økonomisk grundlag til at sørge for en ordentlig undervisning.,0,"Det var så få penge det drejede sig om at det er til at græde over. Men nogle partier ville gerne kunne flashe en skattelettelse på 0,01%, og pengene skal jo findes et sted!",2,Det er umuligt at sætte op på denne måde. I vor kommune bør der være penge til at prioritere begge dele.,3,,1,"Enten satser man på fjernvarme og på at få flest muligt på. Eller opgiver projektet. Jeg mener ikke man skal tvangstilslutte alle, men sørge for at det bliver så attraktivt, at brugerne kan se fordelene, og kobler sig på frivilligt.",3,"Hvad er vigtigst? At have DK's omtrent laveste skatteprocent, eller have nogle rene søer? Kan simpelthen ikke se logikken. Hvis ikke der er penge i kassen, må skatten eller bedre - grundskylden hæves, så der er midler til at betale.",0,"Alle der har set en robotstøvsuger arbejde, ved at det ikke fungerer på andet en store flader uden for mange forhindringer.  Og hvad hvis der er flere etager? Og så har ældre ofte glæde af de få minutter, hvor de har besøg af en omsorgsperson.",3,Jeg ser ikke det store problem med mangel på parkeringspladser i Birkerød. Så for min skyld må man gerne dedikere plads til el-biler.,3,Jeg mener vi har forholdsvis fine forhold for bilister i kommunen.,3,,3,,3,Alt hvad der kan trække børn og unge ud i den virkelige verden bør støttes. Få dem væk fra skærmen og ud på håndboldbanen eller i teatret.,1,,3,,0,,3,,1,"Det vil nogen påstå, men indtil videre er det kun gået en vej. Jeg vil rigtigt gerne se nogen bevise den påstand, men jeg tror ikke på det.",3,,3,,2,,3,"Lavere klassekvotient vil give flere klasser, og dermed flere penge til hver enkelt skole efter de nye måder at beregne tilskud. Og færre elever giver bedre undervisning. Om der så skal tages penge andre steder fra, eller vi skal hæve skatterne, skal jeg lade være usagt. Men hælder mest til det sidste.",2,,2,"Det er skønt hvis man kan beholde samme service med færre ansatte, men jeg har svært ved at se hvordan.",0,,3,,4,,"Miljø og klima, Kultur,  idræt og fritid, Social- og integrationsområdet, Ældre, Skole/dagtilbud for børn",Børn og unges mentale velbefindendeRetten til en værdig alderdomMaksimering af grøn omstilling i kommunenGang i bymidten,"Jeg har siddet i skolebestyrelsen på mine ungers skole i 8 år, og har set hvor mange der går rundt med ondt i livet. Spiseforstyrrelser, ensomhed og angst er bare voldsomt udbredt og risikerer at forfølge de der er ramt, senere i voksenlivet.  Alle advarselslamper blinker og der skal ske noget. Min mor på 85 og svigerfar på 91 klarer sig selv i deres egne hjem. Men især min svigerfar har brug for hjælp udefra, for at kunne blive hvor han er. Og det vil han meget gerne til han skal bæres ud. Desværre er det meget begrænset hvad der gøres for ham, men han er heldig at have familie omkring sig, som giver en hånd med. Det er ikke alle der er så heldige, og vi skal gøre hvad vi kan for at hjælpe dem maksimalt. Jeg er medlem af Rudersdal Klimaråd og her er mange gode kræfter og en skov af forslag og initiativer for en grønnere kommune. Men de begrænses ofte af kortsigtet økonomisk tænkning, så her har vi også en udfordring.Sidst men ikke mindst trænger vor bymidte til kunstigt åndedræt."
3841,Court Møller,665,True,58,B,Gift,2,3460 Birkerød,Sektionschef HR-Partner,0,"Børnetallet falder, og der er ikke behov for flere skoler!",4,"GL. Holtegaard var et meget dyrt aktiv, der stod overfor omfattende renoveringer.  Kommunen ville ikke økonomisk kunne løfte opgaven,  så der er fundet en løsning for Gl. Holtegaard, der er rigtig god!",2,"Vi skal prioritere begge områder. Skolerne SKAL styrkes, og der bliver flere ældre, så ældreområdet er også vigtig!",3,"Det bekymrer mig at V og K så gerne vil sætte skatten ned, når vi i flere år har kæmpet med økonomien.  For Radikale Venstre er det vigtig at der er 2 faste hænder på rattet, når det handler om økonomien.",0,Fjernvarme er vigtig i den grønne omstilling!,4,"Separatkloakering er uhyre vigtig, hvis vi skal have rene søer Men vi kan også gøre andet og mere... og det skal vi. Vi kan ikke være bekendt, at vi i mere end 100 år har ledt spildevand ud i søer, åer og Øresund.",2,"Nogle gange kan robotstøvsugere være en god løsning. Ressourcerne skal vi anvende der, hvor der er behov for det.",2,Alle P-pladser kan bruges af elbiler.,4,"Radikale Venstre vil f.eks. gerne have hastigheden ned på 30 km/t på skoleveje, hvor der ikke kan etableres cykelsti (fordi vejen er for smal). Og så glæder vi os til at åbne cykelstien langs Kongevejen fra Rudegård Stadion til Høsterkøb.",3,Selvfølgelig skal vi det... men vi skal også prioritere vores indsatser,4,Vores grønne områder skal vi ikke røre ved!!!,3,,1,,2,,0,NEJ! det gør vi ikke!!!,3,,1,"Der bliver flere ældre, og derfor kommer vi også til at bruge flere penge på ældre.",4,"Det behøver ikke i alle tilfælde at være gratis. Det vigtige er, at vi kan tilbyde skolemad til alle børn.",3,,3,Men jeg vil hellere have flere pædagoger... det er faktisk vigtigere.,3,Eller der skal være flere voksne i undervisningssituationen. Derfor er 2-lærerordning en vigtig prioritet for mig.,2,,2,,1,"Det er ikke et mål i sig selv at sætte skatten ned. Det skal aldrig gå ud over børnene, skolerne eller de ældre.",3,,3,,"Trafik, Miljø og klima, Ældre, Skole/dagtilbud for børn, Skat","Børn, skole og det grønne er mine vigtigste mærkesager. Vi skal prioritere fællesskaber og hjælpe dem, der har behov for det. Vi skal give en endnu bedre kommune videre til næste generation.","Jeg vil prioriterer børn og unge. Skolerne og SFO skal have et økonomisk løft, så skolerne har penge til at gøre en særlig indsats for alle børn. Der skal tilføres midler til 2 lærerordninger på alle klassetrin.Børnenes læselyst skal styrkes, skolebibliotekerne skal tilbage, Ipad skal blive i skolen og eleverne skal bruge ps (og ikke ipad) fra 7. klasse.I daginstitutionerne skal der være bedre normeringer og flere uddannede pædagoger.Kommunens søer, åer og vandmiljø skal være rent. Jeg drømmer om den dag, hvor vi kan bade i kommunens søer, hvor man kan se tæerne i det klare vand og fiskene trives. Dén drøm vil jeg og Radikale Venstre gøre til virkelighed.Det er min politik, at Rudersdal skal være for alle generationer. Derfor skal vi have et godt kollektivt og sikre fortsat flexbus for alle. Der skal være flere senior- og ældrevenlige boliger. Vi skal derfor have sat fokus på etablering af et seniorbofællesskab. Ældre skal prioriteres, så alle der har behov for hjælp får det."
33846,Jacob Netteberg,406,True,55,B,I parforhold men ikke samboende,2,3460 Birkerød,Snr. rådgiver / projekt- og programledele,1,,4,,1,,3,,1,,4,,3,,1,,4,,3,,3,,3,,1,,3,,0,,3,,2,,3,,2,,3,,3,,3,,1,,1,,3,,1,,"Kultur,  idræt og fritid, Social- og integrationsområdet, Erhverv/administration","Jeg arbejder for en kommune med tillid, respekt og sund fornuft - hvor vi skaber lige muligheder, stærke fællesskaber og hjælper dem, der har mest brug for det.","Jeg stiller op for Radikale Venstre, fordi jeg tror på tillid, respekt og sund fornuft i politik. Vi skal skabe en kommune med lige muligheder for alle - uanset handicap, baggrund eller alder - og hvor fællesskabet både er rummeligt og forpligtende.Som kommunalpolitiker arbejder jeg for, at vores lokale erhvervsliv trives, at unge får stærke fællesskaber, og at vi løfter mennesker i udsatte positioner. At Ung i Rudersdal og det lokale Handicapråd får en stemme i beslutninger, der vedrører dem, som normalt ikke bliver hørt.Jeg tror på mindre bureaukrati, mere tillid til faglighed - og på, at kommunen skal være en partner, ikke en modpart.Rudersdal skal være en kommune, hvor vi tør udvikle - både vores byliv, vores velfærd og vores sammenhængskraft.Hvor vi tilgodeser naturen og den grønne omstilling for kommende generationers skyld.Hvor børn vokser trygt op, gerne vender tilbage - og hvor det er trygt og rart at leve hele sit liv."
